taxonomy_level,speech_type,topic,n_speeches_with_topic,n_speeches_in_type,topic_rate,overall_rate,lift
level2,proclamation,Mexican War,2,63,0.031746031746031744,0.023651844843897825,1.3422222222222222
level2,proclamation,"Military Preparedness, Armed Forces & Veterans",8,63,0.12698412698412698,0.5789971617786187,0.21931735657225854
level2,proclamation,Monroe Doctrine & Latin American Policy,2,63,0.031746031746031744,0.30179754020813626,0.10518982932776035
level2,proclamation,Neutral Rights & Maritime Depredations,8,63,0.12698412698412698,0.11258278145695365,1.1279178338001865
level2,proclamation,Nuclear Weapons & Arms Control,1,63,0.015873015873015872,0.22421948912015138,0.0707923112986404
level2,proclamation,"Partisan Combat, Press Conferences & Media Attacks",1,63,0.015873015873015872,0.2412488174077578,0.06579520697167755
level2,proclamation,Presidential Humility & Reflection on Office,1,63,0.015873015873015872,0.32355723746452225,0.04905782975958414
level2,proclamation,"Prosperity, Jobs & the Middle Class",1,63,0.015873015873015872,0.29990539262062443,0.05292674377847879
level2,proclamation,"Providence, Faith & American Ideals",16,63,0.25396825396825395,0.7303689687795648,0.34772596430627517
level2,proclamation,"Public Debt, Revenue & Treasury Finance",3,63,0.047619047619047616,0.2980132450331126,0.15978835978835976
level2,proclamation,Public Lands & Homestead Settlement,1,63,0.015873015873015872,0.1400189214758751,0.11336336336336336
level2,proclamation,Reconstruction & Southern Self-Government,13,63,0.20634920634920634,0.04919583727530748,4.194444444444444
level2,proclamation,"Relations with Spain, Mexico & Territorial Claims",8,63,0.12698412698412698,0.14853358561967833,0.8549186128803963
level2,proclamation,"Slavery, Emancipation & Sectionalism",5,63,0.07936507936507936,0.09082308420056764,0.8738425925925926
level2,proclamation,"Tariffs, Reciprocity & Navigation Laws",6,63,0.09523809523809523,0.3424787133396405,0.27808471454880296
level2,proclamation,"Taxes, Budget Deficits & Federal Spending",1,63,0.015873015873015872,0.2876064333017975,0.055190058479532164
level2,proclamation,"Territorial Organization, Statehood & Insular Governance",7,63,0.1111111111111111,0.15042573320719016,0.7386443046820405
level2,proclamation,"Treaties, Diplomacy & International Arbitration",13,63,0.20634920634920634,0.510879848628193,0.40390946502057606
level2,proclamation,Vietnam War,1,63,0.015873015873015872,0.13718070009460737,0.1157088122605364
level2,proclamation,World War I Mobilization & War Aims,2,63,0.031746031746031744,0.052980132450331126,0.5992063492063492
level2,proclamation,World War II Military Operations,1,63,0.015873015873015872,0.11069063386944182,0.14339981006647673
level2,public_remarks_or_address,Agriculture & Farm Prices,49,328,0.14939024390243902,0.23935666982024598,0.6241323628651306
level2,public_remarks_or_address,"Civil Rights, Voting Rights & Discrimination",76,328,0.23170731707317074,0.25260170293282874,0.9172832739563351
level2,public_remarks_or_address,Civil Service Reform & the Merit System,14,328,0.042682926829268296,0.12866603595080417,0.3317342180774749
level2,public_remarks_or_address,"Coinage, Currency & Specie",10,328,0.03048780487804878,0.12582781456953643,0.24229781771501924
level2,public_remarks_or_address,Cold War & Great-Power Rivalry,146,328,0.4451219512195122,0.3273415326395459,1.3598089665867756
level2,public_remarks_or_address,"Commemoration, Eulogy & National Mourning",94,328,0.2865853658536585,0.23273415326395458,1.2313850882411264
level2,public_remarks_or_address,Conservation & the Environment,43,328,0.13109756097560976,0.19489120151371808,0.6726704949088326
level2,public_remarks_or_address,Constitutional Union & Federalism,36,328,0.10975609756097561,0.2535477767265847,0.4328813250819075
