network,source,target,similarity,source_n_speeches,target_n_speeches,default_visible
ai_topics,Andrew Jackson,Ulysses S. Grant,0.6333403471969103,26,32,True
ai_topics,Andrew Jackson,Warren G. Harding,0.5159901131513561,26,18,True
ai_topics,Andrew Jackson,William Harrison,0.7134370867389551,26,1,False
ai_topics,Andrew Jackson,William McKinley,0.5325735301595163,26,14,True
ai_topics,Andrew Jackson,William Taft,0.5735480050235159,26,12,True
ai_topics,Andrew Jackson,Woodrow Wilson,0.40632840429679784,26,33,True
ai_topics,Andrew Jackson,Zachary Taylor,0.6477057656912683,26,4,False
ai_topics,Andrew Johnson,Barack Obama,0.12408442637561982,31,51,True
ai_topics,Andrew Johnson,Benjamin Harrison,0.25823188685854187,31,16,True
ai_topics,Andrew Johnson,Bill Clinton,0.16326886221807355,31,39,True
ai_topics,Andrew Johnson,Calvin Coolidge,0.29938894775253927,31,12,True
ai_topics,Andrew Johnson,Chester A. Arthur,0.3452136542083672,31,11,True
ai_topics,Andrew Johnson,Donald Trump,0.1761836637941411,31,53,True
ai_topics,Andrew Johnson,Dwight D. Eisenhower,0.1580031682374697,31,15,True
ai_topics,Andrew Johnson,Franklin D. Roosevelt,0.14552537437704657,31,49,True
ai_topics,Andrew Johnson,Franklin Pierce,0.4097185199591802,31,15,True
ai_topics,Andrew Johnson,George H. W. Bush,0.15199761922764501,31,23,True
ai_topics,Andrew Johnson,George W. Bush,0.09230030713464267,31,38,True
ai_topics,Andrew Johnson,George Washington,0.417086871978359,31,21,True
ai_topics,Andrew Johnson,Gerald Ford,0.2320265775175363,31,14,True
ai_topics,Andrew Johnson,Grover Cleveland,0.29053092175699863,31,32,True
ai_topics,Andrew Johnson,Harry S. Truman,0.08836612509426062,31,19,True
ai_topics,Andrew Johnson,Herbert Hoover,0.20310636126696816,31,30,True
ai_topics,Andrew Johnson,James A. Garfield,0.6146754532384212,31,1,False
ai_topics,Andrew Johnson,James Buchanan,0.5450160885519572,31,14,True
ai_topics,Andrew Johnson,James K. Polk,0.30649465177547636,31,25,True
ai_topics,Andrew Johnson,James Madison,0.1980453845161118,31,21,True
ai_topics,Andrew Johnson,James Monroe,0.26633667205123,31,10,True
ai_topics,Andrew Johnson,Jimmy Carter,0.1922707865060403,31,22,True
ai_topics,Andrew Johnson,Joe Biden,0.16142629638912334,31,28,True
ai_topics,Andrew Johnson,John Adams,0.19907663573227327,31,9,True
ai_topics,Andrew Johnson,John F. Kennedy,0.1120683065609223,31,44,True
ai_topics,Andrew Johnson,John Quincy Adams,0.3240473169102499,31,8,True
ai_topics,Andrew Johnson,John Tyler,0.3508729168538619,31,18,True
ai_topics,Andrew Johnson,Lyndon B. Johnson,0.1310758349851108,31,71,True
ai_topics,Andrew Johnson,Martin Van Buren,0.2972490121080302,31,10,True
ai_topics,Andrew Johnson,Millard Fillmore,0.4285065975733523,31,7,True
ai_topics,Andrew Johnson,Richard M. Nixon,0.2401169351909212,31,23,True
ai_topics,Andrew Johnson,Ronald Reagan,0.15623652066667953,31,60,True
ai_topics,Andrew Johnson,Rutherford B. Hayes,0.571778835136041,31,16,True
ai_topics,Andrew Johnson,Theodore Roosevelt,0.269916661834821,31,22,True
ai_topics,Andrew Johnson,Thomas Jefferson,0.25527865967086383,31,24,True
ai_topics,Andrew Johnson,Ulysses S. Grant,0.49066996249906547,31,32,True
ai_topics,Andrew Johnson,Warren G. Harding,0.2717461193792802,31,18,True
ai_topics,Andrew Johnson,William Harrison,0.6538131201312675,31,1,False
ai_topics,Andrew Johnson,William McKinley,0.24267746201992643,31,14,True
ai_topics,Andrew Johnson,William Taft,0.27677982527440437,31,12,True
ai_topics,Andrew Johnson,Woodrow Wilson,0.17934259730937588,31,33,True
ai_topics,Andrew Johnson,Zachary Taylor,0.3763242957738282,31,4,False
ai_topics,Barack Obama,Benjamin Harrison,0.2625997070567532,51,16,True
ai_topics,Barack Obama,Bill Clinton,0.8783625957534049,51,39,True
ai_topics,Barack Obama,Calvin Coolidge,0.5176672097560492,51,12,True
ai_topics,Barack Obama,Chester A. Arthur,0.21373453791720767,51,11,True
ai_topics,Barack Obama,Donald Trump,0.7986443039627698,51,53,True
ai_topics,Barack Obama,Dwight D. Eisenhower,0.6303596321527334,51,15,True
ai_topics,Barack Obama,Franklin D. Roosevelt,0.3775181523685298,51,49,True
ai_topics,Barack Obama,Franklin Pierce,0.2032624162819851,51,15,True
ai_topics,Barack Obama,George H. W. Bush,0.8053518468543138,51,23,True
ai_topics,Barack Obama,George W. Bush,0.7587176301525103,51,38,True
ai_topics,Barack Obama,George Washington,0.2503990836137257,51,21,True
ai_topics,Barack Obama,Gerald Ford,0.7027670728537515,51,14,True
ai_topics,Barack Obama,Grover Cleveland,0.18362959036581442,51,32,True
ai_topics,Barack Obama,Harry S. Truman,0.5449810315501173,51,19,True
ai_topics,Barack Obama,Herbert Hoover,0.48671038590867777,51,30,True
ai_topics,Barack Obama,James A. Garfield,0.2679322989184775,51,1,False
ai_topics,Barack Obama,James Buchanan,0.154944809996575,51,14,True
ai_topics,Barack Obama,James K. Polk,0.13994221468408963,51,25,True
ai_topics,Barack Obama,James Madison,0.19745129332333428,51,21,True
ai_topics,Barack Obama,James Monroe,0.2198371451834634,51,10,True
ai_topics,Barack Obama,Jimmy Carter,0.8229384473679126,51,22,True
ai_topics,Barack Obama,Joe Biden,0.8449651245876637,51,28,True
ai_topics,Barack Obama,John Adams,0.2563456722490382,51,9,True
ai_topics,Barack Obama,John F. Kennedy,0.5407793329566442,51,44,True
ai_topics,Barack Obama,John Quincy Adams,0.24552383994776011,51,8,True
ai_topics,Barack Obama,John Tyler,0.17973031662073558,51,18,True
ai_topics,Barack Obama,Lyndon B. Johnson,0.4764760014698307,51,71,True
ai_topics,Barack Obama,Martin Van Buren,0.17900814914252275,51,10,True
ai_topics,Barack Obama,Millard Fillmore,0.21214360839744728,51,7,True
ai_topics,Barack Obama,Richard M. Nixon,0.5070462645375946,51,23,True
ai_topics,Barack Obama,Ronald Reagan,0.7408657601256028,51,60,True
ai_topics,Barack Obama,Rutherford B. Hayes,0.20474903475220388,51,16,True
ai_topics,Barack Obama,Theodore Roosevelt,0.33649131994286086,51,22,True
ai_topics,Barack Obama,Thomas Jefferson,0.23145294673705738,51,24,True
ai_topics,Barack Obama,Ulysses S. Grant,0.22101416493472653,51,32,True
ai_topics,Barack Obama,Warren G. Harding,0.5279212913303352,51,18,True
ai_topics,Barack Obama,William Harrison,0.15594715283896374,51,1,False
ai_topics,Barack Obama,William McKinley,0.19441242173774692,51,14,True
ai_topics,Barack Obama,William Taft,0.21940659266501505,51,12,True
ai_topics,Barack Obama,Woodrow Wilson,0.40213683589229826,51,33,True
ai_topics,Barack Obama,Zachary Taylor,0.1951139799769644,51,4,False
ai_topics,Benjamin Harrison,Bill Clinton,0.3328767931937602,16,39,True
ai_topics,Benjamin Harrison,Calvin Coolidge,0.6278731000738073,16,12,True
ai_topics,Benjamin Harrison,Chester A. Arthur,0.8529450292873247,16,11,True
ai_topics,Benjamin Harrison,Donald Trump,0.4235792308939927,16,53,True
ai_topics,Benjamin Harrison,Dwight D. Eisenhower,0.37731653051952424,16,15,True
ai_topics,Benjamin Harrison,Franklin D. Roosevelt,0.28664076775650027,16,49,True
ai_topics,Benjamin Harrison,Franklin Pierce,0.6466445976684888,16,15,True
ai_topics,Benjamin Harrison,George H. W. Bush,0.4121146574559155,16,23,True
ai_topics,Benjamin Harrison,George W. Bush,0.19696649768660232,16,38,True
ai_topics,Benjamin Harrison,George Washington,0.5618365321918171,16,21,True
ai_topics,Benjamin Harrison,Gerald Ford,0.4206435892637645,16,14,True
ai_topics,Benjamin Harrison,Grover Cleveland,0.8372237913762929,16,32,True
ai_topics,Benjamin Harrison,Harry S. Truman,0.28567938589970343,16,19,True
ai_topics,Benjamin Harrison,Herbert Hoover,0.5859839848055376,16,30,True
ai_topics,Benjamin Harrison,James A. Garfield,0.29872043892665345,16,1,False
ai_topics,Benjamin Harrison,James Buchanan,0.5952575004233275,16,14,True
ai_topics,Benjamin Harrison,James K. Polk,0.5333150987658373,16,25,True
ai_topics,Benjamin Harrison,James Madison,0.49146914401949604,16,21,True
ai_topics,Benjamin Harrison,James Monroe,0.7691117760444952,16,10,True
ai_topics,Benjamin Harrison,Jimmy Carter,0.35693721418758545,16,22,True
ai_topics,Benjamin Harrison,Joe Biden,0.285003892525538,16,28,True
ai_topics,Benjamin Harrison,John Adams,0.524909331552732,16,9,True
ai_topics,Benjamin Harrison,John F. Kennedy,0.29389689430038635,16,44,True
ai_topics,Benjamin Harrison,John Quincy Adams,0.8560365759397601,16,8,True
ai_topics,Benjamin Harrison,John Tyler,0.7081482785723479,16,18,True
ai_topics,Benjamin Harrison,Lyndon B. Johnson,0.2792923490034623,16,71,True
ai_topics,Benjamin Harrison,Martin Van Buren,0.5099558073257389,16,10,True
ai_topics,Benjamin Harrison,Millard Fillmore,0.7621682441361246,16,7,True
ai_topics,Benjamin Harrison,Richard M. Nixon,0.23736774365445057,16,23,True
ai_topics,Benjamin Harrison,Ronald Reagan,0.30001509081740285,16,60,True
ai_topics,Benjamin Harrison,Rutherford B. Hayes,0.7208075035835191,16,16,True
ai_topics,Benjamin Harrison,Theodore Roosevelt,0.7230656820755713,16,22,True
ai_topics,Benjamin Harrison,Thomas Jefferson,0.5846049098424708,16,24,True
ai_topics,Benjamin Harrison,Ulysses S. Grant,0.8504736700580059,16,32,True
ai_topics,Benjamin Harrison,Warren G. Harding,0.591570477491732,16,18,True
ai_topics,Benjamin Harrison,William Harrison,0.15192884110348878,16,1,False
ai_topics,Benjamin Harrison,William McKinley,0.791610919306987,16,14,True
ai_topics,Benjamin Harrison,William Taft,0.8422470100873204,16,12,True
ai_topics,Benjamin Harrison,Woodrow Wilson,0.5606707845502106,16,33,True
ai_topics,Benjamin Harrison,Zachary Taylor,0.6954712239790561,16,4,False
ai_topics,Bill Clinton,Calvin Coolidge,0.5234115857607521,39,12,True
ai_topics,Bill Clinton,Chester A. Arthur,0.2892959855133911,39,11,True
ai_topics,Bill Clinton,Donald Trump,0.7246371372693898,39,53,True
ai_topics,Bill Clinton,Dwight D. Eisenhower,0.6324136887254583,39,15,True
ai_topics,Bill Clinton,Franklin D. Roosevelt,0.3828707847924896,39,49,True
ai_topics,Bill Clinton,Franklin Pierce,0.2426410729218082,39,15,True
ai_topics,Bill Clinton,George H. W. Bush,0.759413536279464,39,23,True
ai_topics,Bill Clinton,George W. Bush,0.603232224493301,39,38,True
ai_topics,Bill Clinton,George Washington,0.35956470739103724,39,21,True
ai_topics,Bill Clinton,Gerald Ford,0.670707671148826,39,14,True
ai_topics,Bill Clinton,Grover Cleveland,0.2756689437514814,39,32,True
ai_topics,Bill Clinton,Harry S. Truman,0.5267604522582114,39,19,True
ai_topics,Bill Clinton,Herbert Hoover,0.47266090234013086,39,30,True
ai_topics,Bill Clinton,James A. Garfield,0.2624450314569284,39,1,False
ai_topics,Bill Clinton,James Buchanan,0.2236872363609,39,14,True
ai_topics,Bill Clinton,James K. Polk,0.17394698413679172,39,25,True
ai_topics,Bill Clinton,James Madison,0.23062766737869558,39,21,True
ai_topics,Bill Clinton,James Monroe,0.2869702568242132,39,10,True
ai_topics,Bill Clinton,Jimmy Carter,0.7384706775391519,39,22,True
