source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Discovered 5,share of eligible paragraphs,James Madison,James Madison,1810,1814,17,182,9.340659340659341,14,True,included
Discovered 5,share of eligible paragraphs,James Madison,James Madison,1815,1819,3,68,4.411764705882353,5,True,included
Discovered 5,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,3,135,2.2222222222222223,4,True,included
Discovered 5,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,17,272,6.25,6,True,included
Discovered 5,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,201,754,26.657824933687003,16,True,included
Discovered 5,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,107,280,38.21428571428571,6,True,included
Discovered 5,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,343,1188,28.872053872053872,27,True,included
Discovered 5,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,3,31,9.67741935483871,1,True,included
Discovered 5,share of eligible paragraphs,John Adams,John Adams,1795,1799,7,102,6.862745098039216,7,True,included
Discovered 5,share of eligible paragraphs,John Adams,John Adams,1800,1804,1,14,7.142857142857142,2,False,below_25_paragraph_floor
Discovered 5,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,635,1367,46.45208485735186,44,True,included
Discovered 5,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,1,5,20.0,1,False,below_25_paragraph_floor
Discovered 5,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,26,271,9.59409594095941,7,True,included
Discovered 5,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,13,531,2.4482109227871938,17,True,included
Discovered 5,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,0,9,0.0,1,False,below_25_paragraph_floor
Discovered 5,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,235,731,32.14774281805746,20,True,included
Discovered 5,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,674,1981,34.023220595658756,51,True,included
Discovered 5,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,10,394,2.5380710659898478,8,True,included
Discovered 5,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,4,71,5.633802816901409,2,True,included
Discovered 5,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,15,268,5.597014925373134,7,True,included
Discovered 5,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,1,35,2.857142857142857,1,True,included
Discovered 5,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,35,51,68.62745098039215,2,True,included
Discovered 5,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,152,434,35.02304147465438,20,True,included
Discovered 5,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,9,34,26.47058823529412,1,True,included
Discovered 5,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,10,39,25.64102564102564,2,True,included
Discovered 5,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,506,1399,36.168691922802,35,True,included
Discovered 5,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,264,572,46.15384615384615,22,True,included
Discovered 5,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,11,371,2.964959568733154,12,True,included
Discovered 5,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,9,129,6.976744186046512,4,True,included
Discovered 5,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,48,602,7.973421926910299,11,True,included
Discovered 5,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,61,928,6.573275862068965,11,True,included
Discovered 5,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,13,142,9.15492957746479,11,True,included
Discovered 5,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,6,171,3.508771929824561,13,True,included
Discovered 5,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,5,80,6.25,5,True,included
Discovered 5,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,46,505,9.108910891089108,19,True,included
Discovered 5,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,6,228,2.631578947368421,8,True,included
Discovered 5,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,4,9,44.44444444444444,2,False,below_25_paragraph_floor
Discovered 5,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,54,229,23.580786026200872,16,True,included
Discovered 5,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,2,57,3.508771929824561,1,True,included
Discovered 5,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,57,539,10.575139146567718,10,True,included
Discovered 5,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,28,228,12.280701754385964,4,True,included
Discovered 5,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,10,224,4.464285714285714,5,True,included
Discovered 5,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,38,745,5.100671140939597,7,True,included
Discovered 5,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,9,187,4.81283422459893,13,True,included
Discovered 5,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,129,452,28.539823008849556,19,True,included
Discovered 5,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,2,22,9.090909090909092,1,False,below_25_paragraph_floor
Discovered 5,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,6,62,9.67741935483871,2,True,included
Discovered 5,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,0,18,0.0,2,False,below_25_paragraph_floor
