source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Civil rights & race,share of eligible paragraphs,James Madison,James Madison,1805,1809,0,24,0.0,2,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,James Madison,James Madison,1810,1814,5,182,2.7472527472527473,14,True,included
Civil rights & race,share of eligible paragraphs,James Madison,James Madison,1815,1819,2,68,2.941176470588235,5,True,included
Civil rights & race,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,1,135,0.7407407407407408,4,True,included
Civil rights & race,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,5,272,1.8382352941176472,6,True,included
Civil rights & race,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,20,754,2.6525198938992043,16,True,included
Civil rights & race,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,22,280,7.857142857142857,6,True,included
Civil rights & race,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,20,1188,1.6835016835016834,27,True,included
Civil rights & race,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,0,31,0.0,1,True,included
Civil rights & race,share of eligible paragraphs,John Adams,John Adams,1795,1799,0,102,0.0,7,True,included
Civil rights & race,share of eligible paragraphs,John Adams,John Adams,1800,1804,0,14,0.0,2,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,80,1367,5.852231163130943,44,True,included
Civil rights & race,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,11,271,4.059040590405904,7,True,included
Civil rights & race,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,15,531,2.824858757062147,17,True,included
Civil rights & race,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,0,9,0.0,1,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,31,731,4.240766073871409,20,True,included
Civil rights & race,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,114,1981,5.754669358909641,51,True,included
Civil rights & race,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,11,394,2.7918781725888326,8,True,included
Civil rights & race,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,1,71,1.4084507042253522,2,True,included
Civil rights & race,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,6,268,2.2388059701492535,7,True,included
Civil rights & race,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,0,35,0.0,1,True,included
Civil rights & race,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,1,51,1.9607843137254901,2,True,included
Civil rights & race,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,4,434,0.9216589861751152,20,True,included
