source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1980,1989,1980,1989,16,2523,0.6341656757827983,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1990,1999,1990,1999,7,1849,0.3785830178474851,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,2000,2009,2000,2009,32,1498,2.1361815754339117,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,2010,2019,2010,2019,46,2516,1.8282988871224166,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,2020,2029,2020,2026,5,3096,0.16149870801033592,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1780,1799,1789,1799,7,355,1.971830985915493,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1800,1819,1800,1819,8,736,1.0869565217391304,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1820,1839,1820,1839,52,2092,2.48565965583174,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1840,1859,1840,1859,44,3045,1.444991789819376,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1860,1879,1860,1879,123,2558,4.808444096950742,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1880,1899,1880,1899,256,3123,8.197246237592058,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1900,1919,1900,1919,21,3375,0.6222222222222222,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1920,1939,1920,1939,28,1954,1.4329580348004094,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1940,1959,1940,1959,4,1624,0.24630541871921183,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1960,1979,1960,1979,24,5885,0.40781648258283776,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",1980,1999,1980,1999,2,4372,0.04574565416285453,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",2000,2019,2000,2019,0,4014,0.0,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,"Coinage, Currency & Specie",2020,2039,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1780,1799,1789,1799,3,355,0.8450704225352111,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1800,1819,1800,1819,17,736,2.309782608695652,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1820,1839,1820,1839,352,2092,16.826003824091778,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1840,1859,1840,1859,175,3045,5.747126436781609,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1860,1879,1860,1879,39,2558,1.5246286161063332,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1880,1899,1880,1899,116,3123,3.714377201408902,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1900,1919,1900,1919,85,3375,2.5185185185185186,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1920,1939,1920,1939,122,1954,6.24360286591607,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1940,1959,1940,1959,6,1624,0.3694581280788177,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1960,1979,1960,1979,35,5885,0.5947323704333051,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,1980,1999,1980,1999,23,4372,0.526075022872827,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,2000,2019,2000,2019,78,4014,1.9431988041853512,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,20,National Bank & Banking Crises,2020,2039,2020,2026,5,3096,0.16149870801033592,True,descriptive,not_estimated
