source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Money & banking,share of eligible paragraphs,James Madison,James Madison,1815,1819,15,68,22.058823529411764,5,True,included
Money & banking,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,5,135,3.7037037037037033,4,True,included
Money & banking,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,5,272,1.8382352941176472,6,True,included
Money & banking,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,101,754,13.395225464190982,16,True,included
Money & banking,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,27,280,9.642857142857144,6,True,included
Money & banking,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,30,1188,2.525252525252525,27,True,included
Money & banking,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,0,31,0.0,1,True,included
Money & banking,share of eligible paragraphs,John Adams,John Adams,1795,1799,0,102,0.0,7,True,included
Money & banking,share of eligible paragraphs,John Adams,John Adams,1800,1804,0,14,0.0,2,False,below_25_paragraph_floor
Money & banking,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,69,1367,5.047549378200439,44,True,included
Money & banking,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Money & banking,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,3,271,1.107011070110701,7,True,included
Money & banking,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,77,531,14.500941619585687,17,True,included
Money & banking,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,0,9,0.0,1,False,below_25_paragraph_floor
Money & banking,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,11,731,1.5047879616963065,20,True,included
Money & banking,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,54,1981,2.7258960121150935,51,True,included
Money & banking,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,105,394,26.649746192893403,8,True,included
Money & banking,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,11,71,15.492957746478872,2,True,included
Money & banking,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,5,268,1.8656716417910446,7,True,included
Money & banking,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,2,35,5.714285714285714,1,True,included
Money & banking,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,0,51,0.0,2,True,included
Money & banking,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,24,434,5.529953917050691,20,True,included
Money & banking,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,8,34,23.52941176470588,1,True,included
Money & banking,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,5,39,12.82051282051282,2,True,included
Money & banking,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,81,1399,5.789849892780557,35,True,included
Money & banking,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,20,572,3.4965034965034967,22,True,included
Money & banking,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,32,371,8.62533692722372,12,True,included
Money & banking,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,15,129,11.627906976744185,4,True,included
Money & banking,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,11,602,1.8272425249169437,11,True,included
Money & banking,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,24,928,2.586206896551724,11,True,included
Money & banking,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,2,142,1.4084507042253522,11,True,included
Money & banking,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,4,171,2.3391812865497075,13,True,included
Money & banking,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,9,80,11.25,5,True,included
Money & banking,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,44,505,8.712871287128712,19,True,included
Money & banking,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,18,228,7.894736842105263,8,True,included
Money & banking,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,0,9,0.0,2,False,below_25_paragraph_floor
Money & banking,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,6,229,2.6200873362445414,16,True,included
Money & banking,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,5,57,8.771929824561402,1,True,included
Money & banking,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,40,539,7.421150278293136,10,True,included
Money & banking,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,16,228,7.017543859649122,4,True,included
Money & banking,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,8,224,3.571428571428571,5,True,included
Money & banking,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,49,745,6.577181208053691,7,True,included
Money & banking,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,13,187,6.951871657754011,13,True,included
Money & banking,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,12,452,2.6548672566371683,19,True,included
Money & banking,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,1,22,4.545454545454546,1,False,below_25_paragraph_floor
Money & banking,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,0,62,0.0,2,True,included
Money & banking,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,0,18,0.0,2,False,below_25_paragraph_floor
