source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Education,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,33,754,4.376657824933687,16,True,included
Education,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,14,280,5.0,6,True,included
Education,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,55,1188,4.62962962962963,27,True,included
Education,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,1,31,3.225806451612903,1,True,included
Education,share of eligible paragraphs,John Adams,John Adams,1795,1799,1,102,0.9803921568627451,7,True,included
Education,share of eligible paragraphs,John Adams,John Adams,1800,1804,0,14,0.0,2,False,below_25_paragraph_floor
Education,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,133,1367,9.729334308705194,44,True,included
Education,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Education,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,4,271,1.4760147601476015,7,True,included
Education,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,3,531,0.5649717514124294,17,True,included
Education,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,0,9,0.0,1,False,below_25_paragraph_floor
Education,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,40,731,5.471956224350205,20,True,included
Education,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,98,1981,4.946996466431095,51,True,included
Education,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,4,394,1.015228426395939,8,True,included
Education,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,0,71,0.0,2,True,included
Education,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,2,268,0.7462686567164178,7,True,included
Education,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,0,35,0.0,1,True,included
Education,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,1,51,1.9607843137254901,2,True,included
Education,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,17,434,3.9170506912442393,20,True,included
Education,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,0,34,0.0,1,True,included
Education,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,1,39,2.564102564102564,2,True,included
Education,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,57,1399,4.07433881343817,35,True,included
Education,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,38,572,6.643356643356643,22,True,included
Education,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,17,371,4.5822102425876015,12,True,included
Education,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,11,129,8.527131782945736,4,True,included
Education,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,15,602,2.4916943521594686,11,True,included
Education,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,43,928,4.633620689655173,11,True,included
Education,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,0,142,0.0,11,True,included
Education,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,8,171,4.678362573099415,13,True,included
Education,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,3,80,3.75,5,True,included
Education,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,22,505,4.356435643564356,19,True,included
Education,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,5,228,2.1929824561403506,8,True,included
Education,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,0,9,0.0,2,False,below_25_paragraph_floor
Education,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,8,229,3.4934497816593884,16,True,included
Education,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,0,57,0.0,1,True,included
Education,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,16,539,2.9684601113172544,10,True,included
Education,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,7,228,3.070175438596491,4,True,included
Education,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,5,224,2.232142857142857,5,True,included
Education,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,15,745,2.013422818791946,7,True,included
Education,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,2,187,1.06951871657754,13,True,included
Education,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,9,452,1.991150442477876,19,True,included
Education,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,1,22,4.545454545454546,1,False,below_25_paragraph_floor
Education,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,2,62,3.225806451612903,2,True,included
Education,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,0,18,0.0,2,False,below_25_paragraph_floor
