source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1960,1969,1960,1969,71,4248,1.6713747645951036,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1970,1979,1970,1979,179,1637,10.934636530238242,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1980,1989,1980,1989,45,2523,1.78359096313912,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1990,1999,1990,1999,35,1849,1.8929150892374256,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",2000,2009,2000,2009,53,1498,3.538050734312417,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",2010,2019,2010,2019,140,2516,5.5643879173290935,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",2020,2029,2020,2026,147,3096,4.748062015503876,True,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1790,1799,1790,1799,2,341,0.5865102639296188,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1800,1809,1800,1809,12,351,3.418803418803419,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1810,1819,1810,1819,7,385,1.8181818181818181,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1820,1829,1820,1829,11,645,1.7054263565891472,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1830,1839,1830,1839,45,1447,3.1098825155494123,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1840,1849,1840,1849,71,1452,4.889807162534435,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1850,1859,1850,1859,55,1593,3.452605147520402,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1860,1869,1860,1869,20,1454,1.3755158184319118,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1870,1879,1870,1879,27,1104,2.4456521739130435,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1880,1889,1880,1889,34,1434,2.3709902370990235,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1890,1899,1890,1899,29,1689,1.7169923031379515,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1900,1909,1900,1909,47,1982,2.3713420787083757,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1910,1919,1910,1919,32,1393,2.297200287150036,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1920,1929,1920,1929,24,1050,2.2857142857142856,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1930,1939,1930,1939,9,904,0.995575221238938,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1950,1959,1951,1959,2,750,0.26666666666666666,True,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1960,1969,1960,1969,3,4248,0.07062146892655367,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1970,1979,1970,1979,2,1637,0.12217470983506415,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1980,1989,1980,1989,2,2523,0.07927070947284978,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1990,1999,1990,1999,2,1849,0.1081665765278529,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,2010,2019,2010,2019,1,2516,0.0397456279809221,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Public Lands & Homestead Settlement,2020,2029,2020,2026,1,3096,0.03229974160206719,True,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1780,1799,1789,1799,0,355,0.0,True,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1800,1819,1800,1819,0,736,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1820,1839,1820,1839,0,2092,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1840,1859,1840,1859,1,3045,0.03284072249589491,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1860,1879,1860,1879,6,2558,0.23455824863174357,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1880,1899,1880,1899,30,3123,0.9606147934678195,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1900,1919,1900,1919,153,3375,4.533333333333333,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1920,1939,1920,1939,39,1954,1.9959058341862845,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1940,1959,1940,1959,19,1624,1.1699507389162562,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1960,1979,1960,1979,81,5885,1.3763806287170772,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,1980,1999,1980,1999,66,4372,1.5096065873741995,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,2000,2019,2000,2019,114,4014,2.8400597907324365,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,Conservation & the Environment,2020,2039,2020,2026,72,3096,2.3255813953488373,True,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,"Internal Improvements, Energy & Infrastructure",1780,1799,1789,1799,2,355,0.5633802816901409,True,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,20,"Internal Improvements, Energy & Infrastructure",1800,1819,1800,1819,23,736,3.125,False,descriptive,not_estimated
