source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Energy & environment,share of eligible paragraphs,James Madison,James Madison,1810,1814,0,182,0.0,14,True,included
Energy & environment,share of eligible paragraphs,James Madison,James Madison,1815,1819,0,68,0.0,5,True,included
Energy & environment,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,1,135,0.7407407407407408,4,True,included
Energy & environment,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,3,272,1.1029411764705883,6,True,included
Energy & environment,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,78,754,10.344827586206897,16,True,included
Energy & environment,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,40,280,14.285714285714285,6,True,included
Energy & environment,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,52,1188,4.377104377104377,27,True,included
Energy & environment,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,3,31,9.67741935483871,1,True,included
Energy & environment,share of eligible paragraphs,John Adams,John Adams,1795,1799,0,102,0.0,7,True,included
Energy & environment,share of eligible paragraphs,John Adams,John Adams,1800,1804,0,14,0.0,2,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,23,1367,1.6825164594001463,44,True,included
Energy & environment,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,1,271,0.36900369003690037,7,True,included
Energy & environment,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,5,531,0.9416195856873822,17,True,included
Energy & environment,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,1,9,11.11111111111111,1,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,3,731,0.4103967168262654,20,True,included
Energy & environment,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,30,1981,1.5143866733972742,51,True,included
Energy & environment,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,5,394,1.2690355329949239,8,True,included
Energy & environment,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,1,71,1.4084507042253522,2,True,included
Energy & environment,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,2,268,0.7462686567164178,7,True,included
Energy & environment,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,0,35,0.0,1,True,included
Energy & environment,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,1,51,1.9607843137254901,2,True,included
Energy & environment,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,35,434,8.064516129032258,20,True,included
Energy & environment,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,2,34,5.88235294117647,1,True,included
Energy & environment,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,3,39,7.6923076923076925,2,True,included
Energy & environment,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,23,1399,1.6440314510364546,35,True,included
Energy & environment,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,5,572,0.8741258741258742,22,True,included
Energy & environment,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,6,371,1.6172506738544474,12,True,included
Energy & environment,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,2,129,1.550387596899225,4,True,included
Energy & environment,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,15,602,2.4916943521594686,11,True,included
Energy & environment,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,35,928,3.771551724137931,11,True,included
Energy & environment,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,4,142,2.8169014084507045,11,True,included
Energy & environment,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,1,171,0.5847953216374269,13,True,included
Energy & environment,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,2,80,2.5,5,True,included
Energy & environment,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,5,505,0.9900990099009901,19,True,included
Energy & environment,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,2,228,0.8771929824561403,8,True,included
Energy & environment,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,0,9,0.0,2,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,5,229,2.1834061135371177,16,True,included
Energy & environment,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,1,57,1.7543859649122806,1,True,included
Energy & environment,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,3,539,0.5565862708719851,10,True,included
Energy & environment,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,5,228,2.1929824561403506,4,True,included
Energy & environment,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,5,224,2.232142857142857,5,True,included
Energy & environment,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,48,745,6.442953020134229,7,True,included
Energy & environment,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,7,187,3.7433155080213902,13,True,included
Energy & environment,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,7,452,1.5486725663716814,19,True,included
Energy & environment,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,0,22,0.0,1,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,0,62,0.0,2,True,included
Energy & environment,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,0,18,0.0,2,False,below_25_paragraph_floor
