source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,1950,1959,1951,1959,0,750,0.0,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,1960,1969,1960,1969,0,4248,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,1970,1979,1970,1979,0,1637,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,1980,1989,1980,1989,0,2523,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,1990,1999,1990,1999,0,1849,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,2010,2019,2010,2019,0,2516,0.0,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,Polygamy in the Territories,2020,2029,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1780,1789,1789,1789,1,14,7.142857142857142,True,low_support,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1790,1799,1790,1799,24,341,7.038123167155426,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1800,1809,1800,1809,13,351,3.7037037037037033,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1810,1819,1810,1819,12,385,3.116883116883117,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1820,1829,1820,1829,24,645,3.7209302325581395,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1830,1839,1830,1839,186,1447,12.854181064270906,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1840,1849,1840,1849,123,1452,8.47107438016529,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1850,1859,1850,1859,64,1593,4.017576898932831,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1860,1869,1860,1869,286,1454,19.669876203576344,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1870,1879,1870,1879,80,1104,7.246376811594203,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1880,1889,1880,1889,85,1434,5.92747559274756,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1890,1899,1890,1899,17,1689,1.0065127294256957,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1900,1909,1900,1909,78,1982,3.9354187689202824,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1910,1919,1910,1919,54,1393,3.876525484565686,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1920,1929,1920,1929,25,1050,2.380952380952381,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1930,1939,1930,1939,57,904,6.3053097345132745,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1940,1949,1940,1949,11,874,1.2585812356979404,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1950,1959,1951,1959,20,750,2.666666666666667,True,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1960,1969,1960,1969,75,4248,1.765536723163842,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1970,1979,1970,1979,124,1637,7.574832009773977,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1980,1989,1980,1989,78,2523,3.0915576694411415,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Executive Power, Vetoes & the Courts",1990,1999,1990,1999,30,1849,1.6224986479177934,False,descriptive,not_estimated
