series,x,value,source_issue
unnamed,1785.0,33.33333333333333,War & military
unnamed,1790.0,29.938311688311686,War & military
unnamed,1795.0,30.119205993558325,War & military
unnamed,1800.0,25.71022727272727,War & military
unnamed,1805.0,38.437340804890475,War & military
unnamed,1810.0,63.30859375,War & military
unnamed,1815.0,40.12552095620036,War & military
unnamed,1820.0,37.47917942437232,War & military
unnamed,1825.0,34.7979937057435,War & military
unnamed,1830.0,17.33657639885222,War & military
unnamed,1835.0,18.86473511045458,War & military
unnamed,1840.0,21.227753608859008,War & military
unnamed,1845.0,48.73150708606982,War & military
unnamed,1850.0,23.70335541474654,War & military
unnamed,1855.0,26.144217188325474,War & military
unnamed,1860.0,37.074539641071134,War & military
unnamed,1865.0,42.581340829037295,War & military
unnamed,1870.0,31.29375,War & military
unnamed,1875.0,26.687434326238996,War & military
unnamed,1880.0,19.674687095381955,War & military
unnamed,1885.0,20.83710177658899,War & military
unnamed,1890.0,20.30639290599961,War & military
unnamed,1895.0,33.28247419761301,War & military
unnamed,1900.0,34.82776804903287,War & military
unnamed,1905.0,22.59721787057081,War & military
unnamed,1910.0,19.457046160327224,War & military
unnamed,1915.0,46.2507055313659,War & military
unnamed,1920.0,36.46402750837595,War & military
unnamed,1925.0,30.12390971487434,War & military
unnamed,1930.0,16.639554794520546,War & military
unnamed,1935.0,21.97141656158049,War & military
unnamed,1940.0,71.52857142857142,War & military
unnamed,1945.0,50.088383838383834,War & military
unnamed,1950.0,40.93143203883494,War & military
unnamed,1955.0,34.1145471490299,War & military
unnamed,1960.0,29.463335580825106,War & military
unnamed,1965.0,29.557155639681334,War & military
unnamed,1970.0,40.12119741866263,War & military
unnamed,1975.0,23.41161149713002,War & military
unnamed,1980.0,26.59302486187845,War & military
unnamed,1985.0,23.425688102849644,War & military
unnamed,1990.0,32.81618827780007,War & military
unnamed,1995.0,24.980999999999998,War & military
unnamed,2000.0,30.488737653577445,War & military
unnamed,2005.0,30.74263800246333,War & military
unnamed,2010.0,21.432360473900456,War & military
unnamed,2015.0,14.971168539325843,War & military
unnamed,2020.0,20.292487986662742,War & military
unnamed,2025.0,40.98105809586923,War & military
unnamed,2025.0,16.484993419497453,War & military
unnamed,2020.0,11.351812395318436,War & military
unnamed,2015.0,10.613391018182778,War & military
unnamed,2010.0,11.137081596800941,War & military
unnamed,2005.0,14.533608840163282,War & military
unnamed,2000.0,14.88266506208632,War & military
unnamed,1995.0,11.63573170321853,War & military
unnamed,1990.0,17.823294380477748,War & military
