doc_name,president,year,era,title,expected_paragraphs,completed_paragraphs,missing_paragraphs,completion_rate
/the-presidency/presidential-speeches/may-17-1981-address-university-notre-dame,Ronald Reagan,1981,The Cold War,"May 17, 1981: Address at University of Notre Dame",35,35,0,1.0
/the-presidency/presidential-speeches/may-19-1869-proclamation-establishing-eight-hour-workday,Ulysses S. Grant,1869,Civil War & Reconstruction,"May 19, 1869: Proclamation Establishing Eight Hour Workday",1,True,0,1.0
/the-presidency/presidential-speeches/may-19-1917-message-regarding-military-draft,Woodrow Wilson,1917,Progressives & Depression,"May 19, 1917: Message Regarding Military Draft",13,13,0,1.0
/the-presidency/presidential-speeches/may-25-1961-goal-sending-man-moon,John F. Kennedy,1961,The Cold War,"May 25, 1961: The Goal of Sending a Man to the Moon",43,25,18,0.5813953488372093
/the-presidency/presidential-speeches/may-25-2011-address-british-parliament,Barack Obama,2011,Post-Cold War,"May 25, 2011: Address to the British Parliament",42,42,0,1.0
/the-presidency/presidential-speeches/may-26-2009-remarks-nominating-judge-sonia-sotomayor-us,Barack Obama,2009,Post-Cold War,"May 26, 2009: Remarks on Nominating Judge Sonia Sotomayor to the U.S. Supreme Court",12,12,0,1.0
/the-presidency/presidential-speeches/may-27-1941-fireside-chat-17-unlimited-national-emergency,Franklin D. Roosevelt,1941,War & New Deal,"May 27, 1941: Fireside Chat 17: On An Unlimited National Emergency",51,51,0,1.0
/the-presidency/presidential-speeches/may-29-1865-message-reestablishing-governments-former,Andrew Johnson,1865,Civil War & Reconstruction,"May 29, 1865: Message Reestablishing Governments in Former Confederate States",6,6,0,1.0
/the-presidency/presidential-speeches/may-31-1932-statement-national-economy,Herbert Hoover,1932,Progressives & Depression,"May 31, 1932: Statement on the National Economy",19,19,0,1.0
/the-presidency/presidential-speeches/may-31-2024-remarks-middle-east,Joe Biden,2024,The present era,"May 31, 2024: Remarks on the Middle East",23,23,0,1.0
/the-presidency/presidential-speeches/november-13-2008-speech-financial-markets-and-world-economy,George W. Bush,2008,Post-Cold War,"November 13, 2008: Speech on Financial Markets and the World Economy",27,27,0,1.0
/the-presidency/presidential-speeches/november-17-1967-press-conference,Lyndon B. Johnson,1967,The Cold War,"November 17, 1967: Press Conference",69,69,0,1.0
/the-presidency/presidential-speeches/november-3-2010-press-conference-after-2010-midterm-elections,Barack Obama,2010,Post-Cold War,"November 3, 2010: Press Conference After 2010 Midterm Elections",62,61,1,0.9838709677419355
/the-presidency/presidential-speeches/november-30-1995-address-employees-mackie-metal-plant,Bill Clinton,1995,Post-Cold War,"November 30, 1995: Address to the Employees of the Mackie Metal Plant",24,24,0,1.0
