surface,period_kind,ci_components,disagreement_status,n_cells,n_resolved_sampling,n_resolved_combined,mean_sampling_width_pp,mean_combined_width_pp,mean_disagreement_half_width_pp
corex_issues,year5,sampling_only,not_applicable_no_annotator_in_pipeline,1078,1066,1066,8.69527857594916,8.69527857594916,
llm_topics,era,sampling+annotator_disagreement,measured_paired_annotators,450,450,450,2.1152241775458,2.822876669913478,0.3728700555427442
