edge_id,edge_type,source_president_profile_id,source_president_name,target_president_profile_id,target_president_name,raw_mentions,reference_paragraph_count,distinct_speeches,function_counts,stance_counts,first_speech_date,last_speech_date,evidence_row_count,evidence_status
invocation_edge_e8c0cfbf92f5d9bc490eb59b42bd37a4c5afbd36b85002bc183253e096d184a0,actual_speaker_invokes_former_president,ulysses-s-grant,Ulysses S. Grant,millard-fillmore,Millard Fillmore,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1876-05-04,1876-05-04,1,AI-classified; not human-validated
invocation_edge_ff603757a536f4cee70129e1a68a9f31a9cae41d705f3f0716f714e19bc84087,actual_speaker_invokes_former_president,john-f-kennedy,John F. Kennedy,millard-fillmore,Millard Fillmore,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1960-07-15,1960-07-15,1,AI-classified; not human-validated
invocation_edge_648f7cf7492217a50d6d457e9116b57d38c34a43cb357f1a9ceb768cd48eb262,actual_speaker_invokes_former_president,ulysses-s-grant,Ulysses S. Grant,franklin-pierce,Franklin Pierce,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1876-05-04,1876-05-04,1,AI-classified; not human-validated
invocation_edge_71e49d5aa39caaa5484c0e4a372381d26f5509f69513f5cc0e81944ebdb01ffe,actual_speaker_invokes_former_president,andrew-johnson,Andrew Johnson,james-buchanan,James Buchanan,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1867-12-12,1867-12-12,1,AI-classified; not human-validated
invocation_edge_bea67a3fe8dfd172febb651fff2d393329d58f8a25235b9034bf42e9a240e8c1,actual_speaker_invokes_former_president,john-f-kennedy,John F. Kennedy,james-buchanan,James Buchanan,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1960-07-15,1960-07-15,1,AI-classified; not human-validated
invocation_edge_f0fc5179cc2669d9b069e6e74e4750a0b1e9e38ee5327cef008a8937f388fdfc,actual_speaker_invokes_former_president,ulysses-s-grant,Ulysses S. Grant,james-buchanan,James Buchanan,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1876-05-04,1876-05-04,1,AI-classified; not human-validated
invocation_edge_6b8f579b5c1e3ae544b61e6ec902a3977d57d8c4e3dd4b019a9ad5db2ce8b295,actual_speaker_invokes_former_president,william-taft,William Taft,abraham-lincoln,Abraham Lincoln,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1910-12-06,1910-12-06,1,AI-classified; not human-validated
invocation_edge_b92ff48926e1fd573a7d304f6a7de52fd0b35166a9bf223eea7cf8effc6de239,actual_speaker_invokes_former_president,calvin-coolidge,Calvin Coolidge,abraham-lincoln,Abraham Lincoln,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1927-08-10,1927-08-10,1,AI-classified; not human-validated
invocation_edge_a7ae618a8c26d4ba94f0a640738b06280ccb397b9a90329f3bca29fe260a4161,actual_speaker_invokes_former_president,john-f-kennedy,John F. Kennedy,andrew-johnson,Andrew Johnson,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1961-01-20,1961-01-20,1,AI-classified; not human-validated
invocation_edge_2b9acdb16acb1da5e06e506af146101939c300edfa3b2c2254c5742e26400223,actual_speaker_invokes_former_president,george-w-bush,George W. Bush,ulysses-s-grant,Ulysses S. Grant,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2002-06-01,2002-06-01,1,AI-classified; not human-validated
invocation_edge_95826052262d72f10c7e092d6ba7e74ca871a576a2b3471925cce16021cae167,actual_speaker_invokes_former_president,rutherford-b-hayes,Rutherford B. Hayes,ulysses-s-grant,Ulysses S. Grant,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":1,""other/unclear"":0,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1877-03-05,1877-03-05,1,AI-classified; not human-validated
invocation_edge_c5b508f0fe4cf1e327d0cbda673bf47b4ed5b8075f06332a1d60b20c46639923,actual_speaker_invokes_former_president,william-taft,William Taft,ulysses-s-grant,Ulysses S. Grant,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1910-12-06,1910-12-06,1,AI-classified; not human-validated
invocation_edge_edb90b498233c412ec31c592e12c11f8c267277b6c120fdc6374b5a3e05f1fa7,actual_speaker_invokes_former_president,donald-trump,Donald Trump,ulysses-s-grant,Ulysses S. Grant,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":0,""positive"":1,""unclear"":0}",2020-06-13,2020-06-13,1,AI-classified; not human-validated
invocation_edge_ee89fcce30a24f541fb84a760b02a940181fcdb818562bf8a9911cb1115801bc,actual_speaker_invokes_former_president,franklin-d-roosevelt,Franklin D. Roosevelt,ulysses-s-grant,Ulysses S. Grant,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1937-03-09,1937-03-09,1,AI-classified; not human-validated
invocation_edge_f44d7644f350814e05062b656d2642a34d63a219a3ee291ba2881fba13cd5cae,actual_speaker_invokes_former_president,chester-a-arthur,Chester A. Arthur,ulysses-s-grant,Ulysses S. Grant,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1884-12-01,1884-12-01,1,AI-classified; not human-validated
invocation_edge_a80bf6bf36622750c104a0a1bb0602207e899ff53d434a030319b8e31f2b356e,actual_speaker_invokes_former_president,chester-a-arthur,Chester A. Arthur,rutherford-b-hayes,Rutherford B. Hayes,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1882-04-04,1882-04-04,1,AI-classified; not human-validated
invocation_edge_415f89a6d92834942e99d56c0503e536d36d8709ac4400a79fca1b91ee852ad2,actual_speaker_invokes_former_president,lyndon-b-johnson,Lyndon B. Johnson,chester-a-arthur,Chester A. Arthur,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1964-03-07,1964-03-07,1,AI-classified; not human-validated
invocation_edge_5c9a2407c486b23ed75df8eb87e7a9eb1c6e7bc313390aa642a9985d3bd9cad6,actual_speaker_invokes_former_president,benjamin-harrison,Benjamin Harrison,chester-a-arthur,Chester A. Arthur,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1891-01-31,1891-01-31,1,AI-classified; not human-validated
invocation_edge_bd8ead16826850d5f82b36c6e343f9ce6951de8857c95c6a0be60529bff543fc,actual_speaker_invokes_former_president,william-taft,William Taft,chester-a-arthur,Chester A. Arthur,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1910-12-06,1910-12-06,1,AI-classified; not human-validated
invocation_edge_2722177a96b2ed31a06513d2651d2ca0adb6cabf7046c737eecc35024f2f7c31,actual_speaker_invokes_former_president,theodore-roosevelt,Theodore Roosevelt,grover-cleveland,Grover Cleveland,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1907-12-03,1907-12-03,1,AI-classified; not human-validated
invocation_edge_4ee9739c9d9ffbf82865685815e9adbc3c2c375aceed3102e968c29ff9c79106,actual_speaker_invokes_former_president,william-taft,William Taft,grover-cleveland,Grover Cleveland,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1912-12-03,1912-12-03,1,AI-classified; not human-validated
invocation_edge_fe90f9eac51a8735a7f9dd37147234a86587c5a66b8692a88e5457f9bbec1164,actual_speaker_invokes_former_president,theodore-roosevelt,Theodore Roosevelt,benjamin-harrison,Benjamin Harrison,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1906-12-19,1906-12-19,1,AI-classified; not human-validated
invocation_edge_3400bfc9238789b911af0caee981790629144aa56d87ef847f5e6f7c4bfae13d,actual_speaker_invokes_former_president,dwight-d-eisenhower,Dwight D. Eisenhower,william-mckinley,William McKinley,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1958-01-09,1958-01-09,1,AI-classified; not human-validated
invocation_edge_0cb9207dff312ef7325ed0058507972a3e2c457ee883d1a03f9becf01f326c1b,actual_speaker_invokes_former_president,calvin-coolidge,Calvin Coolidge,theodore-roosevelt,Theodore Roosevelt,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1927-08-10,1927-08-10,1,AI-classified; not human-validated
invocation_edge_53593b93878a793a540c8a23631032e551ade56454687a012bf328682a943dca,actual_speaker_invokes_former_president,george-h-w-bush,George H. W. Bush,theodore-roosevelt,Theodore Roosevelt,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1988-08-18,1988-08-18,1,AI-classified; not human-validated
invocation_edge_5e6d0108063ab115339b1f7494341b8708bad59b09ab967482650d319f802ec5,actual_speaker_invokes_former_president,dwight-d-eisenhower,Dwight D. Eisenhower,theodore-roosevelt,Theodore Roosevelt,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1953-02-02,1953-02-02,1,AI-classified; not human-validated
invocation_edge_88532110f8f2452cf85455fd25640bba81c9c5b2c72d53c1af293c73f85ab17f,actual_speaker_invokes_former_president,jimmy-carter,Jimmy Carter,theodore-roosevelt,Theodore Roosevelt,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1976-10-06,1976-10-06,1,AI-classified; not human-validated
invocation_edge_e9b102690d3b549fbd52909f02748069fc962579c0d91a9a65444379e6f4b864,actual_speaker_invokes_former_president,lyndon-b-johnson,Lyndon B. Johnson,theodore-roosevelt,Theodore Roosevelt,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":0,""positive"":1,""unclear"":0}",1966-07-12,1966-07-12,1,AI-classified; not human-validated
invocation_edge_30c40d724dfca840e64cdd7ab40ffcdad33cec29a22646585295e1e5dff5cce1,actual_speaker_invokes_former_president,dwight-d-eisenhower,Dwight D. Eisenhower,william-taft,William Taft,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1953-02-02,1953-02-02,1,AI-classified; not human-validated
invocation_edge_448ca09b8f568bf3b67341e8fe9a563d4c144639b6d911dc6785b12b5b12997b,actual_speaker_invokes_former_president,franklin-d-roosevelt,Franklin D. Roosevelt,william-taft,William Taft,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1937-03-09,1937-03-09,1,AI-classified; not human-validated
invocation_edge_e4c3e3cb8c902a4a676350c1bb1d8ba64fdc98f133943a83ea1985306fcb1a48,actual_speaker_invokes_former_president,gerald-ford,Gerald Ford,william-taft,William Taft,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1976-08-19,1976-08-19,1,AI-classified; not human-validated
invocation_edge_0016586c489dffc3edf0f239327cd3362d70396f7e1c272824c5d60ad04971d9,actual_speaker_invokes_former_president,barack-obama,Barack Obama,woodrow-wilson,Woodrow Wilson,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":1,""neutral"":0,""positive"":0,""unclear"":0}",2009-12-10,2009-12-10,1,AI-classified; not human-validated
invocation_edge_9343f4e9cd31aca21c52d542029c010fdc7b1a0b58cf49a6fc375df703067251,actual_speaker_invokes_former_president,herbert-hoover,Herbert Hoover,woodrow-wilson,Woodrow Wilson,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1932-10-28,1932-10-28,1,AI-classified; not human-validated
invocation_edge_fa1efc40e58f600b90f99ed8d22d909b9468762102efa016ad73c0176c70632e,actual_speaker_invokes_former_president,bill-clinton,Bill Clinton,woodrow-wilson,Woodrow Wilson,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":0}","{""mixed"":1,""negative"":0,""neutral"":0,""positive"":0,""unclear"":0}",1995-01-24,1995-01-24,1,AI-classified; not human-validated
invocation_edge_14805ec8c3d39103234bdaeea3d972053afa442d9b5de0adcbf34aae7fea8d48,actual_speaker_invokes_former_president,calvin-coolidge,Calvin Coolidge,warren-g-harding,Warren G. Harding,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":1,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1923-12-06,1923-12-06,1,AI-classified; not human-validated
invocation_edge_8ce5b7e31a1a9a32d58f91a6107e1f193c7a428c8dd6a5bc30a24d8fbcc560dd,actual_speaker_invokes_former_president,herbert-hoover,Herbert Hoover,warren-g-harding,Warren G. Harding,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1932-10-28,1932-10-28,1,AI-classified; not human-validated
invocation_edge_ba75f4b2e07ba31a0185168ff603fba9c6ab33a4d23e048c49353580a4ab6fe3,actual_speaker_invokes_former_president,john-f-kennedy,John F. Kennedy,warren-g-harding,Warren G. Harding,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1960-07-15,1960-07-15,1,AI-classified; not human-validated
invocation_edge_c122bcb60867075d6b13bb194bb275ea8a069c98cf8ccfe50ce7290d635ab822,actual_speaker_invokes_former_president,franklin-d-roosevelt,Franklin D. Roosevelt,warren-g-harding,Warren G. Harding,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1937-03-09,1937-03-09,1,AI-classified; not human-validated
invocation_edge_910f5f208a4f40b954b5d622a6cee754d022afee798077395f554a1e7c0bc786,actual_speaker_invokes_former_president,franklin-d-roosevelt,Franklin D. Roosevelt,calvin-coolidge,Calvin Coolidge,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1937-03-09,1937-03-09,1,AI-classified; not human-validated
invocation_edge_fbf5116f1ab6dea20f342993f378e74000b2314353795bfca0a4863087a832ae,actual_speaker_invokes_former_president,ronald-reagan,Ronald Reagan,calvin-coolidge,Calvin Coolidge,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1983-02-18,1983-02-18,1,AI-classified; not human-validated
invocation_edge_328492759672f919abb7d7851a7d8674cafda481734b13337f2c98cf74e69fa8,actual_speaker_invokes_former_president,jimmy-carter,Jimmy Carter,herbert-hoover,Herbert Hoover,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1980-08-14,1980-08-14,1,AI-classified; not human-validated
invocation_edge_413fa96363812709f8be5d45c79732e9cfe2a43f376c8f03b5636692bacc8f45,actual_speaker_invokes_former_president,richard-m-nixon,Richard M. Nixon,franklin-d-roosevelt,Franklin D. Roosevelt,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1970-04-30,1970-04-30,1,AI-classified; not human-validated
invocation_edge_ecbd8319ab6d08f1602119d1e55bb98eadc539d0e522017a89606459380c1956,actual_speaker_invokes_former_president,joe-biden,Joe Biden,harry-s-truman,Harry S. Truman,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2022-09-21,2022-09-21,1,AI-classified; not human-validated
invocation_edge_3a3a85473f2c34472c4006fe12c3ed15b5d4400cc0958d47eec75ffd793538ec,actual_speaker_invokes_former_president,george-h-w-bush,George H. W. Bush,john-f-kennedy,John F. Kennedy,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1988-08-18,1988-08-18,1,AI-classified; not human-validated
invocation_edge_308ad895fa51235cc53776c77e05b69c319c346c896937964bd99cee0fcf23bf,actual_speaker_invokes_former_president,george-w-bush,George W. Bush,lyndon-b-johnson,Lyndon B. Johnson,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2003-12-08,2003-12-08,1,AI-classified; not human-validated
invocation_edge_240e67607643546de31c892eb1ef0d2a203e915dd55ac1759fa59569b355e563,actual_speaker_invokes_former_president,barack-obama,Barack Obama,richard-m-nixon,Richard M. Nixon,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2009-12-10,2009-12-10,1,AI-classified; not human-validated
invocation_edge_d4a70a99d006503db075f49ef93eb62a5f9423b854c5c5d9909ca0146d872832,actual_speaker_invokes_former_president,ronald-reagan,Ronald Reagan,richard-m-nixon,Richard M. Nixon,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",1981-11-18,1981-11-18,1,AI-classified; not human-validated
invocation_edge_d3b86547aa1d1b31d76c15b40ff4df3f52f387067c54cbfb4226bcf1a16bf75a,actual_speaker_invokes_former_president,donald-trump,Donald Trump,gerald-ford,Gerald Ford,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2020-06-20,2020-06-20,1,AI-classified; not human-validated
invocation_edge_3dab5e6b45a2ef92bfcb1df098ca503ef5c12c5dab96a336ab323a6a3dc3357f,actual_speaker_invokes_former_president,joe-biden,Joe Biden,jimmy-carter,Jimmy Carter,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2021-01-20,2021-01-20,1,AI-classified; not human-validated
invocation_edge_97a50f756314ff08af34c12a15d5c4c4c8d3d78ce1d8d24a66a111fb2a12c8cd,actual_speaker_invokes_former_president,george-w-bush,George W. Bush,jimmy-carter,Jimmy Carter,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":0,""policy inheritance"":1}","{""mixed"":0,""negative"":0,""neutral"":0,""positive"":1,""unclear"":0}",2005-01-20,2005-01-20,1,AI-classified; not human-validated
invocation_edge_03628bb7ef4b69903a437241b0c915b08b6a016793d0dfcc993d1b5d3dce1934,actual_speaker_invokes_former_president,joe-biden,Joe Biden,ronald-reagan,Ronald Reagan,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2024-03-08,2024-03-08,1,AI-classified; not human-validated
invocation_edge_7c6834836e159ecf6e96c538f86aaf9db8d6d55fb3e67a9200c8e1b3564658b4,actual_speaker_invokes_former_president,donald-trump,Donald Trump,george-h-w-bush,George H. W. Bush,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2025-09-30,2025-09-30,1,AI-classified; not human-validated
invocation_edge_d519ba6ea763d02ff71978c420810ab53b90131a1a1af0cd5e881221452594b8,actual_speaker_invokes_former_president,george-w-bush,George W. Bush,george-h-w-bush,George H. W. Bush,1,1,1,"{""ceremonial/biographical"":0,""contemporary rivalry"":0,""historical comparison"":0,""institutional precedent"":0,""legacy/inheritance"":0,""other/unclear"":1,""policy inheritance"":0}","{""mixed"":0,""negative"":0,""neutral"":1,""positive"":0,""unclear"":0}",2009-01-12,2009-01-12,1,AI-classified; not human-validated
