,word,pos,lemma,year,president
0,while,IN,While,1890,Benjamin Harrison
1,it,PRP,it,1890,Benjamin Harrison
2,has,VBZ,have,1890,Benjamin Harrison
3,not,RB,not,1890,Benjamin Harrison
4,been,VBN,be,1890,Benjamin Harrison
5,thought,VBN,think,1890,Benjamin Harrison
6,best,JJS,best,1890,Benjamin Harrison
7,to,TO,to,1890,Benjamin Harrison
8,renew,VB,renew,1890,Benjamin Harrison
9,formally,RB,formally,1890,Benjamin Harrison
10,the,DT,the,1890,Benjamin Harrison
11,suggestion,NN,suggestion,1890,Benjamin Harrison
12,of,IN,of,1890,Benjamin Harrison
13,an,DT,an,1890,Benjamin Harrison
14,international,JJ,international,1890,Benjamin Harrison
15,conference,NN,conference,1890,Benjamin Harrison
16,looking,VBG,look,1890,Benjamin Harrison
17,to,TO,to,1890,Benjamin Harrison
18,an,DT,an,1890,Benjamin Harrison
19,agreement,NN,agreement,1890,Benjamin Harrison
20,touching,VBG,touch,1890,Benjamin Harrison
21,the,DT,the,1890,Benjamin Harrison
22,full,JJ,full,1890,Benjamin Harrison
23,use,NN,use,1890,Benjamin Harrison
24,of,IN,of,1890,Benjamin Harrison
25,silver,NN,silver,1890,Benjamin Harrison
26,for,IN,for,1890,Benjamin Harrison
27,coinage,NN,coinage,1890,Benjamin Harrison
28,at,IN,at,1890,Benjamin Harrison
29,a,DT,a,1890,Benjamin Harrison
30,uniform,JJ,uniform,1890,Benjamin Harrison
31,ratio,NN,ratio,1890,Benjamin Harrison
32,care,NN,care,1890,Benjamin Harrison
33,has,VBZ,have,1890,Benjamin Harrison
34,been,VBN,be,1890,Benjamin Harrison
35,taken,VBN,take,1890,Benjamin Harrison
36,to,TO,to,1890,Benjamin Harrison
37,observe,VB,observe,1890,Benjamin Harrison
38,closely,RB,closely,1890,Benjamin Harrison
39,any,DT,any,1890,Benjamin Harrison
40,change,NN,change,1890,Benjamin Harrison
41,in,IN,in,1890,Benjamin Harrison
42,the,DT,the,1890,Benjamin Harrison
43,situation,NN,situation,1890,Benjamin Harrison
44,abroad,RB,abroad,1890,Benjamin Harrison
45,and,CC,and,1890,Benjamin Harrison
46,no,DT,no,1890,Benjamin Harrison
47,favorable,JJ,favorable,1890,Benjamin Harrison
48,opportunity,NN,opportunity,1890,Benjamin Harrison
49,will,MD,will,1890,Benjamin Harrison
50,be,VB,be,1890,Benjamin Harrison
51,lost,VBN,lose,1890,Benjamin Harrison
52,to,TO,to,1890,Benjamin Harrison
53,promote,VB,promote,1890,Benjamin Harrison
54,a,DT,a,1890,Benjamin Harrison
55,result,NN,result,1890,Benjamin Harrison
56,which,WDT,which,1890,Benjamin Harrison
57,it,PRP,it,1890,Benjamin Harrison
58,is,VBZ,be,1890,Benjamin Harrison
59,confidently,RB,confidently,1890,Benjamin Harrison
60,believed,VBN,believe,1890,Benjamin Harrison
61,would,MD,would,1890,Benjamin Harrison
62,confer,VB,confer,1890,Benjamin Harrison
63,very,RB,very,1890,Benjamin Harrison
64,large,JJ,large,1890,Benjamin Harrison
65,benefits,NNS,benefit,1890,Benjamin Harrison
66,upon,IN,upon,1890,Benjamin Harrison
67,the,DT,the,1890,Benjamin Harrison
68,commerce,NN,commerce,1890,Benjamin Harrison
69,of,IN,of,1890,Benjamin Harrison
70,the,DT,the,1890,Benjamin Harrison
71,world,NN,world,1890,Benjamin Harrison
72,the,DT,The,1890,Benjamin Harrison
73,recent,JJ,recent,1890,Benjamin Harrison
74,monetary,JJ,monetary,1890,Benjamin Harrison
75,disturbances,NNS,disturbance,1890,Benjamin Harrison
76,in,IN,in,1890,Benjamin Harrison
77,england,NNP,England,1890,Benjamin Harrison
78,are,VBP,be,1890,Benjamin Harrison
79,not,RB,not,1890,Benjamin Harrison
80,unlikely,JJ,unlikely,1890,Benjamin Harrison
81,to,TO,to,1890,Benjamin Harrison
82,suggest,VB,suggest,1890,Benjamin Harrison
83,a,DT,a,1890,Benjamin Harrison
84,reexamination,NN,reexamination,1890,Benjamin Harrison
85,of,IN,of,1890,Benjamin Harrison
86,opinions,NNS,opinion,1890,Benjamin Harrison
87,upon,IN,upon,1890,Benjamin Harrison
88,this,DT,this,1890,Benjamin Harrison
89,subject,NN,subject,1890,Benjamin Harrison
90,our,PRP$,Our,1890,Benjamin Harrison
91,very,RB,very,1890,Benjamin Harrison
92,large,JJ,large,1890,Benjamin Harrison
93,supply,NN,supply,1890,Benjamin Harrison
94,of,IN,of,1890,Benjamin Harrison
95,gold,NN,gold,1890,Benjamin Harrison
96,will,MD,will,1890,Benjamin Harrison
97,if,IN,if,1890,Benjamin Harrison
98,not,RB,not,1890,Benjamin Harrison
99,lost,VBN,lose,1890,Benjamin Harrison
100,by,IN,by,1890,Benjamin Harrison
101,impulsive,JJ,impulsive,1890,Benjamin Harrison
102,legislation,NN,legislation,1890,Benjamin Harrison
103,in,IN,in,1890,Benjamin Harrison
104,the,DT,the,1890,Benjamin Harrison
105,supposed,JJ,supposed,1890,Benjamin Harrison
106,interest,NN,interest,1890,Benjamin Harrison
107,of,IN,of,1890,Benjamin Harrison
108,silver,NN,silver,1890,Benjamin Harrison
109,give,VB,give,1890,Benjamin Harrison
110,us,PRP,us,1890,Benjamin Harrison
111,a,DT,a,1890,Benjamin Harrison
112,position,NN,position,1890,Benjamin Harrison
113,of,IN,of,1890,Benjamin Harrison
114,advantage,NN,advantage,1890,Benjamin Harrison
115,in,IN,in,1890,Benjamin Harrison
116,promoting,VBG,promote,1890,Benjamin Harrison
117,a,DT,a,1890,Benjamin Harrison
118,permanent,JJ,permanent,1890,Benjamin Harrison
119,and,CC,and,1890,Benjamin Harrison
120,safe,JJ,safe,1890,Benjamin Harrison
121,international,JJ,international,1890,Benjamin Harrison
122,agreement,NN,agreement,1890,Benjamin Harrison
123,for,IN,for,1890,Benjamin Harrison
124,the,DT,the,1890,Benjamin Harrison
125,free,JJ,free,1890,Benjamin Harrison
126,use,NN,use,1890,Benjamin Harrison
127,of,IN,of,1890,Benjamin Harrison
128,silver,NN,silver,1890,Benjamin Harrison
129,as,IN,as,1890,Benjamin Harrison
130,a,DT,a,1890,Benjamin Harrison
131,coin,NN,coin,1890,Benjamin Harrison
132,metal,NN,metal,1890,Benjamin Harrison
133,the,DT,The,1890,Benjamin Harrison
134,efforts,NNS,effort,1890,Benjamin Harrison
135,of,IN,of,1890,Benjamin Harrison
136,the,DT,the,1890,Benjamin Harrison
137,secretary,NNP,Secretary,1890,Benjamin Harrison
138,to,TO,to,1890,Benjamin Harrison
139,increase,VB,increase,1890,Benjamin Harrison
140,the,DT,the,1890,Benjamin Harrison
141,volume,NN,volume,1890,Benjamin Harrison
142,of,IN,of,1890,Benjamin Harrison
143,money,NN,money,1890,Benjamin Harrison
144,in,IN,in,1890,Benjamin Harrison
145,circulation,NN,circulation,1890,Benjamin Harrison
146,by,IN,by,1890,Benjamin Harrison
147,keeping,VBG,keep,1890,Benjamin Harrison
148,down,RP,down,1890,Benjamin Harrison
149,the,DT,the,1890,Benjamin Harrison
150,treasury,NNP,Treasury,1890,Benjamin Harrison
151,surplus,NN,surplus,1890,Benjamin Harrison
152,to,TO,to,1890,Benjamin Harrison
153,the,DT,the,1890,Benjamin Harrison
154,lowest,JJS,low,1890,Benjamin Harrison
155,practicable,JJ,practicable,1890,Benjamin Harrison
156,limit,NN,limit,1890,Benjamin Harrison
157,have,VBP,have,1890,Benjamin Harrison
158,been,VBN,be,1890,Benjamin Harrison
159,unremitting,JJ,unremitting,1890,Benjamin Harrison
160,and,CC,and,1890,Benjamin Harrison
161,in,IN,in,1890,Benjamin Harrison
162,a,DT,a,1890,Benjamin Harrison
163,very,RB,very,1890,Benjamin Harrison
164,high,JJ,high,1890,Benjamin Harrison
165,degree,NN,degree,1890,Benjamin Harrison
166,successful,JJ,successful,1890,Benjamin Harrison
167,the,DT,The,1890,Benjamin Harrison
168,tables,NNS,table,1890,Benjamin Harrison
