,word,pos,lemma,year,president
0,i,PRP,I,1973,Richard Nixon
1,have,VBP,have,1973,Richard Nixon
2,today,NN,today,1973,Richard Nixon
3,issued,VBN,issue,1973,Richard Nixon
4,another,DT,another,1973,Richard Nixon
5,written,VBN,write,1973,Richard Nixon
6,statement,NN,statement,1973,Richard Nixon
7,which,WDT,which,1973,Richard Nixon
8,addresses,VBZ,address,1973,Richard Nixon
9,the,DT,the,1973,Richard Nixon
10,charges,NNS,charge,1973,Richard Nixon
11,that,WDT,that,1973,Richard Nixon
12,have,VBP,have,1973,Richard Nixon
13,been,VBN,be,1973,Richard Nixon
14,made,VBN,make,1973,Richard Nixon
15,since,IN,since,1973,Richard Nixon
16,then,RB,then,1973,Richard Nixon
17,as,IN,as,1973,Richard Nixon
18,they,PRP,they,1973,Richard Nixon
19,relate,VBP,relate,1973,Richard Nixon
20,to,TO,to,1973,Richard Nixon
21,my,PRP$,my,1973,Richard Nixon
22,own,JJ,own,1973,Richard Nixon
23,conduct,NN,conduct,1973,Richard Nixon
24,and,CC,and,1973,Richard Nixon
25,which,WDT,which,1973,Richard Nixon
26,describes,VBZ,describe,1973,Richard Nixon
27,the,DT,the,1973,Richard Nixon
28,efforts,NNS,effort,1973,Richard Nixon
29,that,IN,that,1973,Richard Nixon
30,i,PRP,I,1973,Richard Nixon
31,made,VBD,make,1973,Richard Nixon
32,to,TO,to,1973,Richard Nixon
33,discover,VB,discover,1973,Richard Nixon
34,the,DT,the,1973,Richard Nixon
35,facts,NNS,fact,1973,Richard Nixon
36,about,IN,about,1973,Richard Nixon
37,the,DT,the,1973,Richard Nixon
38,matter,NN,matter,1973,Richard Nixon
39,on,IN,On,1973,Richard Nixon
40,may,NNP,May,1973,Richard Nixon
41,22,CD,22,1973,Richard Nixon
42,i,PRP,I,1973,Richard Nixon
43,stated,VBD,state,1973,Richard Nixon
44,in,IN,in,1973,Richard Nixon
45,very,RB,very,1973,Richard Nixon
46,specific,JJ,specific,1973,Richard Nixon
47,terms—and,NN,terms—and,1973,Richard Nixon
48,i,PRP,I,1973,Richard Nixon
49,state,NN,state,1973,Richard Nixon
50,again,RB,again,1973,Richard Nixon
51,to,TO,to,1973,Richard Nixon
52,every,DT,every,1973,Richard Nixon
53,one,CD,one,1973,Richard Nixon
54,of,IN,of,1973,Richard Nixon
55,you,PRP,you,1973,Richard Nixon
56,listening,VBG,listen,1973,Richard Nixon
57,tonight,JJ,tonight,1973,Richard Nixon
