,word,pos,lemma,year,president
0,d,NN,d,1888,Grover Cleveland
1,arithmetic,NNP,Arithmetic,1888,Grover Cleveland
2,--,:,--,1888,Grover Cleveland
3,fundamental,JJ,fundamental,1888,Grover Cleveland
4,rules,NNS,rule,1888,Grover Cleveland
5,e,NN,e,1888,Grover Cleveland
6,elements,NNS,Elements,1888,Grover Cleveland
7,of,IN,of,1888,Grover Cleveland
8,the,DT,the,1888,Grover Cleveland
9,geography,NN,geography,1888,Grover Cleveland
10,of,IN,of,1888,Grover Cleveland
11,the,DT,the,1888,Grover Cleveland
12,united,NNP,United,1888,Grover Cleveland
13,states,NNPS,States,1888,Grover Cleveland
14,f,NN,f,1888,Grover Cleveland
15,knowledge,NNP,Knowledge,1888,Grover Cleveland
16,of,IN,of,1888,Grover Cleveland
17,the,DT,the,1888,Grover Cleveland
18,locality,NN,locality,1888,Grover Cleveland
19,of,IN,of,1888,Grover Cleveland
20,the,DT,the,1888,Grover Cleveland
21,post-office,JJ,post-office,1888,Grover Cleveland
22,delivery,NN,delivery,1888,Grover Cleveland
23,g,NN,g,1888,Grover Cleveland
24,physical,JJ,Physical,1888,Grover Cleveland
25,tests,NNS,test,1888,Grover Cleveland
26,messenger,NNP,Messenger,1888,Grover Cleveland
27,examination.,NN,examination.,1888,Grover Cleveland
28,--,:,--,1888,Grover Cleveland
29,this,DT,This,1888,Grover Cleveland
30,examination,NN,examination,1888,Grover Cleveland
31,shall,MD,shall,1888,Grover Cleveland
32,not,RB,not,1888,Grover Cleveland
33,include,VB,include,1888,Grover Cleveland
34,more,JJR,more,1888,Grover Cleveland
35,than,IN,than,1888,Grover Cleveland
36,the,DT,the,1888,Grover Cleveland
37,following,JJ,following,1888,Grover Cleveland
38,subjects,NNS,subject,1888,Grover Cleveland
39,a,DT,a,1888,Grover Cleveland
40,orthography,NN,Orthography,1888,Grover Cleveland
41,b,NN,b,1888,Grover Cleveland
42,copying,NN,Copying,1888,Grover Cleveland
43,c,NN,c,1888,Grover Cleveland
44,penmanship,NN,Penmanship,1888,Grover Cleveland
45,d,NN,d,1888,Grover Cleveland
46,arithmetic,NNP,Arithmetic,1888,Grover Cleveland
47,--,:,--,1888,Grover Cleveland
