,word,pos,lemma,year,president
0,that,DT,That,1953,Harry S. Truman
1,'s,VBZ,'s,1953,Harry S. Truman
2,what,WP,what,1953,Harry S. Truman
3,i,PRP,I,1953,Harry S. Truman
4,'ve,VBP,'ve,1953,Harry S. Truman
5,been,VBN,be,1953,Harry S. Truman
6,doing,VBG,do,1953,Harry S. Truman
7,here,RB,here,1953,Harry S. Truman
8,in,IN,in,1953,Harry S. Truman
9,this,DT,this,1953,Harry S. Truman
10,room,NN,room,1953,Harry S. Truman
11,for,IN,for,1953,Harry S. Truman
12,almost,RB,almost,1953,Harry S. Truman
13,8,CD,8,1953,Harry S. Truman
14,years,NNS,year,1953,Harry S. Truman
15,and,CC,And,1953,Harry S. Truman
16,over,IN,over,1953,Harry S. Truman
17,in,IN,in,1953,Harry S. Truman
18,the,DT,the,1953,Harry S. Truman
19,main,JJ,main,1953,Harry S. Truman
20,part,NN,part,1953,Harry S. Truman
21,of,IN,of,1953,Harry S. Truman
22,the,DT,the,1953,Harry S. Truman
23,white,NNP,White,1953,Harry S. Truman
24,house,NNP,House,1953,Harry S. Truman
25,there,EX,there,1953,Harry S. Truman
26,'s,VBZ,'s,1953,Harry S. Truman
27,a,DT,a,1953,Harry S. Truman
28,study,NN,study,1953,Harry S. Truman
29,on,IN,on,1953,Harry S. Truman
30,the,DT,the,1953,Harry S. Truman
31,second,JJ,second,1953,Harry S. Truman
32,floor—a,NN,floor—a,1953,Harry S. Truman
33,room,NN,room,1953,Harry S. Truman
34,much,RB,much,1953,Harry S. Truman
35,like,IN,like,1953,Harry S. Truman
36,this,DT,this,1953,Harry S. Truman
37,one—where,NN,one—where,1953,Harry S. Truman
38,i,PRP,I,1953,Harry S. Truman
39,have,VBP,have,1953,Harry S. Truman
40,worked,VBN,work,1953,Harry S. Truman
41,at,IN,at,1953,Harry S. Truman
42,night,NN,night,1953,Harry S. Truman
43,and,CC,and,1953,Harry S. Truman
44,early,RB,early,1953,Harry S. Truman
45,in,IN,in,1953,Harry S. Truman
46,the,DT,the,1953,Harry S. Truman
47,morning,NN,morning,1953,Harry S. Truman
48,on,IN,on,1953,Harry S. Truman
49,the,DT,the,1953,Harry S. Truman
50,papers,NNS,paper,1953,Harry S. Truman
51,i,PRP,I,1953,Harry S. Truman
52,could,MD,could,1953,Harry S. Truman
53,n't,RB,n't,1953,Harry S. Truman
54,get,VB,get,1953,Harry S. Truman
55,to,TO,to,1953,Harry S. Truman
56,at,IN,at,1953,Harry S. Truman
57,the,DT,the,1953,Harry S. Truman
58,office,NN,office,1953,Harry S. Truman
59,of,IN,Of,1953,Harry S. Truman
60,course,NN,course,1953,Harry S. Truman
61,for,IN,for,1953,Harry S. Truman
62,more,JJR,more,1953,Harry S. Truman
63,than,IN,than,1953,Harry S. Truman
64,3,CD,3,1953,Harry S. Truman
65,years,NNS,year,1953,Harry S. Truman
66,mrs.,NNP,Mrs.,1953,Harry S. Truman
67,truman,NNP,Truman,1953,Harry S. Truman
68,and,CC,and,1953,Harry S. Truman
69,i,PRP,I,1953,Harry S. Truman
70,were,VBD,be,1953,Harry S. Truman
71,not,RB,not,1953,Harry S. Truman
72,living,VBG,live,1953,Harry S. Truman
73,in,IN,in,1953,Harry S. Truman
74,the,DT,the,1953,Harry S. Truman
75,white,NNP,White,1953,Harry S. Truman
76,house,NNP,House,1953,Harry S. Truman
77,we,PRP,We,1953,Harry S. Truman
78,were,VBD,be,1953,Harry S. Truman
79,across,IN,across,1953,Harry S. Truman
80,the,DT,the,1953,Harry S. Truman
81,street,NN,street,1953,Harry S. Truman
82,in,IN,in,1953,Harry S. Truman
83,the,DT,the,1953,Harry S. Truman
84,blair,NNP,Blair,1953,Harry S. Truman
85,house,NNP,House,1953,Harry S. Truman
86,that,DT,That,1953,Harry S. Truman
87,was,VBD,be,1953,Harry S. Truman
88,when,WRB,when,1953,Harry S. Truman
89,the,DT,the,1953,Harry S. Truman
90,white,NNP,White,1953,Harry S. Truman
91,house,NNP,House,1953,Harry S. Truman
92,almost,RB,almost,1953,Harry S. Truman
93,fell,VBD,fell,1953,Harry S. Truman
