,word,pos,lemma,year,president
0,the,DT,The,1966,Lyndon B. Johnson
1,second,JJ,second,1966,Lyndon B. Johnson
2,essential,JJ,essential,1966,Lyndon B. Johnson
3,for,IN,for,1966,Lyndon B. Johnson
4,peace,NN,peace,1966,Lyndon B. Johnson
5,in,IN,in,1966,Lyndon B. Johnson
6,asia,NNP,Asia,1966,Lyndon B. Johnson
7,is,VBZ,be,1966,Lyndon B. Johnson
8,this,DT,this,1966,Lyndon B. Johnson
9,to,TO,to,1966,Lyndon B. Johnson
10,prove,VB,prove,1966,Lyndon B. Johnson
11,to,TO,to,1966,Lyndon B. Johnson
12,aggressive,JJ,aggressive,1966,Lyndon B. Johnson
13,nations,NNS,nation,1966,Lyndon B. Johnson
14,that,IN,that,1966,Lyndon B. Johnson
15,the,DT,the,1966,Lyndon B. Johnson
16,use,NN,use,1966,Lyndon B. Johnson
17,of,IN,of,1966,Lyndon B. Johnson
18,force,NN,force,1966,Lyndon B. Johnson
19,to,TO,to,1966,Lyndon B. Johnson
20,conquer,VB,conquer,1966,Lyndon B. Johnson
21,others,NNS,others,1966,Lyndon B. Johnson
22,is,VBZ,be,1966,Lyndon B. Johnson
23,really,RB,really,1966,Lyndon B. Johnson
24,a,DT,a,1966,Lyndon B. Johnson
25,losing,NN,losing,1966,Lyndon B. Johnson
26,game,NN,game,1966,Lyndon B. Johnson
27,there,EX,There,1966,Lyndon B. Johnson
28,is,VBZ,be,1966,Lyndon B. Johnson
29,no,DT,no,1966,Lyndon B. Johnson
30,more,RBR,more,1966,Lyndon B. Johnson
31,difficult,JJ,difficult,1966,Lyndon B. Johnson
32,task,NN,task,1966,Lyndon B. Johnson
33,really,RB,really,1966,Lyndon B. Johnson
34,in,IN,in,1966,Lyndon B. Johnson
35,a,DT,a,1966,Lyndon B. Johnson
36,world,NN,world,1966,Lyndon B. Johnson
37,of,IN,of,1966,Lyndon B. Johnson
38,revolutionary,JJ,revolutionary,1966,Lyndon B. Johnson
39,change-where,JJ,change-where,1966,Lyndon B. Johnson
40,the,DT,the,1966,Lyndon B. Johnson
41,rewards,NNS,reward,1966,Lyndon B. Johnson
42,of,IN,of,1966,Lyndon B. Johnson
43,conquest,JJS,conquest,1966,Lyndon B. Johnson
44,tempt,NN,tempt,1966,Lyndon B. Johnson
45,ambitious,JJ,ambitious,1966,Lyndon B. Johnson
46,appetites,NNS,appetite,1966,Lyndon B. Johnson
47,as,RB,As,1966,Lyndon B. Johnson
48,long,RB,long,1966,Lyndon B. Johnson
49,as,IN,as,1966,Lyndon B. Johnson
50,the,DT,the,1966,Lyndon B. Johnson
51,leaders,NNS,leader,1966,Lyndon B. Johnson
52,of,IN,of,1966,Lyndon B. Johnson
53,north,NNP,North,1966,Lyndon B. Johnson
54,vietnam,NNP,Vietnam,1966,Lyndon B. Johnson
55,really,RB,really,1966,Lyndon B. Johnson
56,believe,VBP,believe,1966,Lyndon B. Johnson
57,that,IN,that,1966,Lyndon B. Johnson
58,they,PRP,they,1966,Lyndon B. Johnson
59,can,MD,can,1966,Lyndon B. Johnson
60,take,VB,take,1966,Lyndon B. Johnson
61,over,RP,over,1966,Lyndon B. Johnson
62,the,DT,the,1966,Lyndon B. Johnson
63,people,NNS,people,1966,Lyndon B. Johnson
64,of,IN,of,1966,Lyndon B. Johnson
65,south,NNP,South,1966,Lyndon B. Johnson
66,vietnam,NNP,Vietnam,1966,Lyndon B. Johnson
67,by,IN,by,1966,Lyndon B. Johnson
68,force,NN,force,1966,Lyndon B. Johnson
69,we,PRP,we,1966,Lyndon B. Johnson
70,just,RB,just,1966,Lyndon B. Johnson
71,must,MD,must,1966,Lyndon B. Johnson
72,not,RB,not,1966,Lyndon B. Johnson
73,let,VB,let,1966,Lyndon B. Johnson
74,them,PRP,them,1966,Lyndon B. Johnson
75,succeed,VB,succeed,1966,Lyndon B. Johnson
76,we,PRP,We,1966,Lyndon B. Johnson
77,must,MD,must,1966,Lyndon B. Johnson
78,stand,VB,stand,1966,Lyndon B. Johnson
79,across,IN,across,1966,Lyndon B. Johnson
80,their,PRP$,their,1966,Lyndon B. Johnson
81,path,NN,path,1966,Lyndon B. Johnson
82,and,CC,and,1966,Lyndon B. Johnson
83,say,VB,say,1966,Lyndon B. Johnson
84,``,``,``,1966,Lyndon B. Johnson
85,you,PRP,You,1966,Lyndon B. Johnson
86,will,MD,will,1966,Lyndon B. Johnson
87,not,RB,not,1966,Lyndon B. Johnson
88,prevail,VB,prevail,1966,Lyndon B. Johnson
89,but,CC,but,1966,Lyndon B. Johnson
90,turn,VBP,turn,1966,Lyndon B. Johnson
91,from,IN,from,1966,Lyndon B. Johnson
92,the,DT,the,1966,Lyndon B. Johnson
93,use,NN,use,1966,Lyndon B. Johnson
94,of,IN,of,1966,Lyndon B. Johnson
95,force,NN,force,1966,Lyndon B. Johnson
96,and,CC,and,1966,Lyndon B. Johnson
97,peace,NN,peace,1966,Lyndon B. Johnson
98,will,MD,will,1966,Lyndon B. Johnson
99,follow,VB,follow,1966,Lyndon B. Johnson
100,'','','',1966,Lyndon B. Johnson
101,every,DT,Every,1966,Lyndon B. Johnson
102,american,JJ,American,1966,Lyndon B. Johnson
103,must,MD,must,1966,Lyndon B. Johnson
104,know,VB,know,1966,Lyndon B. Johnson
105,exactly,RB,exactly,1966,Lyndon B. Johnson
106,what,WP,what,1966,Lyndon B. Johnson
107,it,PRP,it,1966,Lyndon B. Johnson
108,is,VBZ,be,1966,Lyndon B. Johnson
109,that,IN,that,1966,Lyndon B. Johnson
110,we,PRP,we,1966,Lyndon B. Johnson
111,are,VBP,be,1966,Lyndon B. Johnson
112,trying,VBG,try,1966,Lyndon B. Johnson
113,to,TO,to,1966,Lyndon B. Johnson
114,do,VB,do,1966,Lyndon B. Johnson
115,in,IN,in,1966,Lyndon B. Johnson
116,vietnam,NNP,Vietnam,1966,Lyndon B. Johnson
117,our,PRP$,Our,1966,Lyndon B. Johnson
118,greatest,JJS,great,1966,Lyndon B. Johnson
119,resource,NN,resource,1966,Lyndon B. Johnson
120,really,RB,really,1966,Lyndon B. Johnson
121,in,IN,in,1966,Lyndon B. Johnson
122,this,DT,this,1966,Lyndon B. Johnson
123,conflict-our,JJ,conflict-our,1966,Lyndon B. Johnson
124,greatest,JJS,great,1966,Lyndon B. Johnson
125,support,NN,support,1966,Lyndon B. Johnson
126,for,IN,for,1966,Lyndon B. Johnson
127,the,DT,the,1966,Lyndon B. Johnson
128,men,NNS,men,1966,Lyndon B. Johnson
129,who,WP,who,1966,Lyndon B. Johnson
130,are,VBP,be,1966,Lyndon B. Johnson
131,fighting,VBG,fight,1966,Lyndon B. Johnson
132,out,IN,out,1966,Lyndon B. Johnson
133,there-is,JJ,there-is,1966,Lyndon B. Johnson
134,your,PRP$,your,1966,Lyndon B. Johnson
135,understanding,NN,understanding,1966,Lyndon B. Johnson
136,it,PRP,It,1966,Lyndon B. Johnson
137,is,VBZ,be,1966,Lyndon B. Johnson
138,your,PRP$,your,1966,Lyndon B. Johnson
139,willingness,NN,willingness,1966,Lyndon B. Johnson
140,to,TO,to,1966,Lyndon B. Johnson
141,carry,VB,carry,1966,Lyndon B. Johnson
142,perhaps,RB,perhaps,1966,Lyndon B. Johnson
143,for,IN,for,1966,Lyndon B. Johnson
144,a,DT,a,1966,Lyndon B. Johnson
145,long,JJ,long,1966,Lyndon B. Johnson
146,time,NN,time,1966,Lyndon B. Johnson
147,the,DT,the,1966,Lyndon B. Johnson
148,heavy,JJ,heavy,1966,Lyndon B. Johnson
149,burden,NN,burden,1966,Lyndon B. Johnson
150,of,IN,of,1966,Lyndon B. Johnson
151,a,DT,a,1966,Lyndon B. Johnson
152,confusing,JJ,confusing,1966,Lyndon B. Johnson
153,and,CC,and,1966,Lyndon B. Johnson
154,costly,JJ,costly,1966,Lyndon B. Johnson
155,war,NN,war,1966,Lyndon B. Johnson
156,we,PRP,We,1966,Lyndon B. Johnson
157,are,VBP,be,1966,Lyndon B. Johnson
158,not,RB,not,1966,Lyndon B. Johnson
159,trying,VBG,try,1966,Lyndon B. Johnson
160,to,TO,to,1966,Lyndon B. Johnson
161,wipe,VB,wipe,1966,Lyndon B. Johnson
162,out,RP,out,1966,Lyndon B. Johnson
163,north,NNP,North,1966,Lyndon B. Johnson
164,vietnam,NNP,Vietnam,1966,Lyndon B. Johnson
165,we,PRP,We,1966,Lyndon B. Johnson
166,are,VBP,be,1966,Lyndon B. Johnson
167,not,RB,not,1966,Lyndon B. Johnson
168,trying,VBG,try,1966,Lyndon B. Johnson
169,to,TO,to,1966,Lyndon B. Johnson
170,change,VB,change,1966,Lyndon B. Johnson
171,their,PRP$,their,1966,Lyndon B. Johnson
172,government,NN,government,1966,Lyndon B. Johnson
173,we,PRP,We,1966,Lyndon B. Johnson
174,are,VBP,be,1966,Lyndon B. Johnson
175,not,RB,not,1966,Lyndon B. Johnson
176,trying,VBG,try,1966,Lyndon B. Johnson
177,to,TO,to,1966,Lyndon B. Johnson
178,establish,VB,establish,1966,Lyndon B. Johnson
179,permanent,JJ,permanent,1966,Lyndon B. Johnson
180,bases,NNS,base,1966,Lyndon B. Johnson
181,in,IN,in,1966,Lyndon B. Johnson
182,south,NNP,South,1966,Lyndon B. Johnson
183,vietnam,NNP,Vietnam,1966,Lyndon B. Johnson
184,and,CC,And,1966,Lyndon B. Johnson
185,we,PRP,we,1966,Lyndon B. Johnson
186,are,VBP,be,1966,Lyndon B. Johnson
187,not,RB,not,1966,Lyndon B. Johnson
188,trying,VBG,try,1966,Lyndon B. Johnson
189,to,TO,to,1966,Lyndon B. Johnson
190,gain,VB,gain,1966,Lyndon B. Johnson
191,one,CD,one,1966,Lyndon B. Johnson
192,inch,NN,inch,1966,Lyndon B. Johnson
193,of,IN,of,1966,Lyndon B. Johnson
194,new,JJ,new,1966,Lyndon B. Johnson
195,territory,NN,territory,1966,Lyndon B. Johnson
196,for,IN,for,1966,Lyndon B. Johnson
197,america,NNP,America,1966,Lyndon B. Johnson
198,then,RB,Then,1966,Lyndon B. Johnson
199,you,PRP,you,1966,Lyndon B. Johnson
200,say,VBP,say,1966,Lyndon B. Johnson
201,``,``,``,1966,Lyndon B. Johnson
202,why,WRB,Why,1966,Lyndon B. Johnson
203,are,VBP,be,1966,Lyndon B. Johnson
204,we,PRP,we,1966,Lyndon B. Johnson
205,there,RB,there,1966,Lyndon B. Johnson
206,'','','',1966,Lyndon B. Johnson
207,why,WRB,Why,1966,Lyndon B. Johnson
208,well,RB,Well,1966,Lyndon B. Johnson
209,we,PRP,we,1966,Lyndon B. Johnson
210,are,VBP,be,1966,Lyndon B. Johnson
211,there,RB,there,1966,Lyndon B. Johnson
212,because,IN,because,1966,Lyndon B. Johnson
213,we,PRP,we,1966,Lyndon B. Johnson
214,are,VBP,be,1966,Lyndon B. Johnson
215,trying,VBG,try,1966,Lyndon B. Johnson
216,to,TO,to,1966,Lyndon B. Johnson
217,make,VB,make,1966,Lyndon B. Johnson
218,the,DT,the,1966,Lyndon B. Johnson
219,communists,NNPS,Communists,1966,Lyndon B. Johnson
220,of,IN,of,1966,Lyndon B. Johnson
221,north,NNP,North,1966,Lyndon B. Johnson
222,vietnam,NNP,Vietnam,1966,Lyndon B. Johnson
223,stop,VBD,stop,1966,Lyndon B. Johnson
224,shooting,VBG,shoot,1966,Lyndon B. Johnson
225,at,IN,at,1966,Lyndon B. Johnson
226,their,PRP$,their,1966,Lyndon B. Johnson
227,neighbors,NNS,neighbor,1966,Lyndon B. Johnson
228,-because,IN,-because,1966,Lyndon B. Johnson
229,we,PRP,we,1966,Lyndon B. Johnson
230,are,VBP,be,1966,Lyndon B. Johnson
231,trying,VBG,try,1966,Lyndon B. Johnson
232,to,TO,to,1966,Lyndon B. Johnson
233,make,VB,make,1966,Lyndon B. Johnson
234,this,DT,this,1966,Lyndon B. Johnson
235,communist,NNP,Communist,1966,Lyndon B. Johnson
236,aggression,NN,aggression,1966,Lyndon B. Johnson
237,unprofitable,JJ,unprofitable,1966,Lyndon B. Johnson
238,-because,IN,-because,1966,Lyndon B. Johnson
239,we,PRP,we,1966,Lyndon B. Johnson
240,are,VBP,be,1966,Lyndon B. Johnson
241,trying,VBG,try,1966,Lyndon B. Johnson
242,to,TO,to,1966,Lyndon B. Johnson
243,demonstrate,VB,demonstrate,1966,Lyndon B. Johnson
244,that,IN,that,1966,Lyndon B. Johnson
245,guerrilla,NN,guerrilla,1966,Lyndon B. Johnson
246,warfare,NN,warfare,1966,Lyndon B. Johnson
247,inspired,VBN,inspire,1966,Lyndon B. Johnson
248,by,IN,by,1966,Lyndon B. Johnson
249,one,CD,one,1966,Lyndon B. Johnson
250,nation,NN,nation,1966,Lyndon B. Johnson
251,against,IN,against,1966,Lyndon B. Johnson
252,another,DT,another,1966,Lyndon B. Johnson
253,nation,NN,nation,1966,Lyndon B. Johnson
254,just,RB,just,1966,Lyndon B. Johnson
255,can,MD,can,1966,Lyndon B. Johnson
256,never,RB,never,1966,Lyndon B. Johnson
257,succeed,VB,succeed,1966,Lyndon B. Johnson
258,once,RB,Once,1966,Lyndon B. Johnson
259,that,IN,that,1966,Lyndon B. Johnson
260,lesson,NN,lesson,1966,Lyndon B. Johnson
261,is,VBZ,be,1966,Lyndon B. Johnson
262,learned,VBN,learn,1966,Lyndon B. Johnson
263,a,DT,a,1966,Lyndon B. Johnson
264,shadow,NN,shadow,1966,Lyndon B. Johnson
265,that,WDT,that,1966,Lyndon B. Johnson
266,hangs,VBZ,hang,1966,Lyndon B. Johnson
267,over,IN,over,1966,Lyndon B. Johnson
268,all,DT,all,1966,Lyndon B. Johnson
269,of,IN,of,1966,Lyndon B. Johnson
270,asia,NNP,Asia,1966,Lyndon B. Johnson
271,tonight,NN,tonight,1966,Lyndon B. Johnson
272,will,MD,will,1966,Lyndon B. Johnson
273,i,PRP,I,1966,Lyndon B. Johnson
274,think,VBP,think,1966,Lyndon B. Johnson
275,begin,VBP,begin,1966,Lyndon B. Johnson
276,to,TO,to,1966,Lyndon B. Johnson
277,recede,VB,recede,1966,Lyndon B. Johnson
278,``,``,``,1966,Lyndon B. Johnson
279,well,RB,Well,1966,Lyndon B. Johnson
280,'','','',1966,Lyndon B. Johnson
281,you,PRP,you,1966,Lyndon B. Johnson
282,say,VBP,say,1966,Lyndon B. Johnson
283,``,``,``,1966,Lyndon B. Johnson
284,when,WRB,when,1966,Lyndon B. Johnson
285,will,MD,will,1966,Lyndon B. Johnson
286,that,DT,that,1966,Lyndon B. Johnson
287,day,NN,day,1966,Lyndon B. Johnson
288,come,VB,come,1966,Lyndon B. Johnson
289,'','','',1966,Lyndon B. Johnson
290,i,PRP,I,1966,Lyndon B. Johnson
291,am,VBP,be,1966,Lyndon B. Johnson
292,sorry,JJ,sorry,1966,Lyndon B. Johnson
293,i,PRP,I,1966,Lyndon B. Johnson
294,can,MD,can,1966,Lyndon B. Johnson
295,not,RB,not,1966,Lyndon B. Johnson
296,tell,VB,tell,1966,Lyndon B. Johnson
297,you,PRP,you,1966,Lyndon B. Johnson
298,only,RB,Only,1966,Lyndon B. Johnson
299,the,DT,the,1966,Lyndon B. Johnson
300,men,NNS,men,1966,Lyndon B. Johnson
