,word,pos,lemma,year,president
0,mr.,NNP,MR.,1960,John F. Kennedy
1,nixon,NNP,NIXON,1960,John F. Kennedy
2,i,PRP,I,1960,John F. Kennedy
3,did,VBD,do,1960,John F. Kennedy
4,and,CC,And,1960,John F. Kennedy
5,as,IN,as,1960,John F. Kennedy
6,i,PRP,I,1960,John F. Kennedy
7,pointed,VBD,point,1960,John F. Kennedy
8,out,RP,out,1960,John F. Kennedy
9,in,IN,in,1960,John F. Kennedy
10,1952,CD,1952,1960,John F. Kennedy
11,i,PRP,I,1960,John F. Kennedy
12,made,VBD,make,1960,John F. Kennedy
13,it,PRP,it,1960,John F. Kennedy
14,very,RB,very,1960,John F. Kennedy
15,clear,JJ,clear,1960,John F. Kennedy
16,that,IN,that,1960,John F. Kennedy
17,as,RB,as,1960,John F. Kennedy
18,far,RB,far,1960,John F. Kennedy
19,as,IN,as,1960,John F. Kennedy
20,the,DT,the,1960,John F. Kennedy
21,korean,NNP,Korean,1960,John F. Kennedy
22,war,NNP,War,1960,John F. Kennedy
23,was,VBD,be,1960,John F. Kennedy
24,concerned,VBN,concern,1960,John F. Kennedy
25,that,IN,that,1960,John F. Kennedy
26,i,PRP,I,1960,John F. Kennedy
27,felt,VBD,felt,1960,John F. Kennedy
28,that,IN,that,1960,John F. Kennedy
29,the,DT,the,1960,John F. Kennedy
30,decision,NN,decision,1960,John F. Kennedy
31,to,TO,to,1960,John F. Kennedy
32,go,VB,go,1960,John F. Kennedy
33,into,IN,into,1960,John F. Kennedy
34,the,DT,the,1960,John F. Kennedy
35,war,NN,war,1960,John F. Kennedy
36,in,IN,in,1960,John F. Kennedy
37,korea,NNP,Korea,1960,John F. Kennedy
38,was,VBD,be,1960,John F. Kennedy
39,right,JJ,right,1960,John F. Kennedy
40,and,CC,and,1960,John F. Kennedy
41,necessary,JJ,necessary,1960,John F. Kennedy
42,what,WP,What,1960,John F. Kennedy
43,i,PRP,I,1960,John F. Kennedy
44,criticized,VBD,criticize,1960,John F. Kennedy
45,were,VBD,be,1960,John F. Kennedy
46,the,DT,the,1960,John F. Kennedy
47,policies,NNS,policy,1960,John F. Kennedy
48,that,WDT,that,1960,John F. Kennedy
49,made,VBD,make,1960,John F. Kennedy
50,it,PRP,it,1960,John F. Kennedy
51,necessary,JJ,necessary,1960,John F. Kennedy
52,to,TO,to,1960,John F. Kennedy
53,go,VB,go,1960,John F. Kennedy
54,to,TO,to,1960,John F. Kennedy
55,korea,NNP,Korea,1960,John F. Kennedy
56,now,RB,Now,1960,John F. Kennedy
57,incidentally,RB,incidentally,1960,John F. Kennedy
58,i,PRP,I,1960,John F. Kennedy
59,should,MD,should,1960,John F. Kennedy
60,point,VB,point,1960,John F. Kennedy
61,out,RP,out,1960,John F. Kennedy
62,here,RB,here,1960,John F. Kennedy
63,that,IN,that,1960,John F. Kennedy
64,senator,NNP,Senator,1960,John F. Kennedy
65,kennedy,NNP,Kennedy,1960,John F. Kennedy
66,has,VBZ,have,1960,John F. Kennedy
67,attacked,VBN,attack,1960,John F. Kennedy
68,our,PRP$,our,1960,John F. Kennedy
69,foreign,JJ,foreign,1960,John F. Kennedy
70,policy,NN,policy,1960,John F. Kennedy
71,he,PRP,He,1960,John F. Kennedy
72,'s,VBZ,'s,1960,John F. Kennedy
73,said,VBD,say,1960,John F. Kennedy
74,that,IN,that,1960,John F. Kennedy
75,it,PRP,it,1960,John F. Kennedy
76,'s,VBZ,'s,1960,John F. Kennedy
77,been,VBN,be,1960,John F. Kennedy
78,a,DT,a,1960,John F. Kennedy
79,policy,NN,policy,1960,John F. Kennedy
80,that,WDT,that,1960,John F. Kennedy
81,has,VBZ,have,1960,John F. Kennedy
82,led,VBN,lead,1960,John F. Kennedy
83,to,TO,to,1960,John F. Kennedy
84,defeat,VB,defeat,1960,John F. Kennedy
85,and,CC,and,1960,John F. Kennedy
86,retreat,VB,retreat,1960,John F. Kennedy
87,and,CC,And,1960,John F. Kennedy
88,i,PRP,I,1960,John F. Kennedy
89,'d,MD,'d,1960,John F. Kennedy
90,like,VB,like,1960,John F. Kennedy
91,to,TO,to,1960,John F. Kennedy
92,know,VB,know,1960,John F. Kennedy
93,where,WRB,where,1960,John F. Kennedy
94,have,VBP,have,1960,John F. Kennedy
95,we,PRP,we,1960,John F. Kennedy
96,been,VBN,be,1960,John F. Kennedy
97,defeated,VBN,defeat,1960,John F. Kennedy
98,and,CC,and,1960,John F. Kennedy
99,where,WRB,where,1960,John F. Kennedy
100,have,VBP,have,1960,John F. Kennedy
101,we,PRP,we,1960,John F. Kennedy
102,retreated,VBN,retreat,1960,John F. Kennedy
103,in,IN,In,1960,John F. Kennedy
104,the,DT,the,1960,John F. Kennedy
105,truman,NNP,Truman,1960,John F. Kennedy
106,administration,NNP,Administration,1960,John F. Kennedy
107,six,CD,six,1960,John F. Kennedy
108,hundred,CD,hundred,1960,John F. Kennedy
109,million,CD,million,1960,John F. Kennedy
110,people,NNS,people,1960,John F. Kennedy
111,went,VBD,go,1960,John F. Kennedy
112,behind,IN,behind,1960,John F. Kennedy
113,the,DT,the,1960,John F. Kennedy
114,iron,NNP,Iron,1960,John F. Kennedy
115,curtain,NNP,Curtain,1960,John F. Kennedy
116,including,VBG,include,1960,John F. Kennedy
117,the,DT,the,1960,John F. Kennedy
118,satellite,NN,satellite,1960,John F. Kennedy
119,countries,NNS,country,1960,John F. Kennedy
120,of,IN,of,1960,John F. Kennedy
121,eastern,NNP,Eastern,1960,John F. Kennedy
122,europe,NNP,Europe,1960,John F. Kennedy
123,and,CC,and,1960,John F. Kennedy
124,communist,NNP,Communist,1960,John F. Kennedy
125,china,NNP,China,1960,John F. Kennedy
126,in,IN,In,1960,John F. Kennedy
127,this,DT,this,1960,John F. Kennedy
128,administration,NNP,Administration,1960,John F. Kennedy
129,we,PRP,we,1960,John F. Kennedy
130,'ve,VBP,'ve,1960,John F. Kennedy
131,stopped,VBD,stop,1960,John F. Kennedy
132,them,PRP,them,1960,John F. Kennedy
133,at,IN,at,1960,John F. Kennedy
134,quemoy,NNP,Quemoy,1960,John F. Kennedy
135,and,CC,and,1960,John F. Kennedy
136,matsu,NNP,Matsu,1960,John F. Kennedy
137,we,PRP,we,1960,John F. Kennedy
138,'ve,VBP,'ve,1960,John F. Kennedy
139,stopped,VBN,stop,1960,John F. Kennedy
140,them,PRP,them,1960,John F. Kennedy
141,in,IN,in,1960,John F. Kennedy
142,indochina,NNP,Indochina,1960,John F. Kennedy
143,we,PRP,we,1960,John F. Kennedy
144,'ve,VBP,'ve,1960,John F. Kennedy
145,stopped,VBN,stop,1960,John F. Kennedy
146,them,PRP,them,1960,John F. Kennedy
147,in,IN,in,1960,John F. Kennedy
148,lebanon,NNP,Lebanon,1960,John F. Kennedy
149,we,PRP,we,1960,John F. Kennedy
150,'ve,VBP,'ve,1960,John F. Kennedy
151,stopped,VBN,stop,1960,John F. Kennedy
152,them,PRP,them,1960,John F. Kennedy
153,in,IN,in,1960,John F. Kennedy
154,other,JJ,other,1960,John F. Kennedy
