,word,pos,lemma,year,president
0,we,PRP,We,1947,Harry S. Truman
1,have,VBP,have,1947,Harry S. Truman
2,considered,VBN,consider,1947,Harry S. Truman
3,how,WRB,how,1947,Harry S. Truman
4,the,DT,the,1947,Harry S. Truman
5,united,NNP,United,1947,Harry S. Truman
6,nations,NNPS,Nations,1947,Harry S. Truman
7,might,MD,might,1947,Harry S. Truman
8,assist,VB,assist,1947,Harry S. Truman
9,in,IN,in,1947,Harry S. Truman
10,this,DT,this,1947,Harry S. Truman
11,crisis,NN,crisis,1947,Harry S. Truman
12,but,CC,But,1947,Harry S. Truman
13,the,DT,the,1947,Harry S. Truman
14,situation,NN,situation,1947,Harry S. Truman
15,is,VBZ,be,1947,Harry S. Truman
16,an,DT,an,1947,Harry S. Truman
17,urgent,JJ,urgent,1947,Harry S. Truman
18,one,CD,one,1947,Harry S. Truman
19,requiring,VBG,require,1947,Harry S. Truman
20,immediate,JJ,immediate,1947,Harry S. Truman
21,action,NN,action,1947,Harry S. Truman
22,and,CC,and,1947,Harry S. Truman
23,the,DT,the,1947,Harry S. Truman
24,united,NNP,United,1947,Harry S. Truman
25,nations,NNPS,Nations,1947,Harry S. Truman
26,and,CC,and,1947,Harry S. Truman
27,its,PRP$,its,1947,Harry S. Truman
28,related,JJ,related,1947,Harry S. Truman
29,organizations,NNS,organization,1947,Harry S. Truman
30,are,VBP,be,1947,Harry S. Truman
31,not,RB,not,1947,Harry S. Truman
32,in,IN,in,1947,Harry S. Truman
33,a,DT,a,1947,Harry S. Truman
34,position,NN,position,1947,Harry S. Truman
35,to,TO,to,1947,Harry S. Truman
36,extend,VB,extend,1947,Harry S. Truman
37,help,NN,help,1947,Harry S. Truman
38,of,IN,of,1947,Harry S. Truman
39,the,DT,the,1947,Harry S. Truman
40,kind,NN,kind,1947,Harry S. Truman
41,that,WDT,that,1947,Harry S. Truman
42,is,VBZ,be,1947,Harry S. Truman
43,required,VBN,require,1947,Harry S. Truman
44,it,PRP,It,1947,Harry S. Truman
45,is,VBZ,be,1947,Harry S. Truman
46,important,JJ,important,1947,Harry S. Truman
47,to,TO,to,1947,Harry S. Truman
48,note,VB,note,1947,Harry S. Truman
49,that,IN,that,1947,Harry S. Truman
50,the,DT,the,1947,Harry S. Truman
51,greek,JJ,Greek,1947,Harry S. Truman
52,government,NNP,Government,1947,Harry S. Truman
53,has,VBZ,have,1947,Harry S. Truman
54,asked,VBN,ask,1947,Harry S. Truman
55,for,IN,for,1947,Harry S. Truman
56,our,PRP$,our,1947,Harry S. Truman
57,aid,NN,aid,1947,Harry S. Truman
58,in,IN,in,1947,Harry S. Truman
59,utilizing,VBG,utilize,1947,Harry S. Truman
60,effectively,RB,effectively,1947,Harry S. Truman
61,the,DT,the,1947,Harry S. Truman
62,financial,JJ,financial,1947,Harry S. Truman
63,and,CC,and,1947,Harry S. Truman
64,other,JJ,other,1947,Harry S. Truman
65,assistance,NN,assistance,1947,Harry S. Truman
66,we,PRP,we,1947,Harry S. Truman
67,may,MD,may,1947,Harry S. Truman
68,give,VB,give,1947,Harry S. Truman
69,to,TO,to,1947,Harry S. Truman
70,greece,NNP,Greece,1947,Harry S. Truman
71,and,CC,and,1947,Harry S. Truman
72,in,IN,in,1947,Harry S. Truman
73,improving,VBG,improve,1947,Harry S. Truman
74,its,PRP$,its,1947,Harry S. Truman
75,public,JJ,public,1947,Harry S. Truman
76,administration,NN,administration,1947,Harry S. Truman
77,it,PRP,It,1947,Harry S. Truman
78,is,VBZ,be,1947,Harry S. Truman
79,of,IN,of,1947,Harry S. Truman
80,the,DT,the,1947,Harry S. Truman
81,utmost,JJ,utmost,1947,Harry S. Truman
82,importance,NN,importance,1947,Harry S. Truman
83,that,IN,that,1947,Harry S. Truman
84,we,PRP,we,1947,Harry S. Truman
85,supervise,VBP,supervise,1947,Harry S. Truman
86,the,DT,the,1947,Harry S. Truman
87,use,NN,use,1947,Harry S. Truman
88,of,IN,of,1947,Harry S. Truman
89,any,DT,any,1947,Harry S. Truman
90,funds,NNS,fund,1947,Harry S. Truman
91,made,VBN,make,1947,Harry S. Truman
92,available,JJ,available,1947,Harry S. Truman
93,to,TO,to,1947,Harry S. Truman
94,greece,NNP,Greece,1947,Harry S. Truman
95,in,IN,in,1947,Harry S. Truman
96,such,PDT,such,1947,Harry S. Truman
97,a,DT,a,1947,Harry S. Truman
98,manner,NN,manner,1947,Harry S. Truman
99,that,IN,that,1947,Harry S. Truman
100,each,DT,each,1947,Harry S. Truman
101,dollar,NN,dollar,1947,Harry S. Truman
102,spent,NN,spent,1947,Harry S. Truman
103,will,MD,will,1947,Harry S. Truman
104,count,VB,count,1947,Harry S. Truman
105,toward,IN,toward,1947,Harry S. Truman
106,making,VBG,make,1947,Harry S. Truman
107,greece,NNP,Greece,1947,Harry S. Truman
108,self-supporting,NN,self-supporting,1947,Harry S. Truman
109,and,CC,and,1947,Harry S. Truman
110,will,MD,will,1947,Harry S. Truman
111,help,VB,help,1947,Harry S. Truman
112,to,TO,to,1947,Harry S. Truman
113,build,VB,build,1947,Harry S. Truman
114,an,DT,an,1947,Harry S. Truman
115,economy,NN,economy,1947,Harry S. Truman
116,in,IN,in,1947,Harry S. Truman
117,which,WDT,which,1947,Harry S. Truman
118,a,DT,a,1947,Harry S. Truman
119,healthy,JJ,healthy,1947,Harry S. Truman
120,democracy,NN,democracy,1947,Harry S. Truman
121,can,MD,can,1947,Harry S. Truman
122,flourish,VB,flourish,1947,Harry S. Truman
123,no,DT,No,1947,Harry S. Truman
124,government,NN,government,1947,Harry S. Truman
125,is,VBZ,be,1947,Harry S. Truman
126,perfect,JJ,perfect,1947,Harry S. Truman
127,one,CD,One,1947,Harry S. Truman
128,of,IN,of,1947,Harry S. Truman
129,the,DT,the,1947,Harry S. Truman
130,chief,JJ,chief,1947,Harry S. Truman
131,virtues,NNS,virtue,1947,Harry S. Truman
132,of,IN,of,1947,Harry S. Truman
133,a,DT,a,1947,Harry S. Truman
134,democracy,NN,democracy,1947,Harry S. Truman
135,however,RB,however,1947,Harry S. Truman
136,is,VBZ,be,1947,Harry S. Truman
137,that,IN,that,1947,Harry S. Truman
138,its,PRP$,its,1947,Harry S. Truman
139,defects,NNS,defect,1947,Harry S. Truman
140,are,VBP,be,1947,Harry S. Truman
