,word,pos,lemma,year,president
0,the,DT,The,1962,John F. Kennedy
1,1930,CD,1930,1962,John F. Kennedy
2,'s,POS,'s,1962,John F. Kennedy
3,taught,JJ,taught,1962,John F. Kennedy
4,us,PRP,us,1962,John F. Kennedy
5,a,DT,a,1962,John F. Kennedy
6,clear,JJ,clear,1962,John F. Kennedy
7,lesson,NN,lesson,1962,John F. Kennedy
8,aggressive,JJ,aggressive,1962,John F. Kennedy
9,conduct,NN,conduct,1962,John F. Kennedy
10,if,IN,if,1962,John F. Kennedy
11,allowed,VBN,allow,1962,John F. Kennedy
12,to,TO,to,1962,John F. Kennedy
13,go,VB,go,1962,John F. Kennedy
14,unchecked,JJ,unchecked,1962,John F. Kennedy
15,and,CC,and,1962,John F. Kennedy
16,unchallenged,JJ,unchallenged,1962,John F. Kennedy
17,ultimately,RB,ultimately,1962,John F. Kennedy
18,leads,VBZ,lead,1962,John F. Kennedy
19,to,TO,to,1962,John F. Kennedy
20,war,NN,war,1962,John F. Kennedy
21,this,DT,This,1962,John F. Kennedy
22,nation,NN,nation,1962,John F. Kennedy
23,is,VBZ,be,1962,John F. Kennedy
24,opposed,VBN,oppose,1962,John F. Kennedy
25,to,TO,to,1962,John F. Kennedy
26,war,NN,war,1962,John F. Kennedy
27,we,PRP,We,1962,John F. Kennedy
28,are,VBP,be,1962,John F. Kennedy
29,also,RB,also,1962,John F. Kennedy
30,true,JJ,true,1962,John F. Kennedy
31,to,TO,to,1962,John F. Kennedy
32,our,PRP$,our,1962,John F. Kennedy
33,word,NN,word,1962,John F. Kennedy
34,our,PRP$,Our,1962,John F. Kennedy
35,unswerving,JJ,unswerving,1962,John F. Kennedy
36,objective,NN,objective,1962,John F. Kennedy
37,therefore,RB,therefore,1962,John F. Kennedy
38,must,MD,must,1962,John F. Kennedy
39,be,VB,be,1962,John F. Kennedy
40,to,TO,to,1962,John F. Kennedy
41,prevent,VB,prevent,1962,John F. Kennedy
42,the,DT,the,1962,John F. Kennedy
43,use,NN,use,1962,John F. Kennedy
44,of,IN,of,1962,John F. Kennedy
45,these,DT,these,1962,John F. Kennedy
46,missiles,NNS,missile,1962,John F. Kennedy
47,against,IN,against,1962,John F. Kennedy
48,this,DT,this,1962,John F. Kennedy
49,or,CC,or,1962,John F. Kennedy
50,any,DT,any,1962,John F. Kennedy
51,other,JJ,other,1962,John F. Kennedy
52,country,NN,country,1962,John F. Kennedy
53,and,CC,and,1962,John F. Kennedy
54,to,TO,to,1962,John F. Kennedy
55,secure,VB,secure,1962,John F. Kennedy
56,their,PRP$,their,1962,John F. Kennedy
57,withdrawal,NN,withdrawal,1962,John F. Kennedy
58,or,CC,or,1962,John F. Kennedy
59,elimination,NN,elimination,1962,John F. Kennedy
60,from,IN,from,1962,John F. Kennedy
61,the,DT,the,1962,John F. Kennedy
62,western,NNP,Western,1962,John F. Kennedy
63,hemisphere,NNP,Hemisphere,1962,John F. Kennedy
64,our,PRP$,Our,1962,John F. Kennedy
65,policy,NN,policy,1962,John F. Kennedy
66,has,VBZ,have,1962,John F. Kennedy
67,been,VBN,be,1962,John F. Kennedy
68,one,CD,one,1962,John F. Kennedy
69,of,IN,of,1962,John F. Kennedy
70,patience,NN,patience,1962,John F. Kennedy
71,and,CC,and,1962,John F. Kennedy
