,word,pos,lemma,year,president
0,the,DT,The,1802,Thomas Jefferson
1,cession,NN,cession,1802,Thomas Jefferson
2,of,IN,of,1802,Thomas Jefferson
3,the,DT,the,1802,Thomas Jefferson
4,spanish,JJ,Spanish,1802,Thomas Jefferson
5,province,NNP,Province,1802,Thomas Jefferson
6,of,IN,of,1802,Thomas Jefferson
7,louisiana,NNP,Louisiana,1802,Thomas Jefferson
8,to,TO,to,1802,Thomas Jefferson
9,france,NNP,France,1802,Thomas Jefferson
10,which,WDT,which,1802,Thomas Jefferson
11,took,VBD,take,1802,Thomas Jefferson
12,place,NN,place,1802,Thomas Jefferson
13,in,IN,in,1802,Thomas Jefferson
14,the,DT,the,1802,Thomas Jefferson
15,course,NN,course,1802,Thomas Jefferson
16,of,IN,of,1802,Thomas Jefferson
17,the,DT,the,1802,Thomas Jefferson
18,late,JJ,late,1802,Thomas Jefferson
19,war,NN,war,1802,Thomas Jefferson
20,will,MD,will,1802,Thomas Jefferson
21,if,IN,if,1802,Thomas Jefferson
22,carried,VBN,carry,1802,Thomas Jefferson
23,into,IN,into,1802,Thomas Jefferson
24,effect,NN,effect,1802,Thomas Jefferson
25,make,VB,make,1802,Thomas Jefferson
26,a,DT,a,1802,Thomas Jefferson
27,change,NN,change,1802,Thomas Jefferson
28,in,IN,in,1802,Thomas Jefferson
29,the,DT,the,1802,Thomas Jefferson
30,aspect,NN,aspect,1802,Thomas Jefferson
31,of,IN,of,1802,Thomas Jefferson
32,our,PRP$,our,1802,Thomas Jefferson
33,foreign,JJ,foreign,1802,Thomas Jefferson
34,relations,NNS,relation,1802,Thomas Jefferson
35,which,WDT,which,1802,Thomas Jefferson
36,will,MD,will,1802,Thomas Jefferson
37,doubtless,VB,doubtless,1802,Thomas Jefferson
38,have,VB,have,1802,Thomas Jefferson
39,just,RB,just,1802,Thomas Jefferson
40,weight,VBN,weight,1802,Thomas Jefferson
41,in,IN,in,1802,Thomas Jefferson
42,any,DT,any,1802,Thomas Jefferson
43,deliberations,NNS,deliberation,1802,Thomas Jefferson
44,of,IN,of,1802,Thomas Jefferson
45,the,DT,the,1802,Thomas Jefferson
46,legislature,NN,legislature,1802,Thomas Jefferson
47,connected,VBN,connect,1802,Thomas Jefferson
48,with,IN,with,1802,Thomas Jefferson
49,that,DT,that,1802,Thomas Jefferson
50,subject,NN,subject,1802,Thomas Jefferson
51,there,EX,There,1802,Thomas Jefferson
52,was,VBD,be,1802,Thomas Jefferson
53,reason,NN,reason,1802,Thomas Jefferson
54,not,RB,not,1802,Thomas Jefferson
55,long,RB,long,1802,Thomas Jefferson
56,since,IN,since,1802,Thomas Jefferson
57,to,TO,to,1802,Thomas Jefferson
58,apprehend,VB,apprehend,1802,Thomas Jefferson
59,that,IN,that,1802,Thomas Jefferson
60,the,DT,the,1802,Thomas Jefferson
61,warfare,NN,warfare,1802,Thomas Jefferson
62,in,IN,in,1802,Thomas Jefferson
63,which,WDT,which,1802,Thomas Jefferson
64,we,PRP,we,1802,Thomas Jefferson
65,were,VBD,be,1802,Thomas Jefferson
66,engaged,VBN,engage,1802,Thomas Jefferson
67,with,IN,with,1802,Thomas Jefferson
68,tripoli,NNP,Tripoli,1802,Thomas Jefferson
69,might,MD,might,1802,Thomas Jefferson
70,be,VB,be,1802,Thomas Jefferson
71,taken,VBN,take,1802,Thomas Jefferson
72,up,RP,up,1802,Thomas Jefferson
73,by,IN,by,1802,Thomas Jefferson
74,some,DT,some,1802,Thomas Jefferson
75,other,JJ,other,1802,Thomas Jefferson
76,of,IN,of,1802,Thomas Jefferson
77,the,DT,the,1802,Thomas Jefferson
78,barbary,NNP,Barbary,1802,Thomas Jefferson
79,powers,NNPS,Powers,1802,Thomas Jefferson
80,a,DT,A,1802,Thomas Jefferson
81,reenforcement,NN,reenforcement,1802,Thomas Jefferson
82,therefore,RB,therefore,1802,Thomas Jefferson
83,was,VBD,be,1802,Thomas Jefferson
84,immediately,RB,immediately,1802,Thomas Jefferson
85,ordered,VBN,order,1802,Thomas Jefferson
86,to,TO,to,1802,Thomas Jefferson
87,the,DT,the,1802,Thomas Jefferson
88,vessels,NNS,vessel,1802,Thomas Jefferson
89,already,RB,already,1802,Thomas Jefferson
90,there,RB,there,1802,Thomas Jefferson
91,subsequent,JJ,Subsequent,1802,Thomas Jefferson
92,information,NN,information,1802,Thomas Jefferson
93,however,RB,however,1802,Thomas Jefferson
94,has,VBZ,have,1802,Thomas Jefferson
95,removed,VBN,remove,1802,Thomas Jefferson
96,these,DT,these,1802,Thomas Jefferson
97,apprehensions,NNS,apprehension,1802,Thomas Jefferson
98,for,IN,for,1802,Thomas Jefferson
99,the,DT,the,1802,Thomas Jefferson
100,present,JJ,present,1802,Thomas Jefferson
101,to,TO,To,1802,Thomas Jefferson
