,word,pos,lemma,year,president
0,secretary,NN,SECRETARY,1903,Theodore Roosevelt
1,of,NNP,OF,1903,Theodore Roosevelt
2,state,NNP,STATE,1903,Theodore Roosevelt
3,washington,NNP,Washington,1903,Theodore Roosevelt
4,the,DT,The,1903,Theodore Roosevelt
5,board,NN,board,1903,Theodore Roosevelt
6,of,IN,of,1903,Theodore Roosevelt
7,provisional,JJ,provisional,1903,Theodore Roosevelt
8,government,NN,government,1903,Theodore Roosevelt
9,of,IN,of,1903,Theodore Roosevelt
10,the,DT,the,1903,Theodore Roosevelt
11,republic,NNP,Republic,1903,Theodore Roosevelt
12,of,IN,of,1903,Theodore Roosevelt
13,panama,NNP,Panama,1903,Theodore Roosevelt
14,has,VBZ,have,1903,Theodore Roosevelt
15,appointed,VBN,appoint,1903,Theodore Roosevelt
16,senor,NNP,Senor,1903,Theodore Roosevelt
17,philippe,NNP,Philippe,1903,Theodore Roosevelt
18,bunau,NNP,Bunau,1903,Theodore Roosevelt
19,varilla,NNP,Varilla,1903,Theodore Roosevelt
20,envoy,VBD,envoy,1903,Theodore Roosevelt
21,extraordinary,JJ,extraordinary,1903,Theodore Roosevelt
22,and,CC,and,1903,Theodore Roosevelt
23,minister,NN,minister,1903,Theodore Roosevelt
24,plenipotentiary,JJ,plenipotentiary,1903,Theodore Roosevelt
25,near,IN,near,1903,Theodore Roosevelt
26,your,PRP$,your,1903,Theodore Roosevelt
27,government,NN,Government,1903,Theodore Roosevelt
28,with,IN,with,1903,Theodore Roosevelt
29,full,JJ,full,1903,Theodore Roosevelt
30,powers,NNS,power,1903,Theodore Roosevelt
31,to,TO,to,1903,Theodore Roosevelt
32,conduct,VB,conduct,1903,Theodore Roosevelt
33,diplomatic,JJ,diplomatic,1903,Theodore Roosevelt
34,and,CC,and,1903,Theodore Roosevelt
35,financial,JJ,financial,1903,Theodore Roosevelt
36,negotiations,NNS,negotiation,1903,Theodore Roosevelt
37,deign,NNP,Deign,1903,Theodore Roosevelt
38,to,TO,to,1903,Theodore Roosevelt
39,receive,VB,receive,1903,Theodore Roosevelt
40,and,CC,and,1903,Theodore Roosevelt
41,heed,VB,heed,1903,Theodore Roosevelt
42,him,PRP,him,1903,Theodore Roosevelt
43,j.,NNP,J.,1903,Theodore Roosevelt
44,m.,NNP,M.,1903,Theodore Roosevelt
45,arango,NNP,ARANGO,1903,Theodore Roosevelt
46,tomas,NNP,TOMAS,1903,Theodore Roosevelt
47,arias,NNP,ARIAS,1903,Theodore Roosevelt
48,federico,NNP,FEDERICO,1903,Theodore Roosevelt
49,boyd,NNP,BOYD,1903,Theodore Roosevelt
50,foreign,JJ,Foreign,1903,Theodore Roosevelt
51,relations,NNP,Relations,1903,Theodore Roosevelt
52,telegram,NNP,TELEGRAM,1903,Theodore Roosevelt
53,translation,NN,TRANSLATION,1903,Theodore Roosevelt
54,new,NNP,NEW,1903,Theodore Roosevelt
55,york,NNP,YORK,1903,Theodore Roosevelt
56,november,NNP,November,1903,Theodore Roosevelt
57,7,CD,7,1903,Theodore Roosevelt
58,1903,CD,1903,1903,Theodore Roosevelt
59,received,VBD,Received,1903,Theodore Roosevelt
60,1:40,CD,1:40,1903,Theodore Roosevelt
61,p.m,RB,p.m,1903,Theodore Roosevelt
62,his,PRP$,His,1903,Theodore Roosevelt
63,excellency,NN,Excellency,1903,Theodore Roosevelt
64,john,NNP,JOHN,1903,Theodore Roosevelt
65,hay,NNP,HAY,1903,Theodore Roosevelt
66,secretary,NNP,Secretary,1903,Theodore Roosevelt
67,of,IN,of,1903,Theodore Roosevelt
68,state,NNP,State,1903,Theodore Roosevelt
69,i,PRP,I,1903,Theodore Roosevelt
70,have,VBP,have,1903,Theodore Roosevelt
71,the,DT,the,1903,Theodore Roosevelt
72,privilege,NN,privilege,1903,Theodore Roosevelt
73,and,CC,and,1903,Theodore Roosevelt
74,the,DT,the,1903,Theodore Roosevelt
75,honor,NN,honor,1903,Theodore Roosevelt
76,of,IN,of,1903,Theodore Roosevelt
77,notifying,VBG,notify,1903,Theodore Roosevelt
78,you,PRP,you,1903,Theodore Roosevelt
79,that,IN,that,1903,Theodore Roosevelt
80,the,DT,the,1903,Theodore Roosevelt
81,government,NNP,Government,1903,Theodore Roosevelt
82,of,IN,of,1903,Theodore Roosevelt
83,the,DT,the,1903,Theodore Roosevelt
84,republic,NNP,Republic,1903,Theodore Roosevelt
85,of,IN,of,1903,Theodore Roosevelt
86,panama,NNP,Panama,1903,Theodore Roosevelt
87,has,VBZ,have,1903,Theodore Roosevelt
88,been,VBN,be,1903,Theodore Roosevelt
89,pleased,VBN,please,1903,Theodore Roosevelt
90,to,TO,to,1903,Theodore Roosevelt
91,designate,VB,designate,1903,Theodore Roosevelt
92,me,PRP,me,1903,Theodore Roosevelt
93,as,IN,as,1903,Theodore Roosevelt
94,its,PRP$,its,1903,Theodore Roosevelt
95,envoy,NN,envoy,1903,Theodore Roosevelt
96,extraordinary,JJ,extraordinary,1903,Theodore Roosevelt
97,and,CC,and,1903,Theodore Roosevelt
98,minister,NN,minister,1903,Theodore Roosevelt
99,plenipotentiary,NN,plenipotentiary,1903,Theodore Roosevelt
100,near,IN,near,1903,Theodore Roosevelt
101,the,DT,the,1903,Theodore Roosevelt
102,government,NNP,Government,1903,Theodore Roosevelt
103,of,IN,of,1903,Theodore Roosevelt
104,the,DT,the,1903,Theodore Roosevelt
105,united,NNP,United,1903,Theodore Roosevelt
106,states,NNPS,States,1903,Theodore Roosevelt
107,in,IN,In,1903,Theodore Roosevelt
108,selecting,VBG,select,1903,Theodore Roosevelt
109,for,IN,for,1903,Theodore Roosevelt
110,its,PRP$,its,1903,Theodore Roosevelt
111,first,JJ,first,1903,Theodore Roosevelt
112,representative,NN,representative,1903,Theodore Roosevelt
113,at,IN,at,1903,Theodore Roosevelt
114,washington,NNP,Washington,1903,Theodore Roosevelt
115,a,DT,a,1903,Theodore Roosevelt
116,veteran,NN,veteran,1903,Theodore Roosevelt
117,servant,NN,servant,1903,Theodore Roosevelt
118,and,CC,and,1903,Theodore Roosevelt
119,champion,NN,champion,1903,Theodore Roosevelt
120,of,IN,of,1903,Theodore Roosevelt
121,the,DT,the,1903,Theodore Roosevelt
122,panama,NNP,Panama,1903,Theodore Roosevelt
123,canal,NNP,Canal,1903,Theodore Roosevelt
124,my,PRP$,my,1903,Theodore Roosevelt
125,government,NNP,Government,1903,Theodore Roosevelt
126,has,VBZ,have,1903,Theodore Roosevelt
127,evidently,RB,evidently,1903,Theodore Roosevelt
128,sought,VBN,seek,1903,Theodore Roosevelt
129,to,TO,to,1903,Theodore Roosevelt
130,show,VB,show,1903,Theodore Roosevelt
131,that,IN,that,1903,Theodore Roosevelt
132,it,PRP,it,1903,Theodore Roosevelt
133,considers,VBZ,consider,1903,Theodore Roosevelt
134,a,DT,a,1903,Theodore Roosevelt
135,loyal,JJ,loyal,1903,Theodore Roosevelt
136,and,CC,and,1903,Theodore Roosevelt
137,earnest,JJS,earnest,1903,Theodore Roosevelt
138,devotion,NN,devotion,1903,Theodore Roosevelt
139,to,TO,to,1903,Theodore Roosevelt
140,the,DT,the,1903,Theodore Roosevelt
141,success,NN,success,1903,Theodore Roosevelt
142,of,IN,of,1903,Theodore Roosevelt
143,that,DT,that,1903,Theodore Roosevelt
144,most,RBS,most,1903,Theodore Roosevelt
145,heroic,JJ,heroic,1903,Theodore Roosevelt
146,conception,NN,conception,1903,Theodore Roosevelt
147,of,IN,of,1903,Theodore Roosevelt
148,human,JJ,human,1903,Theodore Roosevelt
149,genius,NN,genius,1903,Theodore Roosevelt
150,as,IN,as,1903,Theodore Roosevelt
151,both,DT,both,1903,Theodore Roosevelt
152,a,DT,a,1903,Theodore Roosevelt
153,solemn,NN,solemn,1903,Theodore Roosevelt
154,duty,NN,duty,1903,Theodore Roosevelt
155,and,CC,and,1903,Theodore Roosevelt
156,the,DT,the,1903,Theodore Roosevelt
157,essential,JJ,essential,1903,Theodore Roosevelt
158,purpose,NN,purpose,1903,Theodore Roosevelt
159,of,IN,of,1903,Theodore Roosevelt
160,its,PRP$,its,1903,Theodore Roosevelt
161,existence,NN,existence,1903,Theodore Roosevelt
162,i,PRP,I,1903,Theodore Roosevelt
163,congratulate,VBP,congratulate,1903,Theodore Roosevelt
164,myself,PRP,myself,1903,Theodore Roosevelt
165,sir,NN,sir,1903,Theodore Roosevelt
166,that,IN,that,1903,Theodore Roosevelt
167,my,PRP$,my,1903,Theodore Roosevelt
168,first,JJ,first,1903,Theodore Roosevelt
169,official,JJ,official,1903,Theodore Roosevelt
170,duty,NN,duty,1903,Theodore Roosevelt
171,should,MD,should,1903,Theodore Roosevelt
172,be,VB,be,1903,Theodore Roosevelt
173,to,TO,to,1903,Theodore Roosevelt
174,respectfully,RB,respectfully,1903,Theodore Roosevelt
175,request,VB,request,1903,Theodore Roosevelt
176,you,PRP,you,1903,Theodore Roosevelt
177,to,TO,to,1903,Theodore Roosevelt
178,convey,VB,convey,1903,Theodore Roosevelt
179,to,TO,to,1903,Theodore Roosevelt
180,his,PRP$,His,1903,Theodore Roosevelt
181,excellency,NNP,Excellency,1903,Theodore Roosevelt
182,the,DT,the,1903,Theodore Roosevelt
183,president,NNP,President,1903,Theodore Roosevelt
184,of,IN,of,1903,Theodore Roosevelt
185,the,DT,the,1903,Theodore Roosevelt
186,united,NNP,United,1903,Theodore Roosevelt
187,states,NNPS,States,1903,Theodore Roosevelt
188,on,IN,on,1903,Theodore Roosevelt
189,behalf,NN,behalf,1903,Theodore Roosevelt
190,of,IN,of,1903,Theodore Roosevelt
191,the,DT,the,1903,Theodore Roosevelt
192,people,NNS,people,1903,Theodore Roosevelt
193,of,IN,of,1903,Theodore Roosevelt
194,panama,NNP,Panama,1903,Theodore Roosevelt
195,an,DT,an,1903,Theodore Roosevelt
196,expression,NN,expression,1903,Theodore Roosevelt
197,of,IN,of,1903,Theodore Roosevelt
198,the,DT,the,1903,Theodore Roosevelt
199,grateful,JJ,grateful,1903,Theodore Roosevelt
200,sense,NN,sense,1903,Theodore Roosevelt
201,of,IN,of,1903,Theodore Roosevelt
202,their,PRP$,their,1903,Theodore Roosevelt
203,obligation,NN,obligation,1903,Theodore Roosevelt
204,to,TO,to,1903,Theodore Roosevelt
205,his,PRP$,his,1903,Theodore Roosevelt
206,government,NNP,Government,1903,Theodore Roosevelt
207,in,IN,In,1903,Theodore Roosevelt
208,extending,VBG,extend,1903,Theodore Roosevelt
209,her,PRP$,her,1903,Theodore Roosevelt
210,generous,JJ,generous,1903,Theodore Roosevelt
211,hand,NN,hand,1903,Theodore Roosevelt
212,so,RB,so,1903,Theodore Roosevelt
213,spontaneously,RB,spontaneously,1903,Theodore Roosevelt
214,to,TO,to,1903,Theodore Roosevelt
215,her,PRP$,her,1903,Theodore Roosevelt
216,latest,JJS,late,1903,Theodore Roosevelt
217,born,NN,born,1903,Theodore Roosevelt
218,the,DT,the,1903,Theodore Roosevelt
219,mother,NNP,Mother,1903,Theodore Roosevelt
220,of,IN,of,1903,Theodore Roosevelt
221,the,DT,the,1903,Theodore Roosevelt
222,american,JJ,American,1903,Theodore Roosevelt
223,nations,NNP,Nations,1903,Theodore Roosevelt
224,is,VBZ,be,1903,Theodore Roosevelt
225,prosecuting,VBG,prosecute,1903,Theodore Roosevelt
226,her,PRP$,her,1903,Theodore Roosevelt
227,noble,JJ,noble,1903,Theodore Roosevelt
228,mission,NN,mission,1903,Theodore Roosevelt
229,as,IN,as,1903,Theodore Roosevelt
230,the,DT,the,1903,Theodore Roosevelt
231,liberator,NN,liberator,1903,Theodore Roosevelt
232,and,CC,and,1903,Theodore Roosevelt
233,the,DT,the,1903,Theodore Roosevelt
234,educator,NN,educator,1903,Theodore Roosevelt
235,of,IN,of,1903,Theodore Roosevelt
236,the,DT,the,1903,Theodore Roosevelt
237,peoples,NNS,people,1903,Theodore Roosevelt
238,in,IN,In,1903,Theodore Roosevelt
239,spreading,VBG,spread,1903,Theodore Roosevelt
240,her,PRP$,her,1903,Theodore Roosevelt
241,protecting,NN,protecting,1903,Theodore Roosevelt
242,wings,NNS,wing,1903,Theodore Roosevelt
243,over,IN,over,1903,Theodore Roosevelt
244,the,DT,the,1903,Theodore Roosevelt
245,territory,NN,territory,1903,Theodore Roosevelt
246,of,IN,of,1903,Theodore Roosevelt
247,our,PRP$,our,1903,Theodore Roosevelt
248,republic,NNP,Republic,1903,Theodore Roosevelt
249,the,DT,the,1903,Theodore Roosevelt
250,american,NNP,American,1903,Theodore Roosevelt
251,eagle,NNP,Eagle,1903,Theodore Roosevelt
252,has,VBZ,have,1903,Theodore Roosevelt
253,sanctified,VBN,sanctify,1903,Theodore Roosevelt
254,it,PRP,it,1903,Theodore Roosevelt
255,it,PRP,It,1903,Theodore Roosevelt
256,has,VBZ,have,1903,Theodore Roosevelt
257,rescued,VBN,rescue,1903,Theodore Roosevelt
258,it,PRP,it,1903,Theodore Roosevelt
259,from,IN,from,1903,Theodore Roosevelt
260,the,DT,the,1903,Theodore Roosevelt
261,barbarism,NN,barbarism,1903,Theodore Roosevelt
262,of,IN,of,1903,Theodore Roosevelt
263,unnecessary,JJ,unnecessary,1903,Theodore Roosevelt
264,and,CC,and,1903,Theodore Roosevelt
265,wasteful,JJ,wasteful,1903,Theodore Roosevelt
266,civil,JJ,civil,1903,Theodore Roosevelt
267,wars,NNS,war,1903,Theodore Roosevelt
268,to,TO,to,1903,Theodore Roosevelt
269,consecrate,VB,consecrate,1903,Theodore Roosevelt
270,it,PRP,it,1903,Theodore Roosevelt
271,to,TO,to,1903,Theodore Roosevelt
272,the,DT,the,1903,Theodore Roosevelt
273,destiny,NN,destiny,1903,Theodore Roosevelt
274,assigned,VBD,assign,1903,Theodore Roosevelt
275,to,TO,to,1903,Theodore Roosevelt
276,it,PRP,it,1903,Theodore Roosevelt
277,by,IN,by,1903,Theodore Roosevelt
278,providence,NNP,Providence,1903,Theodore Roosevelt
279,the,DT,the,1903,Theodore Roosevelt
280,service,NN,service,1903,Theodore Roosevelt
281,of,IN,of,1903,Theodore Roosevelt
282,humanity,NN,humanity,1903,Theodore Roosevelt
283,and,CC,and,1903,Theodore Roosevelt
284,the,DT,the,1903,Theodore Roosevelt
285,progress,NN,progress,1903,Theodore Roosevelt
286,of,IN,of,1903,Theodore Roosevelt
287,civilization,NN,civilization,1903,Theodore Roosevelt
288,philippe,NNP,PHILIPPE,1903,Theodore Roosevelt
289,bunau,NNP,BUNAU,1903,Theodore Roosevelt
290,varilla,NNP,VARILLA,1903,Theodore Roosevelt
291,correspondence,NN,CORRESPONDENCE,1903,Theodore Roosevelt
292,between,NNP,BETWEEN,1903,Theodore Roosevelt
293,the,NNP,THE,1903,Theodore Roosevelt
294,department,NNP,DEPARTMENT,1903,Theodore Roosevelt
295,of,NNP,OF,1903,Theodore Roosevelt
296,state,NNP,STATE,1903,Theodore Roosevelt
297,and,NNP,AND,1903,Theodore Roosevelt
298,the,NNP,THE,1903,Theodore Roosevelt
299,united,NNP,UNITED,1903,Theodore Roosevelt
300,states,NNPS,STATES,1903,Theodore Roosevelt
301,legation,NNP,LEGATION,1903,Theodore Roosevelt
302,at,NNP,AT,1903,Theodore Roosevelt
303,bogota,NNP,BOGOTA,1903,Theodore Roosevelt
304,mr.,NNP,Mr.,1903,Theodore Roosevelt
305,beaupre,NNP,Beaupre,1903,Theodore Roosevelt
306,to,TO,to,1903,Theodore Roosevelt
307,mr.,NNP,Mr.,1903,Theodore Roosevelt
308,hay,NNP,Hay,1903,Theodore Roosevelt
309,telegram,NN,TELEGRAM,1903,Theodore Roosevelt
310,bogota,NNP,BOGOTA,1903,Theodore Roosevelt
311,november,NNP,November,1903,Theodore Roosevelt
312,4,CD,4,1903,Theodore Roosevelt
313,1903,CD,1903,1903,Theodore Roosevelt
314,received,VBN,Received,1903,Theodore Roosevelt
315,november,NNP,November,1903,Theodore Roosevelt
316,6,CD,6,1903,Theodore Roosevelt
317,1903,CD,1903,1903,Theodore Roosevelt
318,5,CD,5,1903,Theodore Roosevelt
319,p.m,NN,p.m,1903,Theodore Roosevelt
320,fourth,NNP,Fourth,1903,Theodore Roosevelt
321,5,CD,5,1903,Theodore Roosevelt
322,p.m,NN,p.m,1903,Theodore Roosevelt
323,confidential,NNP,Confidential,1903,Theodore Roosevelt
324,i,PRP,I,1903,Theodore Roosevelt
325,have,VBP,have,1903,Theodore Roosevelt
326,been,VBN,be,1903,Theodore Roosevelt
