,word,pos,lemma,year,president
155,liberty,NN,liberty,2013,Barack Obama
156,the,DT,The,2013,Barack Obama
157,knowledge,NN,knowledge,2013,Barack Obama
158,of,IN,of,2013,Barack Obama
159,their,PRP$,their,2013,Barack Obama
160,sacrifice,NN,sacrifice,2013,Barack Obama
161,will,MD,will,2013,Barack Obama
162,keep,VB,keep,2013,Barack Obama
163,us,PRP,us,2013,Barack Obama
164,forever,RB,forever,2013,Barack Obama
165,vigilant,VBP,vigilant,2013,Barack Obama
166,against,IN,against,2013,Barack Obama
167,those,DT,those,2013,Barack Obama
168,who,WP,who,2013,Barack Obama
169,would,MD,would,2013,Barack Obama
170,do,VB,do,2013,Barack Obama
171,us,PRP,us,2013,Barack Obama
172,harm,VB,harm,2013,Barack Obama
173,but,CC,But,2013,Barack Obama
174,we,PRP,we,2013,Barack Obama
175,are,VBP,be,2013,Barack Obama
176,also,RB,also,2013,Barack Obama
177,heirs,NNS,heir,2013,Barack Obama
178,to,TO,to,2013,Barack Obama
179,those,DT,those,2013,Barack Obama
180,who,WP,who,2013,Barack Obama
181,won,VBD,win,2013,Barack Obama
182,the,DT,the,2013,Barack Obama
183,peace,NN,peace,2013,Barack Obama
184,and,CC,and,2013,Barack Obama
185,not,RB,not,2013,Barack Obama
186,just,RB,just,2013,Barack Obama
187,the,DT,the,2013,Barack Obama
188,war,NN,war,2013,Barack Obama
189,who,WP,who,2013,Barack Obama
190,turned,VBD,turn,2013,Barack Obama
191,sworn,JJ,sworn,2013,Barack Obama
192,enemies,NNS,enemy,2013,Barack Obama
193,into,IN,into,2013,Barack Obama
194,the,DT,the,2013,Barack Obama
195,surest,NN,surest,2013,Barack Obama
196,of,IN,of,2013,Barack Obama
197,friends,NNS,friend,2013,Barack Obama
198,--,:,--,2013,Barack Obama
199,and,CC,and,2013,Barack Obama
200,we,PRP,we,2013,Barack Obama
201,must,MD,must,2013,Barack Obama
202,carry,VB,carry,2013,Barack Obama
203,those,DT,those,2013,Barack Obama
204,lessons,NNS,lesson,2013,Barack Obama
205,into,IN,into,2013,Barack Obama
206,this,DT,this,2013,Barack Obama
207,time,NN,time,2013,Barack Obama
208,as,RB,as,2013,Barack Obama
209,well,RB,well,2013,Barack Obama
210,we,PRP,We,2013,Barack Obama
211,will,MD,will,2013,Barack Obama
212,defend,VB,defend,2013,Barack Obama
213,our,PRP$,our,2013,Barack Obama
214,people,NNS,people,2013,Barack Obama
215,and,CC,and,2013,Barack Obama
216,uphold,JJ,uphold,2013,Barack Obama
217,our,PRP$,our,2013,Barack Obama
218,values,NNS,value,2013,Barack Obama
219,through,IN,through,2013,Barack Obama
220,strength,NN,strength,2013,Barack Obama
221,of,IN,of,2013,Barack Obama
222,arms,NNS,arm,2013,Barack Obama
223,and,CC,and,2013,Barack Obama
224,rule,NN,rule,2013,Barack Obama
225,of,IN,of,2013,Barack Obama
226,law,NN,law,2013,Barack Obama
227,we,PRP,We,2013,Barack Obama
228,will,MD,will,2013,Barack Obama
229,show,VB,show,2013,Barack Obama
230,the,DT,the,2013,Barack Obama
231,courage,NN,courage,2013,Barack Obama
232,to,TO,to,2013,Barack Obama
233,try,VB,try,2013,Barack Obama
234,and,CC,and,2013,Barack Obama
235,resolve,VB,resolve,2013,Barack Obama
236,our,PRP$,our,2013,Barack Obama
237,differences,NNS,difference,2013,Barack Obama
238,with,IN,with,2013,Barack Obama
239,other,JJ,other,2013,Barack Obama
240,nations,NNS,nation,2013,Barack Obama
241,peacefully,RB,peacefully,2013,Barack Obama
242,–-,VBP,–-,2013,Barack Obama
243,not,RB,not,2013,Barack Obama
244,because,IN,because,2013,Barack Obama
