,word,pos,lemma,year,president
0,today,NN,Today,1999,Bill Clinton
1,we,PRP,we,1999,Bill Clinton
2,and,CC,and,1999,Bill Clinton
3,our,PRP$,our,1999,Bill Clinton
4,18,CD,18,1999,Bill Clinton
5,nato,NNP,NATO,1999,Bill Clinton
6,allies,NNS,ally,1999,Bill Clinton
7,agreed,VBD,agree,1999,Bill Clinton
8,to,TO,to,1999,Bill Clinton
9,do,VB,do,1999,Bill Clinton
10,what,WP,what,1999,Bill Clinton
11,we,PRP,we,1999,Bill Clinton
12,said,VBD,say,1999,Bill Clinton
13,we,PRP,we,1999,Bill Clinton
14,would,MD,would,1999,Bill Clinton
15,do,VB,do,1999,Bill Clinton
16,what,WP,what,1999,Bill Clinton
17,we,PRP,we,1999,Bill Clinton
18,must,MD,must,1999,Bill Clinton
19,do,VB,do,1999,Bill Clinton
20,to,TO,to,1999,Bill Clinton
21,restore,VB,restore,1999,Bill Clinton
22,the,DT,the,1999,Bill Clinton
23,peace,NN,peace,1999,Bill Clinton
24,our,PRP$,Our,1999,Bill Clinton
25,mission,NN,mission,1999,Bill Clinton
26,is,VBZ,be,1999,Bill Clinton
27,clear,JJ,clear,1999,Bill Clinton
28,to,TO,to,1999,Bill Clinton
29,demonstrate,VB,demonstrate,1999,Bill Clinton
30,the,DT,the,1999,Bill Clinton
31,seriousness,NN,seriousness,1999,Bill Clinton
32,of,IN,of,1999,Bill Clinton
33,nato,NNP,NATO,1999,Bill Clinton
34,'s,POS,'s,1999,Bill Clinton
35,purpose,NN,purpose,1999,Bill Clinton
36,so,IN,so,1999,Bill Clinton
37,that,IN,that,1999,Bill Clinton
38,the,DT,the,1999,Bill Clinton
39,serbian,JJ,Serbian,1999,Bill Clinton
40,leaders,NNS,leader,1999,Bill Clinton
41,understand,VBP,understand,1999,Bill Clinton
42,the,DT,the,1999,Bill Clinton
43,imperative,NN,imperative,1999,Bill Clinton
44,of,IN,of,1999,Bill Clinton
45,reversing,VBG,reverse,1999,Bill Clinton
46,course,NN,course,1999,Bill Clinton
47,to,TO,to,1999,Bill Clinton
48,deter,VB,deter,1999,Bill Clinton
49,an,DT,an,1999,Bill Clinton
50,even,RB,even,1999,Bill Clinton
51,bloodier,RBR,bloodier,1999,Bill Clinton
52,offensive,JJ,offensive,1999,Bill Clinton
53,against,IN,against,1999,Bill Clinton
54,innocent,JJ,innocent,1999,Bill Clinton
55,civilians,NNS,civilian,1999,Bill Clinton
56,in,IN,in,1999,Bill Clinton
57,kosovo,NNP,Kosovo,1999,Bill Clinton
58,and,CC,and,1999,Bill Clinton
59,if,IN,if,1999,Bill Clinton
60,necessary,JJ,necessary,1999,Bill Clinton
61,to,TO,to,1999,Bill Clinton
62,seriously,RB,seriously,1999,Bill Clinton
63,damage,VB,damage,1999,Bill Clinton
64,the,DT,the,1999,Bill Clinton
65,serbian,JJ,Serbian,1999,Bill Clinton
66,military,NN,military,1999,Bill Clinton
67,'s,POS,'s,1999,Bill Clinton
68,capacity,NN,capacity,1999,Bill Clinton
69,to,TO,to,1999,Bill Clinton
70,harm,VB,harm,1999,Bill Clinton
71,the,DT,the,1999,Bill Clinton
72,people,NNS,people,1999,Bill Clinton
73,of,IN,of,1999,Bill Clinton
74,kosovo,NNP,Kosovo,1999,Bill Clinton
75,in,IN,In,1999,Bill Clinton
76,short,JJ,short,1999,Bill Clinton
77,if,IN,if,1999,Bill Clinton
78,president,NNP,President,1999,Bill Clinton
79,milosevic,NNP,Milosevic,1999,Bill Clinton
80,will,MD,will,1999,Bill Clinton
81,not,RB,not,1999,Bill Clinton
82,make,VB,make,1999,Bill Clinton
83,peace,NN,peace,1999,Bill Clinton
84,we,PRP,we,1999,Bill Clinton
85,will,MD,will,1999,Bill Clinton
86,limit,VB,limit,1999,Bill Clinton
87,his,PRP$,his,1999,Bill Clinton
88,ability,NN,ability,1999,Bill Clinton
89,to,TO,to,1999,Bill Clinton
90,make,VB,make,1999,Bill Clinton
91,war,NN,war,1999,Bill Clinton
92,now,RB,Now,1999,Bill Clinton
93,i,PRP,I,1999,Bill Clinton
94,want,VBP,want,1999,Bill Clinton
95,to,TO,to,1999,Bill Clinton
96,be,VB,be,1999,Bill Clinton
97,clear,JJ,clear,1999,Bill Clinton
98,with,IN,with,1999,Bill Clinton
99,you,PRP,you,1999,Bill Clinton
100,there,EX,there,1999,Bill Clinton
101,are,VBP,be,1999,Bill Clinton
102,risks,NNS,risk,1999,Bill Clinton
103,in,IN,in,1999,Bill Clinton
104,this,DT,this,1999,Bill Clinton
105,military,JJ,military,1999,Bill Clinton
106,action,NN,action,1999,Bill Clinton
107,risks,NNS,risk,1999,Bill Clinton
108,to,TO,to,1999,Bill Clinton
109,our,PRP$,our,1999,Bill Clinton
110,pilots,NNS,pilot,1999,Bill Clinton
111,and,CC,and,1999,Bill Clinton
112,the,DT,the,1999,Bill Clinton
113,people,NNS,people,1999,Bill Clinton
114,on,IN,on,1999,Bill Clinton
115,the,DT,the,1999,Bill Clinton
116,ground,NN,ground,1999,Bill Clinton
117,serbia,NNP,Serbia,1999,Bill Clinton
118,'s,POS,'s,1999,Bill Clinton
119,air,NN,air,1999,Bill Clinton
120,defenses,NNS,defense,1999,Bill Clinton
121,are,VBP,be,1999,Bill Clinton
122,strong,JJ,strong,1999,Bill Clinton
123,it,PRP,It,1999,Bill Clinton
124,could,MD,could,1999,Bill Clinton
125,decide,VB,decide,1999,Bill Clinton
126,to,TO,to,1999,Bill Clinton
127,intensify,VB,intensify,1999,Bill Clinton
128,its,PRP$,its,1999,Bill Clinton
129,assault,NN,assault,1999,Bill Clinton
130,on,IN,on,1999,Bill Clinton
131,kosovo,NNP,Kosovo,1999,Bill Clinton
132,or,CC,or,1999,Bill Clinton
133,to,TO,to,1999,Bill Clinton
134,seek,VB,seek,1999,Bill Clinton
135,to,TO,to,1999,Bill Clinton
136,harm,VB,harm,1999,Bill Clinton
137,us,PRP,us,1999,Bill Clinton
138,or,CC,or,1999,Bill Clinton
139,our,PRP$,our,1999,Bill Clinton
140,allies,NNS,ally,1999,Bill Clinton
141,elsewhere,RB,elsewhere,1999,Bill Clinton
142,if,IN,If,1999,Bill Clinton
143,it,PRP,it,1999,Bill Clinton
144,does,VBZ,do,1999,Bill Clinton
145,we,PRP,we,1999,Bill Clinton
146,will,MD,will,1999,Bill Clinton
147,deliver,VB,deliver,1999,Bill Clinton
148,a,DT,a,1999,Bill Clinton
149,forceful,JJ,forceful,1999,Bill Clinton
150,response,NN,response,1999,Bill Clinton
151,hopefully,RB,Hopefully,1999,Bill Clinton
152,mr.,NNP,Mr.,1999,Bill Clinton
153,milosevic,NNP,Milosevic,1999,Bill Clinton
154,will,MD,will,1999,Bill Clinton
155,realize,VB,realize,1999,Bill Clinton
156,his,PRP$,his,1999,Bill Clinton
157,present,JJ,present,1999,Bill Clinton
158,course,NN,course,1999,Bill Clinton
159,is,VBZ,be,1999,Bill Clinton
160,self-destructive,JJ,self-destructive,1999,Bill Clinton
161,and,CC,and,1999,Bill Clinton
162,unsustainable,JJ,unsustainable,1999,Bill Clinton
163,if,IN,If,1999,Bill Clinton
164,he,PRP,he,1999,Bill Clinton
165,decides,VBZ,decide,1999,Bill Clinton
166,to,TO,to,1999,Bill Clinton
167,accept,VB,accept,1999,Bill Clinton
168,the,DT,the,1999,Bill Clinton
169,peace,NN,peace,1999,Bill Clinton
170,agreement,NN,agreement,1999,Bill Clinton
171,and,CC,and,1999,Bill Clinton
172,demilitarize,VB,demilitarize,1999,Bill Clinton
173,kosovo,NNP,Kosovo,1999,Bill Clinton
174,nato,NNP,NATO,1999,Bill Clinton
175,has,VBZ,have,1999,Bill Clinton
176,agreed,VBN,agree,1999,Bill Clinton
177,to,TO,to,1999,Bill Clinton
178,help,VB,help,1999,Bill Clinton
179,to,TO,to,1999,Bill Clinton
180,implement,VB,implement,1999,Bill Clinton
181,it,PRP,it,1999,Bill Clinton
