,word,pos,lemma,year,president
0,madam,NNP,Madam,2019,Donald Trump
1,speaker,NNP,Speaker,2019,Donald Trump
2,mr.,NNP,Mr.,2019,Donald Trump
3,vice,NNP,Vice,2019,Donald Trump
4,president,NNP,President,2019,Donald Trump
5,members,NNP,Members,2019,Donald Trump
6,of,IN,of,2019,Donald Trump
7,congress,NNP,Congress,2019,Donald Trump
8,the,DT,the,2019,Donald Trump
9,first,NNP,First,2019,Donald Trump
10,lady,NNP,Lady,2019,Donald Trump
11,of,IN,of,2019,Donald Trump
12,the,DT,the,2019,Donald Trump
13,united,NNP,United,2019,Donald Trump
14,states,NNPS,States,2019,Donald Trump
15,and,CC,and,2019,Donald Trump
16,my,PRP$,my,2019,Donald Trump
17,fellow,JJ,fellow,2019,Donald Trump
18,americans,NNPS,Americans,2019,Donald Trump
19,we,PRP,We,2019,Donald Trump
20,meet,VBP,meet,2019,Donald Trump
21,tonight,JJ,tonight,2019,Donald Trump
22,at,IN,at,2019,Donald Trump
23,a,DT,a,2019,Donald Trump
24,moment,NN,moment,2019,Donald Trump
25,of,IN,of,2019,Donald Trump
26,unlimited,JJ,unlimited,2019,Donald Trump
27,potential,NN,potential,2019,Donald Trump
28,as,IN,As,2019,Donald Trump
29,we,PRP,we,2019,Donald Trump
30,begin,VBP,begin,2019,Donald Trump
31,a,DT,a,2019,Donald Trump
32,new,JJ,new,2019,Donald Trump
33,congress,NNP,Congress,2019,Donald Trump
34,i,PRP,I,2019,Donald Trump
35,stand,VBP,stand,2019,Donald Trump
36,here,RB,here,2019,Donald Trump
37,ready,JJ,ready,2019,Donald Trump
38,to,TO,to,2019,Donald Trump
39,work,VB,work,2019,Donald Trump
40,with,IN,with,2019,Donald Trump
41,you,PRP,you,2019,Donald Trump
42,to,TO,to,2019,Donald Trump
43,achieve,VB,achieve,2019,Donald Trump
44,historic,JJ,historic,2019,Donald Trump
45,breakthroughs,NNS,breakthrough,2019,Donald Trump
46,for,IN,for,2019,Donald Trump
47,all,DT,all,2019,Donald Trump
48,americans,NNPS,Americans,2019,Donald Trump
49,millions,NNS,Millions,2019,Donald Trump
50,of,IN,of,2019,Donald Trump
51,our,PRP$,our,2019,Donald Trump
52,fellow,JJ,fellow,2019,Donald Trump
53,citizens,NNS,citizen,2019,Donald Trump
54,are,VBP,be,2019,Donald Trump
55,watching,VBG,watch,2019,Donald Trump
56,us,PRP,us,2019,Donald Trump
57,now,RB,now,2019,Donald Trump
58,gathered,VBN,gather,2019,Donald Trump
59,in,IN,in,2019,Donald Trump
60,this,DT,this,2019,Donald Trump
61,great,JJ,great,2019,Donald Trump
62,chamber,NN,chamber,2019,Donald Trump
63,hoping,VBG,hop,2019,Donald Trump
64,that,IN,that,2019,Donald Trump
65,we,PRP,we,2019,Donald Trump
66,will,MD,will,2019,Donald Trump
67,govern,VB,govern,2019,Donald Trump
68,not,RB,not,2019,Donald Trump
