,word,pos,lemma,year,president
0,in,IN,In,1964,Ronald Reagan
1,addition,NN,addition,1964,Ronald Reagan
2,was,VBD,be,1964,Ronald Reagan
3,barry,NNP,Barry,1964,Ronald Reagan
4,goldwater,NNP,Goldwater,1964,Ronald Reagan
5,so,RB,so,1964,Ronald Reagan
6,irresponsible,JJ,irresponsible,1964,Ronald Reagan
7,when,WRB,when,1964,Ronald Reagan
8,he,PRP,he,1964,Ronald Reagan
9,suggested,VBD,suggest,1964,Ronald Reagan
10,that,IN,that,1964,Ronald Reagan
11,our,PRP$,our,1964,Ronald Reagan
12,government,NN,government,1964,Ronald Reagan
13,give,VB,give,1964,Ronald Reagan
14,up,RP,up,1964,Ronald Reagan
15,its,PRP$,its,1964,Ronald Reagan
16,program,NN,program,1964,Ronald Reagan
17,of,IN,of,1964,Ronald Reagan
18,deliberate,NN,deliberate,1964,Ronald Reagan
19,planned,VBN,plan,1964,Ronald Reagan
20,inflation,NN,inflation,1964,Ronald Reagan
21,so,IN,so,1964,Ronald Reagan
22,that,IN,that,1964,Ronald Reagan
23,when,WRB,when,1964,Ronald Reagan
24,you,PRP,you,1964,Ronald Reagan
25,do,VBP,do,1964,Ronald Reagan
26,get,VB,get,1964,Ronald Reagan
27,your,PRP$,your,1964,Ronald Reagan
28,social,NNP,Social,1964,Ronald Reagan
29,security,NNP,Security,1964,Ronald Reagan
30,pension,NN,pension,1964,Ronald Reagan
31,a,DT,a,1964,Ronald Reagan
32,dollar,NN,dollar,1964,Ronald Reagan
33,will,MD,will,1964,Ronald Reagan
34,buy,VB,buy,1964,Ronald Reagan
35,a,DT,a,1964,Ronald Reagan
36,dollar,NN,dollar,1964,Ronald Reagan
37,'s,POS,'s,1964,Ronald Reagan
38,worth,NN,worth,1964,Ronald Reagan
39,and,CC,and,1964,Ronald Reagan
40,not,RB,not,1964,Ronald Reagan
41,45,CD,45,1964,Ronald Reagan
42,cents,NNS,cent,1964,Ronald Reagan
43,worth,JJ,worth,1964,Ronald Reagan
44,i,PRP,I,1964,Ronald Reagan
45,think,VBP,think,1964,Ronald Reagan
46,we,PRP,we,1964,Ronald Reagan
47,'re,VBP,'re,1964,Ronald Reagan
48,for,IN,for,1964,Ronald Reagan
49,an,DT,an,1964,Ronald Reagan
50,international,JJ,international,1964,Ronald Reagan
51,organization,NN,organization,1964,Ronald Reagan
52,where,WRB,where,1964,Ronald Reagan
53,the,DT,the,1964,Ronald Reagan
54,nations,NNS,nation,1964,Ronald Reagan
55,of,IN,of,1964,Ronald Reagan
56,the,DT,the,1964,Ronald Reagan
57,world,NN,world,1964,Ronald Reagan
58,can,MD,can,1964,Ronald Reagan
59,seek,VB,seek,1964,Ronald Reagan
60,peace,NN,peace,1964,Ronald Reagan
61,but,CC,But,1964,Ronald Reagan
62,i,PRP,I,1964,Ronald Reagan
63,think,VBP,think,1964,Ronald Reagan
64,we,PRP,we,1964,Ronald Reagan
65,'re,VBP,'re,1964,Ronald Reagan
66,against,IN,against,1964,Ronald Reagan
67,subordinating,VBG,subordinate,1964,Ronald Reagan
68,american,JJ,American,1964,Ronald Reagan
69,interests,NNS,interest,1964,Ronald Reagan
70,to,TO,to,1964,Ronald Reagan
71,an,DT,an,1964,Ronald Reagan
72,organization,NN,organization,1964,Ronald Reagan
73,that,WDT,that,1964,Ronald Reagan
74,has,VBZ,have,1964,Ronald Reagan
75,become,VBN,become,1964,Ronald Reagan
76,so,RB,so,1964,Ronald Reagan
77,structurally,RB,structurally,1964,Ronald Reagan
78,unsound,JJ,unsound,1964,Ronald Reagan
79,that,IN,that,1964,Ronald Reagan
80,today,NN,today,1964,Ronald Reagan
81,you,PRP,you,1964,Ronald Reagan
82,can,MD,can,1964,Ronald Reagan
83,muster,VB,muster,1964,Ronald Reagan
84,a,DT,a,1964,Ronald Reagan
85,two-thirds,JJ,two-thirds,1964,Ronald Reagan
86,vote,NN,vote,1964,Ronald Reagan
87,on,IN,on,1964,Ronald Reagan
88,the,DT,the,1964,Ronald Reagan
89,floor,NN,floor,1964,Ronald Reagan
90,of,IN,of,1964,Ronald Reagan
91,the,DT,the,1964,Ronald Reagan
92,general,NNP,General,1964,Ronald Reagan
93,assembly,NNP,Assembly,1964,Ronald Reagan
94,among,IN,among,1964,Ronald Reagan
95,nations,NNS,nation,1964,Ronald Reagan
96,that,WDT,that,1964,Ronald Reagan
97,represent,VBP,represent,1964,Ronald Reagan
98,less,JJR,less,1964,Ronald Reagan
99,than,IN,than,1964,Ronald Reagan
100,10,CD,10,1964,Ronald Reagan
101,percent,NN,percent,1964,Ronald Reagan
102,of,IN,of,1964,Ronald Reagan
103,the,DT,the,1964,Ronald Reagan
104,world,NN,world,1964,Ronald Reagan
105,'s,POS,'s,1964,Ronald Reagan
106,population,NN,population,1964,Ronald Reagan
107,i,PRP,I,1964,Ronald Reagan
108,think,VBP,think,1964,Ronald Reagan
109,we,PRP,we,1964,Ronald Reagan
110,'re,VBP,'re,1964,Ronald Reagan
111,against,IN,against,1964,Ronald Reagan
112,the,DT,the,1964,Ronald Reagan
113,hypocrisy,NN,hypocrisy,1964,Ronald Reagan
114,of,IN,of,1964,Ronald Reagan
115,assailing,VBG,assail,1964,Ronald Reagan
116,our,PRP$,our,1964,Ronald Reagan
117,allies,NNS,ally,1964,Ronald Reagan
118,because,IN,because,1964,Ronald Reagan
119,here,RB,here,1964,Ronald Reagan
120,and,CC,and,1964,Ronald Reagan
121,there,RB,there,1964,Ronald Reagan
122,they,PRP,they,1964,Ronald Reagan
123,cling,VBG,cling,1964,Ronald Reagan
124,to,TO,to,1964,Ronald Reagan
125,a,DT,a,1964,Ronald Reagan
126,colony,NN,colony,1964,Ronald Reagan
127,while,IN,while,1964,Ronald Reagan
128,we,PRP,we,1964,Ronald Reagan
129,engage,VBP,engage,1964,Ronald Reagan
130,in,IN,in,1964,Ronald Reagan
131,a,DT,a,1964,Ronald Reagan
132,conspiracy,NN,conspiracy,1964,Ronald Reagan
133,of,IN,of,1964,Ronald Reagan
134,silence,NN,silence,1964,Ronald Reagan
135,and,CC,and,1964,Ronald Reagan
136,never,RB,never,1964,Ronald Reagan
137,open,VB,open,1964,Ronald Reagan
138,our,PRP$,our,1964,Ronald Reagan
139,mouths,NNS,mouth,1964,Ronald Reagan
140,about,IN,about,1964,Ronald Reagan
141,the,DT,the,1964,Ronald Reagan
142,millions,NNS,million,1964,Ronald Reagan
143,of,IN,of,1964,Ronald Reagan
144,people,NNS,people,1964,Ronald Reagan
145,enslaved,VBN,enslave,1964,Ronald Reagan
146,in,IN,in,1964,Ronald Reagan
147,the,DT,the,1964,Ronald Reagan
