,word,pos,lemma,year,president
0,departmental,NNP,DEPARTMENTAL,1888,Grover Cleveland
1,rule,NNP,RULE,1888,Grover Cleveland
2,v,NNP,V,1888,Grover Cleveland
3,1,CD,1,1888,Grover Cleveland
4,the,DT,The,1888,Grover Cleveland
5,papers,NNS,paper,1888,Grover Cleveland
6,of,IN,of,1888,Grover Cleveland
7,all,DT,all,1888,Grover Cleveland
8,examinations,NNS,examination,1888,Grover Cleveland
9,for,IN,for,1888,Grover Cleveland
10,admission,NN,admission,1888,Grover Cleveland
11,to,TO,to,1888,Grover Cleveland
12,or,CC,or,1888,Grover Cleveland
13,promotion,NN,promotion,1888,Grover Cleveland
14,in,IN,in,1888,Grover Cleveland
15,the,DT,the,1888,Grover Cleveland
16,classified,JJ,classified,1888,Grover Cleveland
17,departmental,JJ,departmental,1888,Grover Cleveland
18,service,NN,service,1888,Grover Cleveland
19,shall,MD,shall,1888,Grover Cleveland
20,be,VB,be,1888,Grover Cleveland
21,marked,VBN,mark,1888,Grover Cleveland
22,as,IN,as,1888,Grover Cleveland
23,directed,VBN,direct,1888,Grover Cleveland
24,by,IN,by,1888,Grover Cleveland
25,the,DT,the,1888,Grover Cleveland
26,commission,NNP,Commission,1888,Grover Cleveland
27,2,CD,2,1888,Grover Cleveland
28,the,DT,The,1888,Grover Cleveland
29,commission,NNP,Commission,1888,Grover Cleveland
30,shall,MD,shall,1888,Grover Cleveland
31,have,VB,have,1888,Grover Cleveland
32,authority,NN,authority,1888,Grover Cleveland
33,to,TO,to,1888,Grover Cleveland
34,appoint,VB,appoint,1888,Grover Cleveland
35,the,DT,the,1888,Grover Cleveland
36,following-named,JJ,following-named,1888,Grover Cleveland
37,boards,NNS,board,1888,Grover Cleveland
38,of,IN,of,1888,Grover Cleveland
39,examiners,NNS,examiner,1888,Grover Cleveland
40,which,WDT,which,1888,Grover Cleveland
41,shall,MD,shall,1888,Grover Cleveland
42,conduct,VB,conduct,1888,Grover Cleveland
43,examinations,NNS,examination,1888,Grover Cleveland
44,and,CC,and,1888,Grover Cleveland
45,mark,NN,mark,1888,Grover Cleveland
46,examination,NN,examination,1888,Grover Cleveland
47,papers,NNS,paper,1888,Grover Cleveland
48,as,IN,as,1888,Grover Cleveland
49,follows,VBZ,follow,1888,Grover Cleveland
50,central,NNP,Central,1888,Grover Cleveland
51,board,NN,board,1888,Grover Cleveland
52,--,:,--,1888,Grover Cleveland
53,as,IN,As,1888,Grover Cleveland
54,provided,VBN,provide,1888,Grover Cleveland
55,for,IN,for,1888,Grover Cleveland
56,by,IN,by,1888,Grover Cleveland
57,general,NNP,General,1888,Grover Cleveland
58,rule,NNP,Rule,1888,Grover Cleveland
59,iii,NNP,III,1888,Grover Cleveland
60,clause,NN,clause,1888,Grover Cleveland
61,12,CD,12,1888,Grover Cleveland
62,special,JJ,Special,1888,Grover Cleveland
63,boards,NNS,board,1888,Grover Cleveland
64,--,:,--,1888,Grover Cleveland
65,these,DT,These,1888,Grover Cleveland
66,boards,NNS,board,1888,Grover Cleveland
67,shall,MD,shall,1888,Grover Cleveland
68,mark,VB,mark,1888,Grover Cleveland
69,such,JJ,such,1888,Grover Cleveland
70,papers,NNS,paper,1888,Grover Cleveland
71,of,IN,of,1888,Grover Cleveland
72,special,JJ,special,1888,Grover Cleveland
73,examinations,NNS,examination,1888,Grover Cleveland
74,for,IN,for,1888,Grover Cleveland
75,the,DT,the,1888,Grover Cleveland
76,classified,JJ,classified,1888,Grover Cleveland
77,departmental,JJ,departmental,1888,Grover Cleveland
78,service,NN,service,1888,Grover Cleveland
79,as,IN,as,1888,Grover Cleveland
80,the,DT,the,1888,Grover Cleveland
81,commission,NNP,Commission,1888,Grover Cleveland
82,may,MD,may,1888,Grover Cleveland
83,direct,VB,direct,1888,Grover Cleveland
84,and,CC,and,1888,Grover Cleveland
85,shall,MD,shall,1888,Grover Cleveland
86,be,VB,be,1888,Grover Cleveland
87,composed,VBN,compose,1888,Grover Cleveland
88,of,IN,of,1888,Grover Cleveland
89,persons,NNS,person,1888,Grover Cleveland
90,in,IN,in,1888,Grover Cleveland
91,the,DT,the,1888,Grover Cleveland
92,public,JJ,public,1888,Grover Cleveland
93,service,NN,service,1888,Grover Cleveland
94,supplementary,JJ,Supplementary,1888,Grover Cleveland
95,boards,NNS,board,1888,Grover Cleveland
96,--,:,--,1888,Grover Cleveland
97,these,DT,These,1888,Grover Cleveland
98,boards,NNS,board,1888,Grover Cleveland
99,shall,MD,shall,1888,Grover Cleveland
100,mark,VB,mark,1888,Grover Cleveland
101,the,DT,the,1888,Grover Cleveland
102,papers,NNS,paper,1888,Grover Cleveland
103,of,IN,of,1888,Grover Cleveland
104,such,JJ,such,1888,Grover Cleveland
105,supplementary,JJ,supplementary,1888,Grover Cleveland
106,examinations,NNS,examination,1888,Grover Cleveland
107,for,IN,for,1888,Grover Cleveland
108,the,DT,the,1888,Grover Cleveland
109,classified,JJ,classified,1888,Grover Cleveland
110,departmental,JJ,departmental,1888,Grover Cleveland
111,service,NN,service,1888,Grover Cleveland
112,as,IN,as,1888,Grover Cleveland
113,the,DT,the,1888,Grover Cleveland
114,commission,NNP,Commission,1888,Grover Cleveland
115,may,MD,may,1888,Grover Cleveland
116,direct,VB,direct,1888,Grover Cleveland
117,and,CC,and,1888,Grover Cleveland
118,shall,MD,shall,1888,Grover Cleveland
119,be,VB,be,1888,Grover Cleveland
120,composed,VBN,compose,1888,Grover Cleveland
121,of,IN,of,1888,Grover Cleveland
122,persons,NNS,person,1888,Grover Cleveland
123,in,IN,in,1888,Grover Cleveland
124,the,DT,the,1888,Grover Cleveland
125,public,JJ,public,1888,Grover Cleveland
126,service,NN,service,1888,Grover Cleveland
127,promotion,NNP,Promotion,1888,Grover Cleveland
128,boards.,NN,boards.,1888,Grover Cleveland
129,--,:,--,1888,Grover Cleveland
130,one,CD,One,1888,Grover Cleveland
131,for,IN,for,1888,Grover Cleveland
132,each,DT,each,1888,Grover Cleveland
133,department,NNP,Department,1888,Grover Cleveland
134,of,IN,of,1888,Grover Cleveland
135,three,CD,three,1888,Grover Cleveland
136,members,NNS,member,1888,Grover Cleveland
137,and,CC,and,1888,Grover Cleveland
138,one,CD,one,1888,Grover Cleveland
139,auxillary,JJ,auxillary,1888,Grover Cleveland
140,member,NN,member,1888,Grover Cleveland
141,for,IN,for,1888,Grover Cleveland
142,each,DT,each,1888,Grover Cleveland
143,bureau,NN,bureau,1888,Grover Cleveland
144,of,IN,of,1888,Grover Cleveland
145,the,DT,the,1888,Grover Cleveland
146,department,NNP,Department,1888,Grover Cleveland
147,for,IN,for,1888,Grover Cleveland
148,which,WDT,which,1888,Grover Cleveland
149,the,DT,the,1888,Grover Cleveland
150,board,NN,board,1888,Grover Cleveland
151,is,VBZ,be,1888,Grover Cleveland
152,to,TO,to,1888,Grover Cleveland
153,act,VB,act,1888,Grover Cleveland
154,unless,IN,Unless,1888,Grover Cleveland
155,the,DT,the,1888,Grover Cleveland
156,commission,NNP,Commission,1888,Grover Cleveland
157,shall,MD,shall,1888,Grover Cleveland
158,otherwise,RB,otherwise,1888,Grover Cleveland
159,direct,VB,direct,1888,Grover Cleveland
160,these,DT,these,1888,Grover Cleveland
161,boards,NNS,board,1888,Grover Cleveland
162,shall,MD,shall,1888,Grover Cleveland
163,mark,VB,mark,1888,Grover Cleveland
164,the,DT,the,1888,Grover Cleveland
165,papers,NNS,paper,1888,Grover Cleveland
166,of,IN,of,1888,Grover Cleveland
167,promotion,NN,promotion,1888,Grover Cleveland
168,examinations,NNS,examination,1888,Grover Cleveland
169,local,JJ,Local,1888,Grover Cleveland
170,boards.-,NN,boards.-,1888,Grover Cleveland
171,-these,JJ,-These,1888,Grover Cleveland
172,boards,NNS,board,1888,Grover Cleveland
173,shall,MD,shall,1888,Grover Cleveland
174,be,VB,be,1888,Grover Cleveland
175,organized,VBN,organize,1888,Grover Cleveland
176,at,IN,at,1888,Grover Cleveland
