condition,k,boundary_year,is_primary_k,n_axes
drop_opponents,6,1912,False,62
drop_opponents,6,1936,False,62
drop_opponents,6,2016,False,62
drop_opponents,7,1808,False,62
drop_opponents,7,1848,False,62
drop_opponents,7,1872,False,62
drop_opponents,7,1912,False,62
drop_opponents,7,1936,False,62
drop_opponents,7,2016,False,62
drop_opponents,8,1808,False,62
drop_opponents,8,1848,False,62
drop_opponents,8,1872,False,62
drop_opponents,8,1912,False,62
drop_opponents,8,1936,False,62
drop_opponents,8,1952,False,62
drop_opponents,8,2016,False,62
drop_opponents,9,1792,True,62
drop_opponents,9,1808,True,62
drop_opponents,9,1848,True,62
drop_opponents,9,1872,True,62
drop_opponents,9,1912,True,62
drop_opponents,9,1936,True,62
drop_opponents,9,1952,True,62
drop_opponents,9,2016,True,62
drop_opponents,10,1792,False,62
drop_opponents,10,1808,False,62
drop_opponents,10,1848,False,62
drop_opponents,10,1872,False,62
drop_opponents,10,1912,False,62
drop_opponents,10,1936,False,62
drop_opponents,10,1952,False,62
drop_opponents,10,1976,False,62
drop_opponents,10,2016,False,62
drop_opponents,11,1792,False,62
drop_opponents,11,1808,False,62
drop_opponents,11,1816,False,62
drop_opponents,11,1848,False,62
drop_opponents,11,1872,False,62
drop_opponents,11,1912,False,62
drop_opponents,11,1936,False,62
drop_opponents,11,1952,False,62
drop_opponents,11,1976,False,62
drop_opponents,11,2016,False,62
drop_opponents,12,1792,False,62
drop_opponents,12,1808,False,62
drop_opponents,12,1816,False,62
drop_opponents,12,1848,False,62
drop_opponents,12,1872,False,62
drop_opponents,12,1912,False,62
drop_opponents,12,1928,False,62
drop_opponents,12,1936,False,62
drop_opponents,12,1952,False,62
drop_opponents,12,1976,False,62
drop_opponents,12,2016,False,62
drop_register,2,1920,False,60
drop_register,3,1808,False,60
drop_register,3,1920,False,60
drop_register,4,1808,False,60
drop_register,4,1920,False,60
drop_register,4,2008,False,60
drop_register,5,1808,False,60
drop_register,5,1920,False,60
drop_register,5,1936,False,60
drop_register,5,2008,False,60
drop_register,6,1808,False,60
drop_register,6,1848,False,60
drop_register,6,1920,False,60
drop_register,6,1936,False,60
drop_register,6,2008,False,60
drop_register,7,1808,False,60
drop_register,7,1848,False,60
drop_register,7,1872,False,60
drop_register,7,1920,False,60
drop_register,7,1936,False,60
drop_register,7,2008,False,60
drop_register,8,1792,False,60
drop_register,8,1808,False,60
drop_register,8,1848,False,60
drop_register,8,1872,False,60
drop_register,8,1920,False,60
drop_register,8,1936,False,60
drop_register,8,2008,False,60
drop_register,9,1792,True,60
drop_register,9,1808,True,60
drop_register,9,1848,True,60
drop_register,9,1872,True,60
drop_register,9,1920,True,60
drop_register,9,1936,True,60
drop_register,9,1952,True,60
drop_register,9,2008,True,60
drop_register,10,1792,False,60
drop_register,10,1808,False,60
drop_register,10,1848,False,60
drop_register,10,1872,False,60
drop_register,10,1920,False,60
drop_register,10,1936,False,60
drop_register,10,1952,False,60
drop_register,10,1976,False,60
drop_register,10,2008,False,60
drop_register,11,1792,False,60
drop_register,11,1808,False,60
drop_register,11,1848,False,60
drop_register,11,1872,False,60
drop_register,11,1920,False,60
drop_register,11,1936,False,60
drop_register,11,1952,False,60
drop_register,11,1976,False,60
drop_register,11,2000,False,60
drop_register,11,2008,False,60
drop_register,12,1792,False,60
drop_register,12,1808,False,60
drop_register,12,1848,False,60
