president_profile_id,issue_id,state,positive_paragraph_count,source_document_paragraph_count,source_document_speech_count,paragraph_share
dwight-d-eisenhower,agriculture,supported,52,696,15,0.07471264367816093
john-f-kennedy,agriculture,supported,34,1367,44,0.02487198244330651
lyndon-b-johnson,agriculture,supported,57,2712,71,0.02101769911504425
richard-m-nixon,agriculture,supported,9,520,23,0.01730769230769231
gerald-ford,agriculture,supported,7,410,14,0.01707317073170732
jimmy-carter,agriculture,supported,20,1034,22,0.019342359767891684
ronald-reagan,agriculture,supported,40,2044,60,0.019569471624266144
george-h-w-bush,agriculture,supported,15,934,23,0.016059957173447537
bill-clinton,agriculture,supported,18,1288,39,0.013975155279503106
george-w-bush,agriculture,supported,10,1058,38,0.00945179584120983
barack-obama,agriculture,supported,15,1879,51,0.007982969664715274
donald-trump,agriculture,supported,29,2853,53,0.010164738871363477
joe-biden,agriculture,supported,8,1219,28,0.006562756357670222
george-washington,religion-and-values,supported,10,253,21,0.039525691699604744
john-adams,religion-and-values,supported,14,116,9,0.1206896551724138
thomas-jefferson,religion-and-values,supported,16,313,24,0.051118210862619806
james-madison,religion-and-values,supported,14,274,21,0.051094890510948905
james-monroe,religion-and-values,supported,8,407,10,0.019656019656019656
john-quincy-adams,religion-and-values,supported,14,276,8,0.050724637681159424
andrew-jackson,religion-and-values,supported,38,1150,26,0.03304347826086956
martin-van-buren,religion-and-values,supported,17,465,10,0.03655913978494624
william-harrison,religion-and-values,thin_president,2,57,1,0.03508771929824561
john-tyler,religion-and-values,supported,20,540,18,0.037037037037037035
james-k-polk,religion-and-values,supported,24,722,25,0.0332409972299169
zachary-taylor,religion-and-values,thin_president,4,80,4,0.05
millard-fillmore,religion-and-values,supported,2,268,7,0.007462686567164179
franklin-pierce,religion-and-values,supported,37,472,15,0.07838983050847458
james-buchanan,religion-and-values,supported,24,625,14,0.0384
abraham-lincoln,religion-and-values,supported,80,859,15,0.09313154831199069
andrew-johnson,religion-and-values,supported,39,725,31,0.05379310344827586
ulysses-s-grant,religion-and-values,supported,33,813,32,0.04059040590405904
rutherford-b-hayes,religion-and-values,supported,21,500,16,0.042
james-a-garfield,religion-and-values,thin_president,6,29,1,0.20689655172413793
chester-a-arthur,religion-and-values,supported,10,478,11,0.02092050209205021
grover-cleveland,religion-and-values,supported,43,1350,32,0.03185185185185185
benjamin-harrison,religion-and-values,supported,16,598,16,0.026755852842809364
william-mckinley,religion-and-values,supported,22,767,14,0.028683181225554105
theodore-roosevelt,religion-and-values,supported,50,1530,22,0.032679738562091505
william-taft,religion-and-values,supported,18,969,12,0.018575851393188854
woodrow-wilson,religion-and-values,supported,52,661,33,0.07866868381240545
warren-g-harding,religion-and-values,supported,34,238,18,0.14285714285714285
calvin-coolidge,religion-and-values,supported,58,590,12,0.09830508474576272
herbert-hoover,religion-and-values,supported,56,698,30,0.08022922636103152
franklin-d-roosevelt,religion-and-values,supported,89,1084,49,0.08210332103321033
harry-s-truman,religion-and-values,supported,41,308,19,0.1331168831168831
dwight-d-eisenhower,religion-and-values,supported,67,696,15,0.09626436781609195
john-f-kennedy,religion-and-values,supported,65,1367,44,0.04754937820043892
lyndon-b-johnson,religion-and-values,supported,105,2712,71,0.03871681415929203
richard-m-nixon,religion-and-values,supported,34,520,23,0.06538461538461539
gerald-ford,religion-and-values,supported,21,410,14,0.05121951219512195
jimmy-carter,religion-and-values,supported,61,1034,22,0.05899419729206963
ronald-reagan,religion-and-values,supported,258,2044,60,0.12622309197651663
george-h-w-bush,religion-and-values,supported,64,934,23,0.06852248394004283
bill-clinton,religion-and-values,supported,99,1288,39,0.07686335403726709
george-w-bush,religion-and-values,supported,112,1058,38,0.10586011342155009
barack-obama,religion-and-values,supported,167,1879,51,0.08887706226716338
donald-trump,religion-and-values,supported,126,2853,53,0.04416403785488959
joe-biden,religion-and-values,supported,87,1219,28,0.07136997538966366
george-washington,money-and-banking,supported,8,253,21,0.03162055335968379
john-adams,money-and-banking,supported_zero,0,116,9,0.0
thomas-jefferson,money-and-banking,supported,6,313,24,0.019169329073482427
james-madison,money-and-banking,supported,16,274,21,0.058394160583941604
james-monroe,money-and-banking,supported,10,407,10,0.02457002457002457
john-quincy-adams,money-and-banking,supported,3,276,8,0.010869565217391304
andrew-jackson,money-and-banking,supported,196,1150,26,0.17043478260869566
martin-van-buren,money-and-banking,supported,116,465,10,0.24946236559139784
william-harrison,money-and-banking,thin_president,5,57,1,0.08771929824561403
john-tyler,money-and-banking,supported,77,540,18,0.1425925925925926
james-k-polk,money-and-banking,supported,52,722,25,0.07202216066481995
zachary-taylor,money-and-banking,thin_zero,0,80,4,0.0
millard-fillmore,money-and-banking,supported,5,268,7,0.018656716417910446
franklin-pierce,money-and-banking,supported,2,472,15,0.00423728813559322
james-buchanan,money-and-banking,supported,25,625,14,0.04
abraham-lincoln,money-and-banking,supported,14,859,15,0.01629802095459837
andrew-johnson,money-and-banking,supported,38,725,31,0.05241379310344828
ulysses-s-grant,money-and-banking,supported,71,813,32,0.08733087330873308
rutherford-b-hayes,money-and-banking,supported,47,500,16,0.094
james-a-garfield,money-and-banking,thin_president,2,29,1,0.06896551724137931
chester-a-arthur,money-and-banking,supported,34,478,11,0.07112970711297072
grover-cleveland,money-and-banking,supported,201,1350,32,0.14888888888888888
benjamin-harrison,money-and-banking,supported,48,598,16,0.0802675585284281
william-mckinley,money-and-banking,supported,56,767,14,0.07301173402868318
theodore-roosevelt,money-and-banking,supported,35,1530,22,0.02287581699346405
william-taft,money-and-banking,supported,57,969,12,0.058823529411764705
woodrow-wilson,money-and-banking,supported,26,661,33,0.039334341906202726
warren-g-harding,money-and-banking,supported,6,238,18,0.025210084033613446
calvin-coolidge,money-and-banking,supported,15,590,12,0.025423728813559324
herbert-hoover,money-and-banking,supported,83,698,30,0.11891117478510028
franklin-d-roosevelt,money-and-banking,supported,73,1084,49,0.06734317343173432
harry-s-truman,money-and-banking,supported,7,308,19,0.022727272727272728
dwight-d-eisenhower,money-and-banking,supported,39,696,15,0.05603448275862069
john-f-kennedy,money-and-banking,supported,69,1367,44,0.05047549378200439
lyndon-b-johnson,money-and-banking,supported,65,2712,71,0.02396755162241888
richard-m-nixon,money-and-banking,supported,26,520,23,0.05
gerald-ford,money-and-banking,supported,43,410,14,0.1048780487804878
jimmy-carter,money-and-banking,supported,128,1034,22,0.12379110251450677
ronald-reagan,money-and-banking,supported,114,2044,60,0.05577299412915851
george-h-w-bush,money-and-banking,supported,38,934,23,0.04068522483940043
bill-clinton,money-and-banking,supported,42,1288,39,0.03260869565217391
george-w-bush,money-and-banking,supported,13,1058,38,0.012287334593572778
barack-obama,money-and-banking,supported,45,1879,51,0.023948908994145823
donald-trump,money-and-banking,supported,44,2853,53,0.015422362425517
joe-biden,money-and-banking,supported,30,1219,28,0.02461033634126333
george-washington,infrastructure,supported,13,253,21,0.05138339920948617
john-adams,infrastructure,supported,18,116,9,0.15517241379310345
thomas-jefferson,infrastructure,supported,81,313,24,0.25878594249201275
james-madison,infrastructure,supported,49,274,21,0.17883211678832117
james-monroe,infrastructure,supported,90,407,10,0.22113022113022113
john-quincy-adams,infrastructure,supported,58,276,8,0.21014492753623187
andrew-jackson,infrastructure,supported,79,1150,26,0.06869565217391305
martin-van-buren,infrastructure,supported,33,465,10,0.07096774193548387
william-harrison,infrastructure,thin_zero,0,57,1,0.0
john-tyler,infrastructure,supported,92,540,18,0.17037037037037037
james-k-polk,infrastructure,supported,101,722,25,0.13988919667590027
zachary-taylor,infrastructure,thin_president,27,80,4,0.3375
millard-fillmore,infrastructure,supported,67,268,7,0.25
franklin-pierce,infrastructure,supported,109,472,15,0.2309322033898305
james-buchanan,infrastructure,supported,75,625,14,0.12
abraham-lincoln,infrastructure,supported,55,859,15,0.0640279394644936
andrew-johnson,infrastructure,supported,48,725,31,0.06620689655172414
ulysses-s-grant,infrastructure,supported,141,813,32,0.17343173431734318
rutherford-b-hayes,infrastructure,supported,49,500,16,0.098
james-a-garfield,infrastructure,thin_president,1,29,1,0.034482758620689655
chester-a-arthur,infrastructure,supported,90,478,11,0.18828451882845187
grover-cleveland,infrastructure,supported,141,1350,32,0.10444444444444445
benjamin-harrison,infrastructure,supported,113,598,16,0.18896321070234115
william-mckinley,infrastructure,supported,117,767,14,0.15254237288135594
theodore-roosevelt,infrastructure,supported,370,1530,22,0.24183006535947713
william-taft,infrastructure,supported,169,969,12,0.17440660474716202
woodrow-wilson,infrastructure,supported,76,661,33,0.11497730711043873
warren-g-harding,infrastructure,supported,20,238,18,0.08403361344537816
calvin-coolidge,infrastructure,supported,96,590,12,0.16271186440677965
