president_profile_id,topic_id,topic_level,state,topic_paragraph_count,topic_appearance_count,eligible_president_paragraph_count,eligible_president_appearance_count,speaker_paragraph_share,president_support_status,edge_support_status,evidence_receipt_count
dwight-d-eisenhower,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,291,15,692,15,0.42052023121387283,supported,supported,3
john-f-kennedy,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,593,39,1088,44,0.5450367647058824,supported,supported,3
lyndon-b-johnson,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,556,57,1877,71,0.29621736814065,supported,supported,3
richard-m-nixon,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,178,24,633,27,0.2812006319115324,supported,supported,3
gerald-ford,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,170,13,520,17,0.3269230769230769,supported,supported,3
jimmy-carter,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,212,18,646,22,0.3281733746130031,supported,supported,3
ronald-reagan,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,678,48,1725,61,0.39304347826086955,supported,supported,3
george-h-w-bush,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,201,22,584,23,0.3441780821917808,supported,supported,3
bill-clinton,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,202,30,1154,39,0.17504332755632582,supported,supported,3
george-w-bush,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,214,25,1030,38,0.20776699029126214,supported,supported,3
barack-obama,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,339,33,1813,51,0.18698290126861555,supported,supported,3
donald-trump,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,405,41,2259,53,0.17928286852589642,supported,supported,3
joe-biden,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,310,23,1152,28,0.2690972222222222,supported,supported,3
george-washington,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,30,10,254,22,0.11811023622047244,supported,supported,3
john-adams,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,20,5,107,9,0.18691588785046728,supported,supported,3
thomas-jefferson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,70,13,314,25,0.2229299363057325,supported,supported,3
james-madison,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,120,17,270,21,0.4444444444444444,supported,supported,3
james-monroe,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,85,10,407,10,0.20884520884520885,supported,supported,3
john-quincy-adams,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,45,5,276,8,0.16304347826086957,supported,supported,3
andrew-jackson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,61,12,1137,26,0.05364995602462621,supported,supported,3
martin-van-buren,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,30,5,457,9,0.06564551422319474,supported,supported,3
william-harrison,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,thin_president,1,1,57,1,0.017543859649122806,thin,thin_president,1
john-tyler,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,36,10,495,18,0.07272727272727272,supported,supported,3
james-k-polk,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,213,18,686,24,0.3104956268221574,supported,supported,3
zachary-taylor,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,thin_president,7,2,80,4,0.0875,thin,thin_president,2
millard-fillmore,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,30,4,253,7,0.11857707509881422,supported,supported,3
franklin-pierce,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,44,7,451,15,0.0975609756097561,supported,supported,3
james-buchanan,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,36,9,587,14,0.06132879045996593,supported,supported,3
abraham-lincoln,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,60,10,663,15,0.09049773755656108,supported,supported,3
andrew-johnson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,25,6,636,30,0.03930817610062893,supported,supported,3
ulysses-s-grant,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,68,10,743,29,0.09152086137281291,supported,supported,3
rutherford-b-hayes,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,36,7,499,16,0.07214428857715431,supported,supported,3
james-a-garfield,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,thin_zero,0,0,29,1,0.0,thin,thin,0
chester-a-arthur,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,43,5,468,11,0.09188034188034189,supported,supported,3
grover-cleveland,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,145,13,1316,31,0.11018237082066869,supported,supported,3
benjamin-harrison,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,40,7,586,16,0.06825938566552901,supported,supported,3
william-mckinley,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,93,10,744,14,0.125,supported,supported,3
theodore-roosevelt,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,187,12,1398,21,0.13376251788268956,supported,supported,3
william-taft,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,96,5,937,11,0.10245464247598719,supported,supported,3
woodrow-wilson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,219,22,615,32,0.35609756097560974,supported,supported,3
warren-g-harding,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,48,15,238,18,0.20168067226890757,supported,supported,3
calvin-coolidge,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,71,9,590,12,0.12033898305084746,supported,supported,3
herbert-hoover,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,53,13,691,29,0.07670043415340087,supported,supported,3
franklin-d-roosevelt,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,487,31,1066,47,0.45684803001876173,supported,supported,3
harry-s-truman,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,69,13,308,19,0.22402597402597402,supported,supported,3
dwight-d-eisenhower,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,118,15,692,15,0.17052023121387283,supported,supported,3
john-f-kennedy,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,137,35,1088,44,0.12591911764705882,supported,supported,3
lyndon-b-johnson,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,673,59,1877,71,0.3585508790623335,supported,supported,3
richard-m-nixon,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,174,22,633,27,0.27488151658767773,supported,supported,3
gerald-ford,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,82,13,520,17,0.1576923076923077,supported,supported,3
jimmy-carter,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,68,17,646,22,0.10526315789473684,supported,supported,3
ronald-reagan,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,241,49,1725,61,0.13971014492753622,supported,supported,3
george-h-w-bush,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,166,21,584,23,0.2842465753424658,supported,supported,3
bill-clinton,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,114,23,1154,39,0.09878682842287695,supported,supported,3
george-w-bush,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,400,29,1030,38,0.3883495145631068,supported,supported,3
barack-obama,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,269,36,1813,51,0.14837286265857694,supported,supported,3
donald-trump,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,381,40,2259,53,0.16865869853917662,supported,supported,3
joe-biden,topic_07f03bf056ab3503c6f721cf2a606b728b9cbb858d7d919fca46cd6135a32a2b,level1,supported,136,21,1152,28,0.11805555555555555,supported,supported,3
george-washington,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,10,6,254,22,0.03937007874015748,supported,supported,3
john-adams,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported_zero,0,0,107,9,0.0,supported,thin,0
thomas-jefferson,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,2,2,314,25,0.006369426751592357,supported,thin_edge,2
james-madison,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,15,3,270,21,0.05555555555555555,supported,supported,3
james-monroe,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,6,3,407,10,0.014742014742014743,supported,supported,3
john-quincy-adams,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported_zero,0,0,276,8,0.0,supported,thin,0
andrew-jackson,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,227,13,1137,26,0.1996481970096746,supported,supported,3
martin-van-buren,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,166,5,457,9,0.36323851203501095,supported,supported,3
william-harrison,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_president,6,1,57,1,0.10526315789473684,thin,thin_president,1
john-tyler,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,92,10,495,18,0.18585858585858586,supported,supported,3
james-k-polk,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,48,5,686,24,0.06997084548104957,supported,supported,3
zachary-taylor,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_president,2,1,80,4,0.025,thin,thin_president,1
millard-fillmore,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,4,3,253,7,0.015810276679841896,supported,thin_edge,3
franklin-pierce,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,1,1,451,15,0.0022172949002217295,supported,thin_edge,1
james-buchanan,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,26,3,587,14,0.044293015332197615,supported,supported,3
abraham-lincoln,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,7,3,663,15,0.010558069381598794,supported,supported,3
andrew-johnson,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,31,3,636,30,0.04874213836477988,supported,supported,3
ulysses-s-grant,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,71,13,743,29,0.0955585464333782,supported,supported,3
rutherford-b-hayes,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,48,7,499,16,0.09619238476953908,supported,supported,3
james-a-garfield,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_president,4,1,29,1,0.13793103448275862,thin,thin_president,1
chester-a-arthur,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,23,4,468,11,0.049145299145299144,supported,supported,3
grover-cleveland,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,198,15,1316,31,0.15045592705167174,supported,supported,3
benjamin-harrison,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,37,5,586,16,0.06313993174061433,supported,supported,3
william-mckinley,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,49,9,744,14,0.06586021505376344,supported,supported,3
theodore-roosevelt,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,32,9,1398,21,0.022889842632331903,supported,supported,3
william-taft,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,35,6,937,11,0.03735325506937033,supported,supported,3
woodrow-wilson,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,17,7,615,32,0.027642276422764227,supported,supported,3
warren-g-harding,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,4,3,238,18,0.01680672268907563,supported,thin_edge,3
calvin-coolidge,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,7,3,590,12,0.011864406779661017,supported,supported,3
herbert-hoover,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,86,15,691,29,0.12445730824891461,supported,supported,3
franklin-d-roosevelt,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,49,15,1066,47,0.04596622889305816,supported,supported,3
harry-s-truman,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported_zero,0,0,308,19,0.0,supported,thin,0
dwight-d-eisenhower,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,8,4,692,15,0.011560693641618497,supported,supported,3
john-f-kennedy,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,17,6,1088,44,0.015625,supported,supported,3
lyndon-b-johnson,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,15,8,1877,71,0.007991475759190196,supported,supported,3
richard-m-nixon,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,4,3,633,27,0.00631911532385466,supported,thin_edge,3
gerald-ford,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,5,3,520,17,0.009615384615384616,supported,supported,3
jimmy-carter,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,4,3,646,22,0.006191950464396285,supported,thin_edge,3
ronald-reagan,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,15,9,1725,61,0.008695652173913044,supported,supported,3
george-h-w-bush,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,3,2,584,23,0.005136986301369863,supported,thin_edge,2
bill-clinton,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,2,2,1154,39,0.0017331022530329288,supported,thin_edge,2
george-w-bush,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,21,3,1030,38,0.020388349514563107,supported,supported,3
barack-obama,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,supported,54,9,1813,51,0.02978488692774407,supported,supported,3
donald-trump,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,2,2,2259,53,0.0008853474988933156,supported,thin_edge,2
joe-biden,topic_43ec056a6101afa1e938480103aecd71dd5f41580556a5f8d2a92b6a7cb39e2e,level1,thin_edge,1,1,1152,28,0.0008680555555555555,supported,thin_edge,1
george-washington,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,9,6,254,22,0.03543307086614173,supported,supported,3
john-adams,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,thin_edge,2,2,107,9,0.018691588785046728,supported,thin_edge,2
thomas-jefferson,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,9,6,314,25,0.028662420382165606,supported,supported,3
james-madison,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,19,8,270,21,0.07037037037037037,supported,supported,3
james-monroe,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,47,10,407,10,0.11547911547911548,supported,supported,3
john-quincy-adams,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,51,5,276,8,0.18478260869565216,supported,supported,3
andrew-jackson,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,114,15,1137,26,0.10026385224274406,supported,supported,3
martin-van-buren,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,18,5,457,9,0.03938730853391685,supported,supported,3
william-harrison,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,thin_zero,0,0,57,1,0.0,thin,thin,0
john-tyler,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,46,9,495,18,0.09292929292929293,supported,supported,3
james-k-polk,topic_3e8647a4799e061a665118eb000c5f9ad645c931743a74bfe085cbb18238ed6e,level1,supported,78,9,686,24,0.11370262390670553,supported,supported,3
