cycle_start,cycle_end,grid_offset,is_complete_cycle,n_paragraphs,n_speeches,combat_enemy_naming,combat_party_attack,combat_zero_sum,genre__campaign_or_debate,genre__eulogy_or_commemoration,genre__inaugural_address,genre__other,genre__press_conference_or_interview,genre__proclamation,genre__public_remarks_or_address,genre__special_message_to_congress,genre__state_of_the_union_or_annual_message,genre__veto_or_signing_statement,marker_america,marker_assertive_modals,marker_boosters,marker_concessives,marker_doom,marker_future,marker_god_bless,marker_hedges,marker_hype,marker_mechanism,marker_need_to,marker_nostalgia,marker_nrc_fear,marker_nrc_hope,marker_opponents,marker_religiosity,marker_superlatives,marker_united_states,marker_us_them,register_neither_share,register_proposal_share,register_values_share,stat_fk_grade,stat_modal_can_per_1k,stat_modal_could_per_1k,stat_modal_may_per_1k,stat_modal_must_per_1k,stat_modal_shall_per_1k,stat_modal_should_per_1k,stat_modal_will_per_1k,stat_modal_would_per_1k,stat_self_reference,stat_words_per_sentence,"topic__Agriculture, Land & Environment",topic__Ceremonial & Commemorative Address,topic__Civil Rights & Immigration,topic__Constitutional Order & Governance,"topic__Economy, Labor & Social Welfare",topic__Faith & National Values,topic__Foreign Relations & Diplomacy,topic__Indian & Tribal Affairs,topic__Infrastructure & Internal Improvements,"topic__Law, Crime & Justice","topic__Money, Banking & Currency",topic__Partisan & Media Combat,topic__Personal Narrative & Reflection,topic__Procedural & Administrative,topic__Public Finance & Taxation,"topic__Trade, Commerce & Tariffs",topic__War & Military Affairs
1789,1792,0,True,93,9,0.13978494623655913,0.0,0.03225806451612903,0.0,0.0,0.11827956989247312,0.0,0.0,0.043010752688172046,0.15053763440860216,0.0,0.6774193548387096,0.010752688172043012,0.286286859433152,10.783471705315392,0.38171581257753606,2.099436969176448,0.19085790628876803,1.049718484588224,0.0,5.439450329229889,0.19085790628876803,4.485160797786048,0.0,0.47714476572192005,20.517224926042562,76.53402042179597,0.0,2.099436969176448,0.6680026720106881,5.248592422941121,6.393739860673728,0.27956989247311825,0.27956989247311825,0.23655913978494625,20.180869681801433,2.7658559847401047,0.7629947544110633,4.387219837863615,1.0491177873152122,2.0982355746304244,2.0028612303290414,9.537434430138292,1.239866475917978,0.6652360515021459,41.51502601119744,0.043010752688172046,0.0,0.0,0.13978494623655913,0.0,0.15053763440860216,0.0967741935483871,0.3548387096774194,0.010752688172043012,0.06451612903225806,0.07526881720430108,0.0,0.06451612903225806,0.11827956989247312,0.13978494623655913,0.03225806451612903,0.0967741935483871
1793,1796,0,True,160,12,0.24375,0.0375,0.05,0.0,0.0,0.00625,0.3,0.0,0.09375,0.075,0.0625,0.4625,0.0,0.4756242568370987,8.03804994054697,1.1414982164090368,2.0927467300832343,0.2853745541022592,0.6183115338882283,0.0,5.422116527942925,0.4280618311533888,2.758620689655172,0.04756242568370987,0.380499405469679,31.58145065398335,72.48513674197383,0.0,0.713436385255648,0.9036860879904876,4.5184304399524375,7.51486325802616,0.2,0.15625,0.4375,26.65999858284734,3.0458785455929944,0.618694079573577,4.235674852465258,1.332571863696935,2.569960022844089,1.9988577955454028,6.329716352560442,1.76089853417095,0.6124497991967871,57.57622875118836,0.0125,0.0,0.0,0.2875,0.0,0.10625,0.25,0.15,0.00625,0.1875,0.01875,0.0,0.08125,0.01875,0.0625,0.0375,0.13125
1797,1800,0,True,116,9,0.1724137931034483,0.0,0.04310344827586207,0.0,0.10344827586206896,0.09482758620689655,0.0,0.0,0.04310344827586207,0.0,0.2413793103448276,0.5172413793103449,0.0,1.9090475216472353,6.0680439080929975,0.8181632235631009,2.386309402059044,0.40908161178155045,0.6136224176723256,0.0,4.431717460966796,0.20454080589077522,2.9999318197313696,0.0681802686302584,0.8863434921933593,28.840253630599307,87.06620304083998,0.0,2.045408058907752,0.47726188041180884,5.999863639462739,5.590782027681189,0.29310344827586204,0.1810344827586207,0.3275862068965517,21.90995137301712,3.144439127759929,0.47850160639825007,3.34951124478775,0.8202884681112859,1.5722195638799645,1.5722195638799645,5.05844555335293,1.367147446852143,0.4015544041450777,44.97904384439538,0.0,0.11206896551724138,0.0,0.1206896551724138,0.0,0.1810344827586207,0.49137931034482757,0.02586206896551724,0.0,0.017241379310344827,0.0,0.0,0.08620689655172414,0.0603448275862069,0.06896551724137931,0.017241379310344827,0.1724137931034483
1801,1804,0,True,142,11,0.09859154929577464,0.028169014084507043,0.035211267605633804,0.0,0.0,0.09154929577464789,0.13380281690140844,0.0,0.0,0.06338028169014084,0.20422535211267606,0.5070422535211268,0.0,0.32280626244149135,10.43740248560822,0.9146177435842255,1.6678323559477053,0.053801043740248564,0.5918114811427342,0.0,6.025716898907839,0.4842093936622371,2.205842793350191,0.0,0.4842093936622371,23.780061333189863,70.26416312476462,0.10760208748049713,1.1298219185452198,1.1836229622854684,0.860816699843977,11.836229622854683,0.2535211267605634,0.28169014084507044,0.2605633802816901,17.911614170037325,2.31818426869373,0.5930238826890937,4.798102323575395,0.6469351447517386,3.2885869858213383,2.5877405790069545,9.164914550649632,1.7251603860046363,0.23679417122040072,37.44303601134381,0.09154929577464789,0.0,0.007042253521126761,0.176056338028169,0.0,0.1056338028169014,0.176056338028169,0.2605633802816901,0.028169014084507043,0.0,0.007042253521126761,0.0,0.04929577464788732,0.07746478873239436,0.11971830985915492,0.04225352112676056,0.176056338028169
1805,1808,0,True,168,12,0.2619047619047619,0.0,0.02976190476190476,0.0,0.0,0.09523809523809523,0.0,0.0,0.07142857142857142,0.10714285714285714,0.22023809523809523,0.5059523809523809,0.0,0.14146272457207526,7.356061677747913,0.8959305889564767,2.027632385533079,0.4243881737162258,0.47154241524025087,0.0,4.621115669354459,0.09430848304805017,2.3105578346772293,0.0,0.47154241524025087,25.981987079737824,67.05333144716367,0.3300796906681756,0.2829254491441505,0.8487763474324516,2.5934832838213797,11.081246758145895,0.4166666666666667,0.19642857142857142,0.19047619047619047,19.36953231980977,1.6056670602125147,1.1334120425029515,3.3530106257378987,0.7083825265643447,3.1641086186540734,1.79456906729634,6.422668240850059,2.5974025974025974,0.31438127090301005,41.13097773402014,0.005952380952380952,0.0,0.005952380952380952,0.07738095238095238,0.0,0.047619047619047616,0.31547619047619047,0.16666666666666666,0.03571428571428571,0.13690476190476192,0.005952380952380952,0.017857142857142856,0.041666666666666664,0.02976190476190476,0.07738095238095238,0.017857142857142856,0.26785714285714285
1809,1812,0,True,130,11,0.45384615384615384,0.007692307692307693,0.06923076923076923,0.0,0.0,0.05384615384615385,0.0,0.0,0.06923076923076923,0.023076923076923078,0.15384615384615385,0.676923076923077,0.023076923076923078,1.591444394932841,5.283595391177032,0.3182888789865682,1.7187599465274683,0.3182888789865682,0.19097332739194095,0.0,3.7558087720415045,0.06365777579731365,3.4375198930549367,0.06365777579731365,0.4456044305811955,31.828887898656824,74.86154433764085,0.06365777579731365,1.2094977401489593,0.7638933095677638,5.983830924947482,6.620408682920619,0.49230769230769234,0.19230769230769232,0.19230769230769232,23.249830983981788,1.976032636409995,1.211116777154513,2.485976542580316,0.4462009178990311,0.25497195308516063,1.5935747067822539,4.716981132075471,3.1871494135645078,0.34627831715210355,48.341647458241184,0.007692307692307693,0.0,0.015384615384615385,0.06153846153846154,0.0,0.1,0.5153846153846153,0.05384615384615385,0.0,0.0,0.0,0.0,0.038461538461538464,0.03076923076923077,0.05384615384615385,0.07692307692307693,0.3
1813,1816,0,True,141,10,0.3829787234042553,0.0,0.24822695035460993,0.0,0.0,0.06382978723404255,0.0,0.0,0.06382978723404255,0.0,0.1347517730496454,0.6595744680851063,0.07801418439716312,2.3451657605798957,6.875599616245602,0.5862914401449739,1.812173542266283,0.47969299648225133,0.799488327470419,0.0,3.78424475002665,0.4263937746508901,2.611661869736702,0.0,0.5329922183136127,33.098816757275344,76.16458799701525,0.053299221831361265,1.439078989446754,1.4923782112781154,3.9441424155207336,6.609103507088796,0.4326241134751773,0.14184397163120568,0.2978723404255319,26.24777949485666,2.295291982491726,0.8006832497064162,2.562186399060532,0.640546599765133,0.5871677164513719,0.640546599765133,5.871677164513718,1.4946087327853101,0.27697841726618705,56.45547257511292,0.014184397163120567,0.0,0.0070921985815602835,0.05673758865248227,0.0070921985815602835,0.1276595744680851,0.18439716312056736,0.06382978723404255,0.02127659574468085,0.0070921985815602835,0.10638297872340426,0.0,0.028368794326241134,0.03546099290780142,0.15602836879432624,0.06382978723404255,0.5886524822695035
1817,1820,0,True,171,6,0.14619883040935672,0.0,0.023391812865497075,0.0,0.0,0.13450292397660818,0.0,0.0,0.0,0.0,0.0,0.8304093567251462,0.03508771929824561,0.28429282160625446,6.775645581615731,0.9950248756218905,1.4214641080312722,0.14214641080312723,0.5212035062781332,0.0,4.45392087183132,0.4738213693437574,4.12224591329069,0.2369106846718787,0.2369106846718787,24.543946932006634,68.60933428097607,0.0,1.0424070125562663,1.089789149490642,4.975124378109452,6.633499170812604,0.47368421052631576,0.17543859649122806,0.2807017543859649,18.206049674904765,1.6606566710950843,0.521920668058455,3.0840766748908712,0.6642626684380337,0.9489466691971912,2.3723666729929778,6.120706016321883,2.4672613399126972,0.2422062350119904,36.949372837288834,0.07017543859649122,0.005847953216374269,0.011695906432748537,0.1286549707602339,0.005847953216374269,0.06432748538011696,0.4327485380116959,0.10526315789473684,0.06432748538011696,0.011695906432748537,0.029239766081871343,0.0,0.017543859649122806,0.04093567251461988,0.13450292397660818,0.09941520467836257,0.17543859649122806
1821,1824,0,True,247,6,0.13360323886639677,0.0,0.012145748987854251,0.0,0.0,0.12550607287449392,0.0,0.0,0.0,0.020242914979757085,0.0,0.854251012145749,0.0,0.4981237339355095,5.778235313651911,1.095872214658121,1.8264536910968685,0.2988742403613058,0.43170723607744166,0.0,4.615946601135722,0.39849898714840765,4.914820841497027,0.16604124464516987,0.13283299571613588,23.312190748181848,64.82250190947433,0.03320824892903397,0.7637897253677813,0.7969979742968153,3.752532128980839,6.9737322750971344,0.4251012145748988,0.1902834008097166,0.3319838056680162,17.26975557374239,1.297750565686144,0.8984426993211767,3.0613603087980836,0.49913483295620925,0.9982696659124185,3.1279116198589114,5.290829229335818,3.0946359643284973,0.22761194029850745,34.92752515316241,0.008097165991902834,0.016194331983805668,0.0,0.10526315789473684,0.0,0.06882591093117409,0.38866396761133604,0.05668016194331984,0.08097165991902834,0.012145748987854251,0.004048582995951417,0.0,0.020242914979757085,0.032388663967611336,0.11336032388663968,0.1214574898785425,0.22267206477732793
1825,1828,0,True,271,7,0.11439114391143912,0.01107011070110701,0.025830258302583026,0.0,0.0,0.07749077490774908,0.0,0.0,0.0,0.0,0.07380073800738007,0.8487084870848709,0.0,0.8884200005552626,5.3860462533662785,0.6385518753990949,1.5547350009717094,0.08328937505205586,0.6385518753990949,0.0,3.914600627446626,0.11105250006940783,5.0806518781754075,0.0,0.5830256253643911,20.072739387545464,71.43452066964657,0.027763125017351956,0.8884200005552626,0.24986812515616758,3.886837502429273,6.607623754129765,0.5350553505535055,0.15129151291512916,0.23247232472324722,20.52844890387746,1.1952080495872364,0.3335464324429497,2.9185312838758093,0.47252411262751204,0.9728437612919365,1.4175723378825362,4.753036662312033,1.584345554104011,0.19622641509433963,42.00632713455814,0.04428044280442804,0.014760147601476014,0.0,0.11808118081180811,0.0036900369003690036,0.04428044280442804,0.2693726937269373,0.07380073800738007,0.12546125461254612,0.02214022140221402,0.0,0.0,0.01107011070110701,0.06642066420664207,0.11439114391143912,0.1881918819188192,0.16605166051660517
