condition,label,analysis_family,k,min_units,grid_offset,weighting,terminal_policy,genre_filter,omitted_axis_group,status,status_reason,segment_index,segment_start,segment_end,is_boundary,objective,objective_scale,partition_similarity_to_primary,partition_starts_json,n_axes,n_cycles,n_paragraphs,n_speeches,terminal_cycle_complete,right_censored
k_06,6 segments,k_sweep,6,3,0,per_axis,include_incomplete,all,none,computed,,1,1817.0,1900.0,True,2050.507312178379,z_sse_per_axis,0.4554612103661959,"[1789,1817,1901,1933,1953,2017]",63,21,11155,305,False,False
k_06,6 segments,k_sweep,6,3,0,per_axis,include_incomplete,all,none,computed,,2,1901.0,1932.0,True,2050.507312178379,z_sse_per_axis,0.4554612103661959,"[1789,1817,1901,1933,1953,2017]",63,8,4718,129,False,False
k_06,6 segments,k_sweep,6,3,0,per_axis,include_incomplete,all,none,computed,,3,1933.0,1952.0,True,2050.507312178379,z_sse_per_axis,0.4554612103661959,"[1789,1817,1901,1933,1953,2017]",63,5,1397,68,False,False
k_06,6 segments,k_sweep,6,3,0,per_axis,include_incomplete,all,none,computed,,4,1953.0,2016.0,True,2050.507312178379,z_sse_per_axis,0.4554612103661959,"[1789,1817,1901,1933,1953,2017]",63,16,13889,399,False,False
k_06,6 segments,k_sweep,6,3,0,per_axis,include_incomplete,all,none,computed,,5,2017.0,2026.0,True,2050.507312178379,z_sse_per_axis,0.4554612103661959,"[1789,1817,1901,1933,1953,2017]",63,3,4120,82,False,True
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1828.0,False,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,10,1639,93,False,False
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,1,1829.0,1868.0,True,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,10,5963,166,False,False
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,2,1869.0,1912.0,True,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,11,7034,156,False,False
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,3,1913.0,1936.0,True,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,6,2421,104,False,False
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,4,1937.0,1952.0,True,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,4,1163,57,False,False
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,5,1953.0,2016.0,True,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,16,13889,399,False,False
k_07,7 segments,k_sweep,7,3,0,per_axis,include_incomplete,all,none,computed,,6,2017.0,2026.0,True,1930.4842426383061,z_sse_per_axis,0.6900001788091635,"[1789,1829,1869,1913,1937,1953,2017]",63,3,4120,82,False,True
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1804.0,False,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,4,511,41,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,1,1805.0,1848.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,11,4009,130,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,2,1849.0,1868.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,5,3082,88,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,3,1869.0,1912.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,11,7034,156,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,4,1913.0,1936.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,6,2421,104,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,5,1937.0,1952.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,4,1163,57,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,6,1953.0,2016.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,16,13889,399,False,False
k_08,8 segments,k_sweep,8,3,0,per_axis,include_incomplete,all,none,computed,,7,2017.0,2026.0,True,1823.5861807453598,z_sse_per_axis,0.8581030088449778,"[1789,1805,1849,1869,1913,1937,1953,2017]",63,3,4120,82,False,True
k_10,10 segments,k_sweep,10,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1804.0,False,1663.8547028647117,z_sse_per_axis,0.9367604088273751,"[1789,1805,1849,1869,1901,1913,1937,1953,1981,2017]",63,4,511,41,False,False
